מס. חשבון ,שם חשבון ,תקציב 
1111100100,גביה שוטפת-מגורים ,"196,240,000.00"
1111200100,גבית פיגורים-מגורים ,"20,200,000.00"
1111300100,גביה שוטפת -לא למגורים ,"312,105,000.00"
1111400100,גבית פיגורים-לא למגורים ,"76,222,571.00"
1113000100,הנחות מימון)ארנונה מראש ו,"2,500,000.00"
1113001100,הכנסות מעמלות מתשלום בכ.א,0
1115000100,הנחות לזכאים ,"52,000,000.00"
1116000100,הנחות ועדה בגין מצב חומרי,"11,000,000.00"
1117000100,הנחות ועדה אחרות ,"80,000.00"
1118000100,הנחות מיבצע אכיפת גביה ,0
1120000290,אכיפה /טיפול משפטי ,"2,202,000.00"
1121000290,תעודות ואישורים ,"170,000.00"
1122000290,אגרת רשיונות לשלטים ,"4,400,000.00"
1124100290,מודעות על לוחות ,"1,000.00"
1129001290,אגרת שמירה ,"10,500,000.00"
1130001800,היטלי מים ,"3,656,000.00"
1130002800,היטלי ביוב ,"3,731,000.00"
1130003800,הטלי כבישים ,"14,059,000.00"
1160000661,הכנסות מימון ,"6,703,000.00"
1160001661,"הכנסות מימון- חפ""א ","1,165,000.00"
1212300620,מכירת ציוד יסודי - אשפה ,"16,000.00"
1213300290,פיקוח על עסקים ומוסדות ,"250,000.00"
1214200290,פיקוח וטרינרי ,"350,000.00"
1214200690,בדיקות דגים במפעלים ,0
1214200910,בדיקות בשר עופות ודגים ,"450,000.00"
1214200911,עיקור וסירוס חתולי רחוב ,"100,000.00"
1222000910,החזר משא'ז ,"45,000.00"
1232000220,אגרות תיכנון עיר ,"200,000.00"
1233100290,אגרת רשיונות בניה ,"13,187,000.00"
1233300290,תיקון מבנים מסוכנים ,"300,000.00"
1241000290,שילוט-תמלוגים ,"3,489,000.00"
1241000640,מינהל נכסים ציבוריים ,"750,000.00"
1242000410,דמי שימוש במדרכה ,"1,800,000.00"
1244500991,מטה בטיחות עירוני ,"917,750.00"
1261000290,שיפוץ מבנים-חלק הדיירים ,"400,000.00"
1262000420,מידע לציבור ,"17,000.00"
1264000610,תרבות הדיור ,"73,000.00"
1269000510,זיכויים - חב' לאוטומציה ,"210,000.00"
1269000610,מכירת טפסי מיכרזים ,"500,000.00"
1269003490,מועצת נשים ,"40,000.00"
1273001610,השכרת כסאות בחוף ,0
1274700990,הכנסות מ.איכות הסביבה ,"62,000.00"
1281000290,פיקוח על חו'ע ,"300,000.00"
1281000291,קנסות בימ'ש ,"4,500,000.00"
1281001290,פיקוח על החניה ,"4,000,000.00"
1281001291,מדחני צג ,"600,000.00"
1281001292,מדחני כרטיס ,"20,000.00"
1281001293,הכנסות בגין קיזוז מקבלן-ח,"876,000.00"
1281001295,איזי פארק- פאנגו- סלופארק,"120,000.00"
1281001296,הכנסה בגין אכיפה מנהלית ,"3,500,000.00"
1281001297,"באמצעות טלפון סלולרי ""פאנ",0
1311000650,שכירות ,"150,000.00"
1312100420,סל תרבות ,"3,700,000.00"
1312100421,פעילות גנים מדעיים ,"160,000.00"
1312100924,"תכנית שמיד גנ""י ","319,660.00"
1312200920,גיל חובה-שיפוצים ,"100,000.00"
1312200921,גיל חובה/חומרים ,"135,000.00"
1312200922,גיל חובה/שכר סייעות ,"9,800,000.00"
1312300420,ט.חובה/תשלומי הורים ,"15,856,000.00"
1312300920,גנ'י/ילדי סטיה והשלמ'מ ,"6,650,000.00"
1312500420,צהרונים /יול'ה ,"12,500,000.00"
1312500421,גני מועד'וצהר'/דמי רישום ,"292,000.00"
1312501420,פנימיות יום-גנ'י ,"100,000.00"
1312501920,פנמיות יום -גנ'י ,"73,000.00"
1312800420,קייטנה חודש לימודים ,"1,700,000.00"
1313200440,הכנסות מתקשורת סלולרית ,"20,000.00"
1313200920,שרתים/מזכירים/סייעות ,"23,400,000.00"
1313200924,תכנית שמיד חינוך יסודי ,"620,000.00"
1313201420,פנימיות יום-הורים ,"210,000.00"
1313202420,קרב-תשלומי ההורים ,"2,726,000.00"
1313204920,ניהול עצמי ,"1,685,000.00"
1313205920,שיפוצים ,"490,000.00"
1313206920,שיכפולים/חומרים ,"1,120,000.00"
1313500420,השתתפויות במימון מזגנים ו,0
1313500920,שרתים מזכירים סייעות/חרדי,"6,700,000.00"
1313500921,ישיבות קטנות/שיפוצים/מ.ח.,"525,000.00"
1313500924,תכנית שמיד-חרדי ,"1,003,000.00"
1313505920,רווחה חינוכית ,"300,000.00"
1313600920,מועדוניות בית ספריות ,"660,000.00"
1313700920,חוו חקלאיות/שרתים מזכירים,"116,000.00"
1315201420,בתי'ס עי'ס/פ.יום הורים ,"29,000.00"
1315202920,בתי'ס עי'ס/שכפ'חומר'עו ,"950,000.00"
1315203920,בתי'ס עי'ס/שיפוצים מ.ח ,"455,000.00"
1315204920,מנ'ע תגבורים ,"460,000.00"
1315204924,"תכנית שמיד-חינוך עי""ס ","200,000.00"
1315206920,פרוייקט מניפה ,"400,000.00"
1315501921,חט'ב/מקיף א' ,"695,000.00"
1315502921,חט'ב/מקיף ב' ,"587,000.00"
1315503921,עי'ס/חט'ב/מקיף ג' ,"1,400,000.00"
1315504921,עי'ס/חט'ב/מקיף ד' ,"1,220,000.00"
1315505921,ע'ס/חט'ב/מקיף ה' ,"1,200,000.00"
1315506921,בתי'ס עי'ס/מקיף ו' ,"1,250,000.00"
1315507921,עי'ס/חט'ב/מקיף ז' ,"1,520,000.00"
1315508921,עי'ס/חט'ב/מקיף ח' ,"1,500,000.00"
1315509921,בתי'ס עי'ס/חט'ב ט' ,"1,400,000.00"
1315510921,עי'ס/חט'ב/מקיף י' ,"1,040,000.00"
1315511921,בתי'ס עי'ס/אולפנא ,"605,000.00"
1315701920,בתי'ס עי'ס/מקיף א' ,"7,604,000.00"
1315702920,בת'ס עי'ס/מקיף ב' ,"5,200,000.00"
1315703920,בתי'ס עי'ס/מקיף ג' ,"13,500,000.00"
1315704920,בתי'ס עי'ס/מקיף ד' ,"13,500,000.00"
1315705920,בתי'ס עי'ס/מקיף ה' ,"12,950,000.00"
1315706920,בתי'ס עי'ס/מקיף ו' ,"13,800,000.00"
1315707920,בתי'ס עי'ס/מקיף ז' ,"12,500,000.00"
1315708920,בתי'ס עי'ס/מקיף ח' ,"12,500,000.00"
1315709920,מקיף ט' ,"8,500,000.00"
1315710920,מקיף יוד חט'ע ,"8,500,000.00"
1315711920,בתי'ס עי'ס/אולפנא ,"5,400,000.00"
1315712920,בתי'ס עי'ס/ימי/שרת'+מז ,"200,000.00"
1315713920,בתי'ס עי'ס/אשכולות פיס ,"370,000.00"
1315714430,בתי'ס עי'ס/נ.הרצוג ,"400,000.00"
1316200420,פעילות לחיילים ,"175,000.00"
1316800790,השתתפות מוסדות ,0
1316802922,מלגות הכנסה מ. השיכון ,"500,000.00"
1317100920,קבטי'ם-שכר ,"480,000.00"
1317100992,שמירה-השתת' משטרת ישראל ,"5,034,000.00"
1317200420,מרפ'ד הכנסות עצמיות ,"180,000.00"
1317300920,פסיכולוג חנוכי/שכר ,"4,752,000.00"
1317300921,פסיכולוג חנוכי/השתלמויות ,"110,000.00"
1317300924,תכנית שמיד שפי ,"247,500.00"
1317500420,ביטוח תלמידים ,"1,140,000.00"
1317600920,רווחה חינוכית ,"1,473,000.00"
1317600921,תוכנית שיקום שכונות ,"655,000.00"
1317700920,קב'סים__שכר ,"850,000.00"
1317701650,דמי שימוש שטחי פירסום ,"400,000.00"
1317701920,קבס'ים -קידום נוער ,"385,000.00"
1317701921,חונכות לתלמידים ,"150,000.00"
1317701924,תכנית שמיד-קידום נוער ,"670,000.00"
1317800920,הסעות ילדים -מ.ת.מ ,"6,150,000.00"
1317800921,לווי הסעות ,"2,400,000.00"
1317903430,שרותים אחרים/תלמידי חוץ ,"1,500,000.00"
1317904420,פרויקטים משותפים עם בתה'ס,"500,000.00"
1317906920,הצטיידות שונות הכנסות משר,"1,800,000.00"
1317909920,הזנה ונלוות/ח.מיוחד ,"1,250,000.00"
1318000410,ח.מבוגרים/הכנסות עצמיות ,"150,000.00"
1318000920,ח.מבוגרים/מת'מ/תהל'ה ,"35,000.00"
