חשבון ,,פרק,שם חשבון ,מחלקה ,מקורי 2015 ,ביצוע עד ספטמ,תקציב 2016-כו,תקציב בסיס 2016,מותנה 2016 
1111100100,111100100,11,גביה שוטפת-מגורים ,2623000,-225000000,-170554500,-227990000,-227990000,0
1111200100,111200100,11,גבית פיגורים-מגורים ,2623000,-9805000,-7810600,-8402000,-8402000,0
1111300100,111300100,11,גביה שוטפת -לא למגורים ,2623000,-395000000,-313835300,-414102000,-414102000,0
1111400100,111400100,11,גבית פיגורים-לא למגורים ,2623000,-45200000,-41682700,-34574000,-33822500,-751500
1113000100,113000100,11,הנחות מימון(ארנונה מראש ו,2990001,-3700000,-3245100,-3700000,-3700000,0
1113001100,113001100,11,הכנסות מעמלות מתשלום בכ.א,2160000,-20000,-13800,-20000,-20000,0
1115000100,115000100,11,הנחות לזכאים ,2990001,-70000000,-57182600,-71000000,-71000000,0
1116000100,116000100,11,הנחות ועדה בגין מצב חומרי,2990001,-15500000,-13060900,-16200000,-16200000,0
1117000100,117000100,11,הנחות ועדה אחרות ,2990001,-30000,-57200,-100000,-100000,0
1120000290,120000290,12,אכיפה /טיפול משפטי ,1617000,-3000000,-1937800,-3000000,-3000000,0
1121000290,121000290,12,תעודות ואישורים ,1610000,-180000,-184600,-200000,-200000,0
1122000290,122000290,12,אגרת רשיונות לשלטים ,6781002,-6740000,-4654000,-7250000,-7250000,0
1129001290,129001290,12,אגרת שמירה ,1726000,-11500000,-8561300,-11500000,-11500000,0
1130000800,130000800,13,הטלים ,2640000,-71375700,-53673600,-71375000,-71375000,0
1130000801,130000801,13,קרן תאגיד מים ,1610000,0,0,-8000000,-8000000,0
1130001800,130001800,13,היטלי מים ,3910000,0,0,0,0,0
1130002800,130002800,13,היטלי ביוב ,6972000,0,0,0,0,0
1130003800,130003800,13,הטלי כבישים ,3742000,0,0,0,0,0
1160000661,160000661,16,הכנסות מימון ,2621100,-7500000,-2088200,-5500000,-5500000,0
1160001661,160001661,16,"הכנסות מימון- חפ""א ",2621300,-2359000,-1618100,-2114000,-2114000,0
1190000910,190000910,19,בחירות לרשות-הכנ' מ. הפני,1610000,0,0,0,0,0
1192000910,192000910,19,מענקים חד פעמיים ,2620000,0,0,0,0,0
1210000590,210000590,21,החזרות מקרנות ,6710000,0,0,0,0,0
1212200690,212200690,21,ניקיון עורף הנמל ,6712200,0,0,0,0,0
1212300620,212300620,21,מכירת ציוד יסודי - אשפה ,6712300,-20000,-71700,0,0,0
1212300650,212300650,21,מכרז-פינוי מכלי מחזור טקס,6712300,-89200,0,-127000,-127000,0
1212300651,212300651,21,חוק האריזות ,6712300,-1000000,-214700,-734000,-734000,0
1212300652,212300652,21,"תאגיד אל""ה ",6712300,0,0,0,0,0
