מס. חשבון ,שם חשבון ,תקציב 
1111100100,גביה שוטפת-מגורים ,"180,600,000.00"
1111200100,גבית פיגורים-מגורים ,"25,000,000.00"
1111300100,גביה שוטפת -לא למגורים ,"267,610,472.00"
1111400100,גבית פיגורים-לא למגורים ,"53,000,000.00"
1113000100,הנחות מימון)ארנונה מראש ו,"2,300,000.00"
1115000100,הנחות לזכאים ,"44,000,000.00"
1116000100,הנחות ועדה בגין מצב חומרי,"10,000,000.00"
1117000100,הנחות ועדה אחרות ,"120,000.00"
1118000100,הנחות מיבצע אכיפת גביה ,0
1120000290,אכיפה /טיפול משפטי ,"2,000,000.00"
1121000290,תעודות ואישורים ,"320,000.00"
1122000290,אגרת רשיונות לשלטים ,"3,900,000.00"
1124100290,מודעות על לוחות ,"12,000.00"
1129001290,אגרת שמירה ,"10,300,000.00"
1130001800,היטלי מים ,"13,752,000.00"
1130002800,היטלי ביוב ,"13,817,000.00"
1130003800,הטלי כבישים ,"11,805,000.00"
1160000661,הכנסות מימון ,"10,500,000.00"
1160001661,"הכנסות מימון- חפ""א ","750,000.00"
1190000980,בחירות לרשות-הכנ' משרד הפ,0
1212300620,מכירת ציוד יסודי - אשפה ,"200,000.00"
1212300990,איכות הסביבה -מיחזור ,"51,000.00"
1213300290,פיקוח על עסקים ומוסדות ,"250,000.00"
1214200290,פיקוח וטרינרי ,"382,000.00"
1214200910,השתת' שכר וטרינר ,"300,000.00"
1222000910,החזר משא'ז ,"50,000.00"
1232000220,אגרות תיכנון עיר ,"170,000.00"
1233100290,אגרת רשיונות בניה ,"7,500,000.00"
1233300290,תיקון מבנים מסוכנים ,"300,000.00"
1241000290,שילוט-תמלוגים ,"2,200,000.00"
1241000640,מינהל נכסים ציבוריים ,"1,250,000.00"
1242000410,דמי שימוש במדרכה ,"1,450,000.00"
1244500991,מטה בטיחות עירוני ,"809,000.00"
1246200440,הכנסות בגין השתתפות בפ.וג,0
1247000990,איכות הסביבה-ניקיון חופים,0
1247200990,הכנסות מ.איכות הסביבה לני,"87,360.00"
1261000290,הכנ' תפעול מוקד טלפוני לת,"500,000.00"
1262000420,מידע לציבור ,"30,000.00"
1264000610,תרבות הדיור ,"13,000.00"
1269000610,מכירת טפסי מיכרזים ,"405,600.00"
1269000690,הכנסות מפסקי דין ,0
1269003490,מועצת נשים ,"40,000.00"
1281000290,פיקוח על חו'ע ,"100,000.00"
1281000291,קנסות בימ'ש ,"2,800,000.00"
1281001290,פיקוח על החניה ,"7,000,000.00"
1281001291,מדחני צג ,"500,000.00"
1281001292,מדחני כרטיס ,"150,000.00"
1281001293,הכנסות בגין קיזוז מקבלן-ח,"1,020,600.00"
