,,,,,,,,,,,,,," הצעת התקציב בש""ח ",
,,,,,,,,,,מס' החשבון ,שם החשבון ,מסי פעולה, ביצוע לשנת 2009 , התקציב המעודכן לשנת 2010 , הצעת התקציב לשנת 2011 
0,1,1,0,0,0,1,1,1,1,1111000110,ארנונה - גביה שוטפת ,72900,"  -413,528,842 ","  -427,000,000 ","  -453,000,000 "
1,1,1,0,0,0,1,1,1,1,1111000111,ארנונה - סקר שטחים ,72900,"  -2,992 ",  -   ,  -   
3,1,1,0,0,0,1,1,1,1,1111000113,הפרשי ארנונה חברות תשתית ,72900,"  -4,634,141 ","  -5,000,000 ","  -5,000,000 "
4,1,1,0,0,0,1,1,1,1,1111000114,מבצע ארנונה 7/6002 ,72900,"  -113,375 ",  -   ,  -   
8,1,1,0,0,0,1,1,1,1,1111000118,ארנונה מותנה ,72900,  -   ,"  -4,000,000 ","  -25,500,000 "
0,1,1,0,0,0,2,1,1,1,1112000110,ארנונה - גביה מפיגורים ,72900,"  -50,540,952 ","  -55,000,000 ","  -70,000,000 "
9,1,1,0,0,0,3,1,1,1,1113000119,ארנונה- הנחות מימון ,72900,"  -3,295,000 ","  -3,000,000 ","  -3,300,000 "
9,1,1,0,0,0,5,1,1,1,1115000119,ארנונה- הנחות לזכאים ,72900,"  -57,897,000 ","  -54,000,000 ","  -61,700,000 "
0,9,2,0,0,0,1,2,1,1,1121000290,תעודות ואשורים ,72900,"  -252,424 ","  -251,000 ","  -260,000 "
1,9,2,0,0,0,1,2,1,1,1121000291,אישור תושבות ,72900,"  -5,228 ",  -   ,  -   
0,4,5,0,0,1,1,2,1,1,1121100540,החזר ביטוח ,71100,  -   ,  -   ,  -   
0,9,2,0,0,5,1,2,1,1,1121500290,העתקי תלושים ,81200,  -471 ,  -   ,  -   
1,9,2,0,0,5,1,2,1,1,1121500291,תעודת עובד נוספת ,81200,  -   ,  -   ,  -   
0,9,6,0,0,7,1,2,1,1,1121700690,הכנסות ממכירת מכרזים ,72500,"  -80,700 ","  -80,000 ","  -100,000 "
0,9,2,0,0,0,3,2,1,1,1123000290,אגרת בקשה למידע ,13100,  -870 ,  -   ,  -100 
1,9,2,0,0,0,3,2,1,1,1123000291,אגרת איתור וטיפול ,13100,  -   ,  -   ,  -   
2,9,2,0,0,0,3,2,1,1,1123000292,אגרת הפקת מידע ,13100,"  -4,483 ",  -   ,  -   
3,9,2,0,0,0,3,2,1,1,1123000293,חוק חופש המידע ,13100,  -   ,  -   ,  -   
0,9,4,0,0,1,3,2,1,1,1123100490,עמלה מהתאגיד-שירותי גביה ,72300,  -   ,  -   ,  -   
1,9,4,0,0,1,3,2,1,1,1123100491,עמלה מהתאגיד-מדור בעלים ,72300,  -   ,  -   ,  -   
2,9,4,0,0,1,3,2,1,1,1123100492,חלוקת חיובי מים לבתים-תא.,72300,  -   ,  -   ,  -   
0,9,4,0,1,1,3,2,1,1,1123110490,אגרות בית משפט ,72300,  -   ,"  -25,000 ",  -   
0,9,6,0,1,1,3,2,1,1,1123110690,עמלת ישראכרט ,72300,"  -102,557 ","  -100,000 ","  -100,000 "
0,9,4,1,1,1,3,2,1,1,1123111490,עמלה מהתאגיד-גביה בטלפון ,13400,  -   ,  -   ,  -   
0,2,2,0,2,1,3,2,1,1,1123120220,אגרת פעולות אכיפה- שוטף ,72300,"  -14,830 ","  -25,000 ",  -   
1,2,2,0,2,1,3,2,1,1,1123120221,אגרת פעולות אכיפה -פיגור ,72300,"  -981,063 ","  -500,000 ","  -1,000,000 "
0,7,6,0,2,1,3,2,1,1,1123120670,דמי זכיון ,72300,"  -1,000,000 ","  -2,000,000 ","  -2,145,000 "
0,9,2,0,0,1,5,2,1,1,1125100290,תעודת עובד נוספת ,81200,  -   ,  -   ,  -   
0,9,4,0,0,0,7,5,1,1,1157000490,רווחת העובד ,81100,  -   ,  -   ,  -   
0,3,7,0,0,0,7,5,1,1,1157000730,החזר ביטוח לאומי-מילואים ,72900,"  -254,758 ","  -200,000 ","  -220,000 "
1,3,7,0,0,0,7,5,1,1,1157000731,השתתפות ב.לאומי-תאונות ,72900,"  -374,346 ","  -350,000 ","  -380,000 "
0,9,7,0,0,0,7,5,1,1,1157000790,"השתתפות מפע""מ ",13100,  -   ,  -   ,  -   
0,9,6,0,0,1,7,5,1,1,1157100690,השתתפות עובדים ,82100,  -   ,  -   ,  -   
0,9,7,0,0,1,7,5,1,1,1157100790,"השתתפות מפע""ם-אימון אישי ",82100,  -   ,  -   ,"  -59,500 "
0,9,6,0,0,4,7,5,1,1,1157400690,השתתפות עובדים ,82300,  -   ,"  -36,000 ","  -36,000 "
0,9,6,0,0,5,7,5,1,1,1157500690,השתתפות עובדים ,82400,  -   ,  -   ,  -   
0,9,6,0,0,6,7,5,1,1,1157600690,השתתפות עובדים ,82500,  -   ,  -   ,"  -183,900 "
0,9,6,1,0,6,7,5,1,1,1157601690,השתת.עובדים-מינהל כללי ,82500,  -   ,  -   ,  -   
0,9,6,3,0,6,7,5,1,1,1157603690,השתת.עובדים-הנדסה ,82500,  -   ,  -   ,  -   
0,9,6,4,0,6,7,5,1,1,1157604690,השתת.עובדים-חינוך ,82500,  -   ,  -   ,  -   
0,9,6,5,0,6,7,5,1,1,1157605690,"השתת.עובדים-שפ""ע ",82500,  -   ,  -   ,  -   
0,9,6,6,0,6,7,5,1,1,1157606690,השתת.עובדים-רווחה ,82500,  -   ,  -   ,  -   
0,9,6,7,0,6,7,5,1,1,1157607690,השתת.עובדים-גזברות ,82500,  -   ,  -   ,  -   
1,9,6,7,0,6,7,5,1,1,1157607691,השתתפות עובדים ,71100,  -   ,  -   ,  -   
0,9,6,8,0,6,7,5,1,1,1157608690,השתת.עובדים-משאבי אנוש ,82500,  -   ,  -   ,  -   
0,9,6,9,0,6,7,5,1,1,1157609690,השתת.עובדים-פיקוח ,82500,  -   ,  -   ,  -   
0,9,4,0,0,0,8,5,1,1,1158000490,השתתפות עובדים-מעמד האישה,11400,"  -45,840 ",  -   ,  -   
0,9,7,0,0,0,8,5,1,1,1158000790,השתת.רשות פיתוח נגב בהכשר,11400,  -   ,"  -40,000 ",  -100 
0,9,9,0,0,0,8,5,1,1,1158000990,השתת.מ.ראש הממשלה-מ.האישה,11400,  -   ,  -   ,  -   
2,6,6,0,0,0,0,6,1,1,1160000662,הכנסות מריבית ודיבידנד ,72800,"  -283,279 ","  -100,000 ","  -100,000 "
9,1,9,0,0,0,1,9,1,1,1191000919,מענק כללי לאיזון ,72900,  -   ,  -   ,  -   
2,1,9,0,0,0,6,9,1,1,1196000912,מענק לפיצוי אזרחים ותיקים,72900,  -   ,  -   ,  -   
3,1,9,0,0,0,6,9,1,1,1196000913,מענק רזרבת השר ,72900,  -   ,  -   ,  -   
4,1,9,0,0,0,6,9,1,1,1196000914,מענק שיפוי קופות גמל ,72900,"  -90,924 ","  -95,000 ","  -91,000 "
6,1,9,0,0,0,6,9,1,1,1196000916,מענק/שיפוי פנסיה צוברת ,72900,"  -1,286,245 ","  -862,000 ","  -1,286,000 "
0,1,9,0,0,1,6,9,1,1,1196100910,"השתתפות משה""פ בבחירות ",83400,  -   ,  -   ,  -   
7,1,9,0,0,1,6,9,1,1,1196100917,מענק איזון מותנה ,72900,  -   ,  -   ,  -   
0,9,4,0,0,0,1,1,2,1,1211000490,"קנסות חוקי עזר-שפ""ע ",51100,"  1,320 ",  -   ,  -   
5,9,4,0,0,0,1,1,2,1,1211000495,הכנסות שונות ,51100,  -   ,  -   ,  -   
0,4,5,0,0,0,1,1,2,1,1211000540,החזרי ביטוח ,51100,"  -3,419 ",  -   ,  -   
2,9,4,0,0,2,2,1,2,1,1212200492,צו ניקוי-הכנסות ,52200,  -   ,  -   ,  -   
0,2,2,0,0,3,2,1,2,1,1212300220,חובות אגרת פינוי אשפה ,52300,  -   ,  -   ,"  -2,200,000 "
1,2,2,0,0,3,2,1,2,1,1212300221,אגרת פינוי אשפ.ממפעלים ,52300,"  -5,404,384 ","  -6,000,000 ",  -   
2,2,2,0,0,3,2,1,2,1,1212300222,פינוי והטמנת צמיגים ,52300,  -   ,  -   ,  -   
0,9,4,0,0,3,2,1,2,1,1212300490,פינוי והטמנה פ.בניין-תושב,52300,  -   ,  -   ,  -   
0,9,6,0,0,3,2,1,2,1,1212300690,הכנסות ממיחזור ,52300,  -   ,  -   ,"  -468,000 "
0,9,9,0,0,3,2,1,2,1,1212300990,השתת.-פריסת מערך המיחזור ,52300,  -   ,  -   ,"  -326,746 "
0,9,4,0,0,0,3,1,2,1,1213000490,קנסות חוקי עזר-גזרי דין ,21200,"  -196,513 ","  -230,000 ","  -280,000 "
1,9,4,0,0,0,3,1,2,1,1213000491,עמלה מהתאגיד-ש.דיגום מים ,21200,"  -64,247 ",  -   ,  -   
0,9,2,0,0,3,3,1,2,1,1213300290,אגרת רשיונות לעסקים ,21300,"  -236,687 ","  -227,000 ","  -260,000 "
1,9,2,0,0,3,3,1,2,1,1213300291,אגרת היתר לסוכך חורף ,21300,  -   ,  -   ,  -   
2,9,2,0,0,3,3,1,2,1,1213300292,אגרת היתר הצבת שולחן+כסא ,21300,  -   ,  -   ,  -   
0,9,4,0,0,3,3,1,2,1,1213300490,גזרי דין רישוי עסקים ,21300,  -   ,  -   ,  -   
0,9,4,0,1,3,3,1,2,1,1213310490,הכנסות שונות ,21100,"  -2,800 ","  -4,000 ","  -4,000 "
0,9,2,0,0,2,4,1,2,1,1214200290,אגרת רשיונות לכלבים ,55200,  -   ,  -   ,  -   
1,9,2,0,0,2,4,1,2,1,1214200291,בדיקות משנה מזון טרי ,55300,"  -150,855 ","  -128,000 ","  -174,000 "
0,9,4,0,0,2,4,1,2,1,1214200490,דמי שירות בדיקות משנה ,55300,"  -87,000 ","  -100,000 ","  -100,000 "
5,9,4,0,0,2,4,1,2,1,1214200495,דמי בדיקה בשר קפוא ,55300,"  -112,460 ","  -120,000 ","  -264,000 "
6,9,4,0,0,2,4,1,2,1,1214200496,דמי בדיקת דגים ,55300,"  -140,070 ","  -138,000 ","  -177,000 "
7,9,4,0,0,2,4,1,2,1,1214200497,דמי בדיקת עופות ,55300,"  -192,830 ","  -256,000 ","  -280,000 "
8,9,4,0,0,2,4,1,2,1,1214200498,אגרת אחזקת בעלי חיים ,55300,  -   ,  -   ,  -   
0,2,2,0,0,3,4,1,2,1,1214300220,אגרת הסגרת כלבים ,55200,"  -109,204 ","  -128,000 ","  -138,000 "
1,2,2,0,0,3,4,1,2,1,1214300221,אגרת חיסון ,55200,"  -205,839 ","  -167,000 ","  -175,000 "
0,9,2,0,0,3,4,1,2,1,1214300290,אגרת רשיונות לכלבים ,55200,"  -430,990 ","  -463,000 ","  -486,000 "
0,9,4,0,0,3,4,1,2,1,1214300490,קנסות חוקי עזר ,55200,"  -21,140 ","  -87,800 ","  -87,800 "
0,6,9,0,0,3,4,1,2,1,1214300960,השתת.מ.חקלאות-חתולי רחוב ,55200,  -   ,"  -200,000 ",  -   
1,6,9,0,0,3,4,1,2,1,1214300961,השתת.-הקמת מרפאה וטרינרית,55200,  -   ,  -   ,"  -50,000 "
0,4,5,0,0,0,1,2,2,1,1221000540,החזרי ביטוח ,12200,"  -9,750 ",  -   ,  -   
3,9,4,0,0,1,2,2,2,1,1222100493,הכנסות עצמיות ,12500,  -   ,  -   ,  -   
0,1,9,0,0,1,2,2,2,1,1222100910,השתתפות משרד הפנים ,12500,"  -35,451 ","  -36,000 ","  -45,600 "
0,9,4,0,0,2,2,2,2,1,1222200490,דמי כניסה למטווח ,12400,"  -509,252 ","  -622,000 ","  -550,000 "
0,9,6,0,0,2,2,2,2,1,1222200690,מכירת תחמושת ,12400,"  -185,898 ","  -300,000 ","  -250,000 "
0,9,4,0,0,0,3,2,2,1,1223000490,הכנסות עצמיות ,12300,  -   ,  -   ,  -   
0,4,5,0,0,0,3,2,2,1,1223000540,החזר ביטוח ,12300,  -   ,  -   ,  -   
0,1,9,0,0,0,6,2,2,1,1226000910,"השתתפות משה""פ בהשתלמויות ",12600,  -   ,  -   ,  -   
1,1,9,0,0,0,6,2,2,1,1226000911,"השתת.משה""פ-חבצלת פיגועים ",12600,  -   ,  -   ,  -   
2,1,9,0,0,0,6,2,2,1,1226000912,סיוע מ.הפנים-חירום ובטחון,12600,"  -1,000,000 ",  -   ,  -   
0,9,4,0,0,0,1,3,2,1,1231000490,עמלה מתאגיד-ש.תכנון הנדסי,31100,  -   ,  -   ,  -   
0,4,5,0,0,0,1,3,2,1,1231000540,החזר ביטוח ,31100,  -   ,  -100 ,  -100 
0,9,5,0,0,0,1,3,2,1,1231000590,היטל השבחה למימון הנדסה ,31100,"  -5,000,000 ","  -7,500,000 ","  -7,500,000 "
0,2,2,0,0,0,2,3,2,1,1232000220,אגרת מידע תכנוני ,32100,  -910 ,  -100 ,  -100 
0,9,2,0,0,1,3,3,2,1,1233100290,אגרת רשיונות בניה ,33100,"  -4,729,759 ","  -6,200,000 ","  -7,500,000 "
0,9,5,0,0,1,3,3,2,1,1233100590,העברה מקרן עבודות פיתוח ,33100,"  -480,648 ","  -500,000 ","  -500,000 "
0,1,6,0,0,1,3,3,2,1,1233100610,מכירת תיקי בניה ,33100,"  -29,233 ","  -4,000 ","  -4,000 "
0,9,4,0,0,2,3,3,2,1,1233200490,גזרי דין פיקוח בניה ,32200,"  -588,223 ","  -400,000 ","  -500,000 "
0,9,5,0,0,4,3,3,2,1,1233400590,העברה מקרן עבודות פיתוח ,33200,  -   ,"  -1,800,000 ","  -2,000,000 "
5,9,4,0,0,0,2,4,2,1,1242000495,השתתפות מוסדות ,34100,  -   ,  -100 ,  -100 
0,9,9,0,0,1,3,4,2,1,1243100990,חסכון בתאורת חוץ-תמיכה ,34400,  -   ,  -   ,  -   
0,9,6,0,0,0,4,4,2,1,1244000690,הכנסות מסימון ת.מוניות ,34200,  -   ,  -100 ,  -100 
0,9,4,0,2,5,4,4,2,1,1244520490,השתתפות תושבים בפעילות ,49800,  -   ,  -   ,  -   
1,9,4,0,2,5,4,4,2,1,1244520491,הכנסות מיוחדות ,49800,  -   ,  -   ,  -   
