,,,,,,,,,,חשבון ,שם חשבון ,מחלקה , ביצוע 2010  , תקציב 2011 מע , הצעת תקציב 20 
0,1,1,0,0,0,1,1,1,1,1111000110,ארנונה - גביה שוטפת ,72900,"  -443,851,282 ","  -453,000,000 ","  -526,000,000 "
1,1,1,0,0,0,1,1,1,1,1111000111,ארנונה - סקר שטחים ,72900,"  -142,969 ",  -   ,  -   
3,1,1,0,0,0,1,1,1,1,1111000113,הפרשי ארנונה חברות תשתית ,72900,"  -2,155,165 ","  -5,000,000 ","  -12,000,000 "
4,1,1,0,0,0,1,1,1,1,1111000114,מבצע ארנונה 2006/7 ,72900,"  -1,069 ",  -   ,  -   
8,1,1,0,0,0,1,1,1,1,1111000118,ארנונה מותנה ,72900,  -   ,"  -25,500,000 ",  -   
0,1,1,0,0,0,2,1,1,1,1112000110,ארנונה - גביה מפיגורים ,72900,"  -55,113,947 ","  -70,000,000 ","  -55,000,000 "
9,1,1,0,0,0,3,1,1,1,1113000119,ארנונה- הנחות מימון ,72900,"  -3,494,000 ","  -3,300,000 ","  -3,000,000 "
9,1,1,0,0,0,5,1,1,1,1115000119,ארנונה- הנחות לזכאים ,72900,"  -59,082,000 ","  -61,700,000 ","  -62,000,000 "
0,9,2,0,0,0,1,2,1,1,1121000290,תעודות ואשורים ,72900,"  -260,329 ","  -260,000 ","  -280,000 "
1,9,2,0,0,0,1,2,1,1,1121000291,אישור תושבות ,72900,  -702 ,  -   ,  -   
0,4,5,0,0,1,1,2,1,1,1121100540,החזר ביטוח ,71100,"  -345,000 ",  -   ,  -   
0,9,2,0,0,5,1,2,1,1,1121500290,העתקי תלושים ,81200,  -   ,  -   ,  -   
1,9,2,0,0,5,1,2,1,1,1121500291,תעודת עובד נוספת ,81200,  -   ,  -   ,  -   
0,9,6,0,0,7,1,2,1,1,1121700690,הכנסות ממכירת מכרזים ,72500,"  -193,250 ","  -100,000 ","  -110,000 "
0,9,2,0,0,0,3,2,1,1,1123000290,אגרת בקשה למידע ,13100,  -708 ,  -100 ,  -100 
1,9,2,0,0,0,3,2,1,1,1123000291,אגרת איתור וטיפול ,13100,  -   ,  -   ,  -   
2,9,2,0,0,0,3,2,1,1,1123000292,אגרת הפקת מידע ,13100,  -   ,  -   ,  -   
3,9,2,0,0,0,3,2,1,1,1123000293,חוק חופש המידע ,13100,  -   ,  -   ,  -   
0,9,4,0,0,1,3,2,1,1,1123100490,עמלה מהתאגיד-שירותי גביה ,72300,  -   ,  -   ,  -   
1,9,4,0,0,1,3,2,1,1,1123100491,עמלה מהתאגיד-מדור בעלים ,72300,  -   ,  -   ,  -   
2,9,4,0,0,1,3,2,1,1,1123100492,חלוקת חיובי מים לבתים-תא.,72300,  -   ,  -   ,  -   
0,9,4,0,1,1,3,2,1,1,1123110490,אגרות בית משפט ,72300,"  -13,302 ",  -   ,  -   
0,9,6,0,1,1,3,2,1,1,1123110690,עמלת ישראכרט ,72300,"  -103,311 ","  -100,000 ","  -130,000 "
0,2,2,0,2,1,3,2,1,1,1123120220,אגרת פעולות אכיפה- שוטף ,72300,"  -11,417 ",  -   ,  -   
1,2,2,0,2,1,3,2,1,1,1123120221,אגרת פעולות אכיפה -פיגור ,72300,"  -1,913,813 ","  -1,000,000 ","  -1,950,000 "
0,7,6,0,2,1,3,2,1,1,1123120670,דמי זכיון ,72300,"  -2,091,451 ","  -2,145,000 ","  -2,200,000 "
