חשבון ,שם חשבון ,מחלקה , הצעת תקציב 2014 , תקציב 2013 מעודכן , ביצוע 2012  
1192000910,"מ.הפנים-אבטחת רה""ע ",11100,  -100 ,"  -360,000 ",  -   
1611100105,עובדים זמניים ,11100,"  150,000 ",  -   ,"  44,719 "
1611100110,שכר קובע ,11100,"  3,879,251 ","  3,733,080 ","  3,373,840 "
1611100120,תוספות שאינן בשכר קובע ,11100,"  163,887 ","  229,250 ","  199,877 "
1611100130,שעות נוספות ,11100,"  20,521 ","  19,599 ","  16,077 "
1611100140,החזר הוצאות ,11100,"  432,694 ","  435,373 ","  412,926 "
1611100181,הפרשות סוציאליות ,11100,"  1,108,821 ","  1,018,647 ","  926,632 "
1611100182,מיסים ועלויות ,11100,"  366,169 ","  352,385 ","  324,329 "
1611100510,אירוח רשמי ,11100,"  10,000 ","  10,000 ",  -   
1611100511,אירוח וכיבוד ,11100,"  45,000 ","  43,000 ","  63,780 "
1611100512,"אש""ל ונסיעות ",11100,  -   ,"  1,000 ",  129 
1611100514,החזר שי בתפקיד ,11100,"  36,720 ","  36,720 ","  24,590 "
1611100522,ספרות מקצועית ועיתונות ,11100,"  50,000 ","  50,000 ","  33,246 "
1611100523,דמי חבר בפורום סגנים ,11100,"  3,000 ","  3,000 ","  2,500 "
1611100531,דלק ,11100,"  174,300 ","  161,291 ","  172,266 "
1611100540,הוצאות תקשורת ,11100,"  72,000 ","  100,000 ","  54,514 "
1611100550,פרסום והדפסות ,11100,"  5,000 ","  5,000 ","  5,101 "
1611100561,צילום מסמכים ,11100,"  17,000 ","  17,000 ","  17,045 "
1611100580,הוצאות אירגוניות ,11100,"  14,000 ","  12,500 ","  12,453 "
1611100735,השכרת רכב ,11100,"  276,385 ","  250,302 ","  242,271 "
1611100759,"אבטחת רה""ע ",11100,  100 ,"  360,000 ",  -   
1611100769,שירות לאומי ,11100,"  38,400 ","  38,400 ","  20,046 "
1611200110,שכר קובע ,11200,"  68,005 ","  65,271 ",  -   
1611200120,תוספות שאינן בשכר קובע ,11200,  416 ,"  3,968 ",  -   
1611200130,שעות נוספות ,11200,  -   ,"  1,050 ",  -   
1611200140,החזר הוצאות ,11200,"  9,522 ","  7,798 ",  -   
1611200181,הפרשות סוציאליות ,11200,"  12,272 ","  11,101 ",  -   
1611200182,מיסים ועלויות ,11200,"  5,926 ","  6,155 ",  -   
1611200440,ביטוח תאונות אישיות ,11200,"  23,100 ","  22,800 ","  22,034 "
1611200511,אירוח וכיבוד ,11200,"  53,000 ","  53,000 ","  35,883 "
1611200512,"אש""ל ונסיעות ",11200,  -   ,"  1,000 ",  -   
1611200522,ספרות מקצועית ,11200,"  6,500 ","  6,500 ","  1,080 "
1611200540,הוצאות תקשורת ,11200,"  7,000 ","  8,000 ","  4,851 "
1611200561,צילום מסמכים ,11200,"  26,000 ","  21,500 ","  15,008 "
1611200580,הוצאות אירגוניות ,11200,"  9,000 ","  6,000 ","  6,198 "
1611200710,הובלות והסעות ,11200,"  5,000 ","  5,000 ",  -   
1611200731,דלק ,11200,"  11,989 ","  13,366 ","  12,680 "
1611200735,השכרת רכב ,11200,"  43,200 ","  34,100 ","  32,781 "
1611200750,שרותי הקלטה ותימלול ,11200,"  70,000 ","  71,000 ","  75,490 "
1611200751,וועדת ערר לארנונה ,11200,"  75,000 ","  80,000 ",  -   
1611110130,שעות נוספות ,11300,  -   ,  -   ,  -   
1611110181,הפרשות סוציאליות ,11300,  -   ,  -   ,  -   
1611110182,מיסים ועלויות ,11300,  -   ,  -   ,  -   
1614100105,עובדים זמניים ,11300,"  80,000 ",  -   ,"  45,131 "
1614100110,שכר קובע ,11300,"  347,924 ","  453,076 ","  415,048 "
1614100120,תוספות שאינן בשכר קובע ,11300,"  54,942 ","  79,457 ","  74,712 "
1614100130,שעות נוספות ,11300,"  8,307 ","  1,962 ","  4,565 "
1614100140,החזר הוצאות ,11300,"  49,309 ","  72,250 ","  69,860 "
1614100181,הפרשות סוציאליות ,11300,"  78,153 ","  95,355 ","  89,432 "
1614100182,מיסים ועלויות ,11300,"  37,243 ","  48,911 ","  45,466 "
1614100410,השכרת אולם לשבת תרבות ,11300,"  104,000 ","  88,000 ","  104,000 "
1614100511,אירוח וכיבוד ,11300,"  10,000 ","  9,500 ","  2,435 "
1614100512,"אש""ל ונסיעות ",11300,  -   ,"  1,000 ",  -   
1614100522,ספרות מקצועית ועיתונות ,11300,"  22,000 ","  30,000 ","  24,515 "
1614100523,דמי חבר בארגונים ,11300,"  1,000 ","  1,000 ",  800 
1614100540,הוצאות תקשורת ,11300,"  12,000 ","  14,000 ","  7,920 "
1614100550,פרסום והדפסות ,11300,"  130,000 ","  136,000 ","  172,811 "
1614100551,תשדירי רדיו ,11300,"  40,000 ","  40,000 ","  25,540 "
1614100552,צילום ופיתוח תמונות ,11300,"  135,000 ","  135,000 ","  132,634 "
1614100561,צילום מסמכים ,11300,"  2,500 ","  2,000 ","  1,829 "
