חשבון ,שם חשבון ,מחלקה , ביצוע 2014 , תקציב 2015 מעודכן , הצעת תקציב 2016  
1192000910,"מ.הפנים-אבטחת רה""ע ",11100, -   , -   , -   
1196000910,השתת.משרד הפנים בשכר צוער,11100," -25,716 "," -112,125 "," -115,722 "
1611100105,עובדים זמניים ,11100, -   , -   , -   
1611100110,שכר קובע ,11100," 3,520,959 "," 4,024,961 "," 3,442,912 "
1611100120,תוספות שאינן בשכר קובע ,11100," 108,278 "," 125,375 "," 96,244 "
1611100130,שעות נוספות ,11100," 19,613 "," 13,722 "," 13,695 "
1611100140,החזר הוצאות ,11100," 389,053 "," 448,232 "," 349,475 "
1611100181,הפרשות סוציאליות ,11100," 974,101 "," 1,134,230 "," 964,378 "
1611100182,מיסים ועלויות ,11100," 322,318 "," 373,715 "," 315,524 "
1611100510,אירוח רשמי ,11100," 3,475 "," 9,900 "," 4,158 "
1611100511,אירוח וכיבוד ,11100," 56,596 "," 70,242 "," 69,300 "
1611100512,"אש""ל ונסיעות ",11100, -   , -   , -   
1611100514,החזר שי בתפקיד ,11100," 21,536 "," 36,352 "," 36,352 "
1611100522,ספרות מקצועית ועיתונות ,11100," 37,885 "," 32,670 "," 19,800 "
1611100523,דמי חבר בפורום סגנים ,11100," 5,000 "," 5,445 "," 5,940 "
1611100531,דלק ,11100," 117,227 "," 128,327 "," 183,856 "
1611100540,הוצאות תקשורת ,11100," 32,677 "," 35,343 "," 34,155 "
1611100550,פרסום והדפסות ,11100," 4,600 "," 4,950 "," 4,950 "
1611100561,צילום מסמכים ,11100," 11,611 "," 16,830 "," 11,880 "
1611100580,הוצאות אירגוניות ,11100," 13,891 "," 13,860 "," 13,365 "
1611100735,השכרת רכב ,11100," 240,728 "," 213,328 "," 250,773 "
1611100759,"אבטחת רה""ע ",11100, -   , -   , -   
1611100769,שירות לאומי ,11100," 32,591 "," 30,413 "," 19,800 "
1611200110,שכר קובע ,11200," 63,855 "," 62,875 "," 183,308 "
1611200120,תוספות שאינן בשכר קובע ,11200, 383 , 357 ," 24,554 "
1611200130,שעות נוספות ,11200, -   , -   , -   
1611200140,החזר הוצאות ,11200," 9,539 "," 9,419 "," 33,115 "
1611200181,הפרשות סוציאליות ,11200," 16,919 "," 17,495 "," 43,022 "
1611200182,מיסים ועלויות ,11200," 5,592 "," 5,503 "," 18,165 "
1611200440,ביטוח תאונות אישיות ,11200," 25,762 "," 23,067 "," 23,166 "
1611200511,אירוח וכיבוד ,11200," 74,082 "," 111,809 "," 89,100 "
1611200512,"אש""ל ונסיעות ",11200, -   , -   , -   
1611200522,ספרות מקצועית ,11200," 6,552 "," 6,930 "," 1,980 "
1611200540,הוצאות תקשורת ,11200," 2,061 "," 1,881 "," 2,475 "
1611200561,צילום מסמכים ,11200," 16,891 "," 17,820 "," 17,820 "
1611200580,הוצאות אירגוניות ,11200," 9,104 "," 8,910 "," 8,910 "
1611200710,הובלות והסעות ,11200, -   ," 4,950 "," 4,950 "
1611200731,דלק ,11200," 14,272 "," 17,298 "," 11,797 "
1611200735,השכרת רכב ,11200," 32,379 "," 38,016 "," 23,895 "
1611200750,שרותי הקלטה ותימלול ,11200," 77,511 "," 81,800 "," 79,200 "
1611200751,וועדת ערר לארנונה ,11200," 41,956 "," 47,520 "," 47,044 "
1611110130,שעות נוספות ,11300, -   , -   , -   
1611110181,הפרשות סוציאליות ,11300, -   , -   , -   
1611110182,מיסים ועלויות ,11300, -   , -   , -   
1614100105,עובדים זמניים ,11300," 23,831 ", -   ," 24,057 "
1614100110,שכר קובע ,11300," 354,957 "," 362,298 "," 377,935 "
1614100120,תוספות שאינן בשכר קובע ,11300," 41,294 "," 43,254 "," 43,558 "
1614100130,שעות נוספות ,11300," 12,857 "," 16,432 "," 16,400 "
1614100140,החזר הוצאות ,11300," 34,515 "," 35,470 "," 42,156 "
1614100181,הפרשות סוציאליות ,11300," 79,518 "," 85,901 "," 85,441 "
1614100182,מיסים ועלויות ,11300," 36,485 "," 37,791 "," 38,952 "
1614100410,השכרת אולם לשבת תרבות ,11300," 96,000 "," 110,167 "," 109,065 "
1614100434,שירותי נקיון-שבת תרבות ,11300, -   ," 3,000 "," 4,950 "
1614100511,אירוח וכיבוד ,11300, 650 ," 9,900 "," 9,801 "
