תקציב 2016,,
,,
מס' כרטיס,שם כרטיס,תקציב
1111100100,ארנונה כללית למגו,"306,160,000.00"
1111100102,הכנסות מהוצאות גבייה,"700,000.00"
1111100108,הנחות ארנונה,"44,500,000.00"
1121000220,תעודות ואישורים,"250,000.00"
1122000220,הכנסות מאגרת שילו,"5,600,000.00"
1180000220,הכנסות ממיחשוב,"144,000.00"
1212300610,הכנסות מפינוי בקבוקים,"500,000.00"
1212300611,תמיר הכנסות מחזור אריזות,"600,000.00"
1212300690,הכנ ממכירת פחי אש,
1214200220,פיקוח וטרינרי-אגר,"385,000.00"
1214200990,ממשלה לפקוח וטרינ,"120,000.00"
1221000910,"משא""ז משרד הפנים","10,000.00"
1222000220,אגרות שמירה,"4,692,000.00"
1222000990,שמירה ממשטרת ישרא,"3,800,000.00"
1231000220,א. ההנדסה - הכנסו,"150,000.00"
1233100220,אגרת רשיונות בניה,"10,000,000.00"
1243000690,הכנסות מתשלום חשב,
1244500990,ממשלה לבטיחות בדר,"88,000.00"
1262000650,דמי הדבקת מודעות,"3,500.00"
1281000690,ברירת קנס חנייה,"9,000,000.00"
1282000440,הכנסות מרשויות לב,"835,000.00"
1282000690,בית משפט - קנסות,"80,000.00"
1282000691,רישוי עסקים לאחר,"80,000.00"
1282000692,קנסות חנייה לאחר,
1282000693,קנס פיקוח כללי לא,"250,000.00"
1282000694,כפל אגרה,"100,000.00"
1291000220,היתרים רישוי עסקי,"150,000.00"
1312000690,השתתפות הורים לפנ,"1,405,904.00"
1312200220,אגרת חינוך גן חוב,"335,000.00"
1312204920,עוזרות גננות,"6,105,715.00"
1312207920,"השת' משה""ח גננות","7,836,329.00"
1312300410,שכל ג.ילדים טרום,"241,750.00"
1312305920,"שכ""ל גני ילדים","25,246,664.00"
1312601920,"העשרה גנ""י",
1312602920,ה.נלוות ח.מיוחד ג,"88,000.00"
1313200220,אג' חינוך מבתי ספ,"552,250.00"
1313200430,אג.תלמידי חוץ -שכ,"400,000.00"
1313200431,"שכ""ל מתלמידי חוץ","1,100,000.00"
1313200920,ניהול עצמי,"7,600,000.00"
1313206920,שרתים,"1,750,000.00"
1313207920,מזכירים,"650,000.00"
1313209920,שרתים ומזכירים בטכנודע,"200,000.00"
1313210920,"אגרת שיכפול +מתי""","500,000.00"
1313211920,סל תלמיד לעולה יס,"30,000.00"
1313212920,"שרתים מתי""א","45,000.00"
1313214920,"מזכירי מתי""א","92,000.00"
1313300410,"הכנסות מבתי""ס בגין הזנה",
1313302920,"הוצ' נלוות ח,מיוח","800,000.00"
1313303920,"סייעות בי""ס חריגו","1,800,000.00"
1313305920,חוק שילוב סייעות,"4,595,000.00"
1313306920,שרותי היקף ח.מיוח,"164,000.00"
1313307920,סייעות כיתתיות,"3,250,000.00"
1313500410,החזרים ממוסדות מוכרים בגין הוצאות העירייה,"1,450,000.00"
1313500920,מזכירות ושרתים מוסדות מוכרים שאינם רשמיים,"1,220,000.00"
1313700920,השת ממש לחווה חקל,"190,000.00"
1314000920,מממשלה לחטיבות הב,"140,000.00"
1314700410,מהורים לחוגי העשר,
1315200920,ממש תיכון תחכמוני,"1,000,000.00"
1316500920,הכנסות מתמיחות מי,"5,000.00"
1317100920,"ממשלה לקבט""ים","300,000.00"
1317103920,שומרים,"200,000.00"
1317200920,ממשלה לפסגה,"267,000.00"
1317300920,שרות פסיכולוגי חי,"2,750,000.00"
1317600920,ממשלה לרווחה חינו,"600,000.00"
1317600921,תוכנית תהל,"800,000.00"
1317600990,תוכנית שמידט,"618,000.00"
1317703920,"קבסי""ם","735,000.00"
1317800920,הסעת ילדים השתתפו,
1317802920,הסעות ח.מיוחד חיפ,"2,550,000.00"
1317803920,הסעות נט חיפה,"750,000.00"
1317804920,"ל.הסעות ח""מ חיפה","1,600,000.00"
1317900420,הכנסות שונות מחינ,
1317900920,השתת.ממשלה למועדו,
1317900921,הכנסות שונות מחינוך,"1,700,000.00"
1317900922,הכנסות בגין שיפוצי קיץ,"520,000.00"
1321000920,עיר ללא אלימות,"739,256.00"
1322000920,הכנסות לתרבות,"20,000.00"
1322000922,תכנית שמידט בעמותה,"448,000.00"
1327000420,הכנסות פעילות חינוך תורני,"100,000.00"
1327000920,הכנסות ממשלה לתרבות תורנית,"200,000.00"
