חשבון ,פרק,שם חשבון ,מחלקה ,מקורי 2015 ,ביצוע עד ספטמ,תקציב 2016-כו,תקציב בסיס 2016
1111100100,11,גביה שוטפת-מגורים ,2623000,"-225,000,000","-170,554,500","-227,990,000","-227,990,000"
1111200100,11,גבית פיגורים-מגורים ,2623000,"-9,805,000","-7,810,600","-8,402,000","-8,402,000"
1111300100,11,גביה שוטפת -לא למגורים ,2623000,"-395,000,000","-313,835,300","-414,102,000","-414,102,000"
1111400100,11,גבית פיגורים-לא למגורים ,2623000,"-45,200,000","-41,682,700","-34,574,000","-33,822,500"
1113000100,11,הנחות מימון(ארנונה מראש ו,2990001,"-3,700,000","-3,245,100","-3,700,000","-3,700,000"
1113001100,11,הכנסות מעמלות מתשלום בכ.א,2160000,"-20,000","-13,800","-20,000","-20,000"
1115000100,11,הנחות לזכאים ,2990001,"-70,000,000","-57,182,600","-71,000,000","-71,000,000"
1116000100,11,הנחות ועדה בגין מצב חומרי,2990001,"-15,500,000","-13,060,900","-16,200,000","-16,200,000"
1117000100,11,הנחות ועדה אחרות ,2990001,"-30,000","-57,200","-100,000","-100,000"
1120000290,12,אכיפה /טיפול משפטי ,1617000,"-3,000,000","-1,937,800","-3,000,000","-3,000,000"
1121000290,12,תעודות ואישורים ,1610000,"-180,000","-184,600","-200,000","-200,000"
1122000290,12,אגרת רשיונות לשלטים ,6781002,"-6,740,000","-4,654,000","-7,250,000","-7,250,000"
1129001290,12,אגרת שמירה ,1726000,"-11,500,000","-8,561,300","-11,500,000","-11,500,000"
1130000800,13,הטלים ,2640000,"-71,375,700","-53,673,600","-71,375,000","-71,375,000"
1130000801,13,קרן תאגיד מים ,1610000,0,0,"-8,000,000","-8,000,000"
1130001800,13,היטלי מים ,3910000,0,0,0,0
1130002800,13,היטלי ביוב ,6972000,0,0,0,0
1130003800,13,הטלי כבישים ,3742000,0,0,0,0
1160000661,16,הכנסות מימון ,2621100,"-7,500,000","-2,088,200","-5,500,000","-5,500,000"
1160001661,16,"הכנסות מימון- חפ""א ",2621300,"-2,359,000","-1,618,100","-2,114,000","-2,114,000"
1190000910,19,בחירות לרשות-הכנ' מ. הפני,1610000,0,0,0,0
1192000910,19,מענקים חד פעמיים ,2620000,0,0,0,0
1210000590,21,החזרות מקרנות ,6710000,0,0,0,0
1212200690,21,ניקיון עורף הנמל ,6712200,0,0,0,0
1212300620,21,מכירת ציוד יסודי - אשפה ,6712300,"-20,000","-71,700",0,0
1212300650,21,מכרז-פינוי מכלי מחזור טקס,6712300,"-89,200",0,"-127,000","-127,000"
