,,,,,ה צ ע ת  התקציב הרגיל לשנת: 2015,תקציב,אומדן,תקציב,תקציב,ביצוע
,שם הפרק,אגף,הסעיף,הפרק,"ת ק ב ו ל י ם  - באלפי ש""ח",2015,2014,סופי 2014,מקורי 2014,2013
,,,,1,מיסים ואגרות,,,,,
,,,,11,ארנונות,,,,,
111100100,ארנונות,2,100,111100,ארנונה למגורים  - גבייה שוטפת,169000,168000,167000,167000,158637
111200100,ארנונות,2,100,111200,ארנונה למגורים  - גבייה מיתרת פיגורים,12000,12000,12000,12000,11058
111300100,ארנונות,2,100,111300,ארנונה שלא למגורים - גבייה שוטפת,248000,243000,243000,243000,233103
111400100,ארנונות,2,100,111400,ארנונה שלא למגורים - גבייה מיתרת פיגורים,31000,31000,32000,32000,29730
,,,,,"סה""כ גביית ארנונה:",460000,454000,454000,454000,432528
113000106,ארנונות,2,106,113000,ארנונה - הנחות מימון למשלמים מראש ובהוראות קבע,1500,1400,1550,1550,1365
115000106,ארנונות,2,106,115000,"ארנונה - הנחות לזכאים עפ""י צו",49000,44500,43950,43950,40557
116000106,ארנונות,2,106,116000,ארנונה - הנחות ועדה בגין מצב חומרי,500,350,350,350,339
,,,,,"סה""כ הנחות בארנונה:",51000,46250,45850,45850,42261
,,,,11,"סה""כ - ארנונות:",511000,500250,499850,499850,474789
,,,,12,אגרות ועמלות גבייה,,,,,
121000220,אגרות,2,220,121000,"אגרת תעודות, אישורים ומידע",340,330,340,340,319
122000220,אגרות,3,220,122000,אגרת רשיונות לשלטים,2800,2800,2700,2700,2831
123000420,עמלות גבייה,2,420,123000,עמלות גביית מים וביוב מהתאגיד,0,0,0,0,3154
124100220,אגרות,3,220,124100,אגרת הדבקת מודעות,30,26,35,35,45
,,,,12,"סה""כ - אגרות ועמלות גבייה:",3170,3156,3075,3075,6349
,,,,1,"סה""כ  -מיסים ואגרות:",0,0,0,0,0
,,,,2,שרותים מקומיים,,,,,
,,,,21,תברואה,,,,,
212000220,תברואה,3,220,212000,אגרת ניקוי מגרשים,8,8,6,6,9
212000490,תברואה,3,490,212000,הכנסות בגין איסוף בקבוקי פלסטיק,5,5,5,5,1
212100220,תברואה,3,220,212100,"החזר בגין פינוי פסולת אריזות -תמי""ר (כולל דמ""ש בפחים כתומים) (במקביל בהוצאות בסעיף 7121/752) ",3250,3225,3150,3150,438
212100221,תברואה,3,221,212100,"החזר בגין דמ""ש ופינוי פסולת קרטון (תמי""ר) (במקביל בהוצאות בסעיף 7121/750) ",400,270,600,600,0
212100222,,3,222,212100,הכנסות מאיסוף בגדים ובדים למיחזור ושימוש חוזר - באמצעות חב' רוזניר,80,0,0,0,0
212300490,תברואה,3,490,212300,הכנסות מאיסוף פסולת נייר - אמניר,200,215,250,250,106
213300220,תברואה,3,220,213300,אגרת רישוי עסקים,400,400,400,400,407
214200221,תברואה,3,221,214200,אגרת פיקוח על מכירת מוצרים מן החי (בשר ודגים),210,270,210,210,119
214300220,תברואה,3,220,214300,אגרת רשיונות לכלבים,600,600,600,600,704
214300221,תברואה,3,221,214300,(אגרת פיקוח על כלבים  (כלביה,30,28,30,30,29
