,,,,ה צ ע ת  התקציב הרגיל לשנת: 2015,תקציב,אומדן,תקציב,תקציב,ביצוע
שם הפרק,אגף,הסעיף,הפרק,"ת ק ב ו ל י ם  - באלפי ש""ח",2015,2014,סופי 2014,מקורי 2014,2013
,,,1,מיסים ואגרות,,,,,
,,,11,ארנונות,,,,,
ארנונות,2,100,111100,ארנונה למגורים  - גבייה שוטפת,"169,000","168,000","167,000","167,000","158,637"
ארנונות,2,100,111200,ארנונה למגורים  - גבייה מיתרת פיגורים,"12,000","12,000","12,000","12,000","11,058"
ארנונות,2,100,111300,ארנונה שלא למגורים - גבייה שוטפת,"248,000","243,000","243,000","243,000","233,103"
ארנונות,2,100,111400,ארנונה שלא למגורים - גבייה מיתרת פיגורים,"31,000","31,000","32,000","32,000","29,730"
,,,,"סה""כ גביית ארנונה:","460,000","454,000","454,000","454,000","432,528"
ארנונות,2,106,113000,ארנונה - הנחות מימון למשלמים מראש ובהוראות קבע,"1,500","1,400","1,550","1,550","1,365"
ארנונות,2,106,115000,"ארנונה - הנחות לזכאים עפ""י צו","49,000","44,500","43,950","43,950","40,557"
ארנונות,2,106,116000,ארנונה - הנחות ועדה בגין מצב חומרי,500,350,350,350,339
,,,,"סה""כ הנחות בארנונה:","51,000","46,250","45,850","45,850","42,261"
,,,11,"סה""כ - ארנונות:","511,000","500,250","499,850","499,850","474,789"
,,,12,אגרות ועמלות גבייה,,,,,
אגרות,2,220,121000,"אגרת תעודות, אישורים ומידע",340,330,340,340,319
אגרות,3,220,122000,אגרת רשיונות לשלטים,"2,800","2,800","2,700","2,700","2,831"
עמלות גבייה,2,420,123000,עמלות גביית מים וביוב מהתאגיד,0,0,0,0,"3,154"
אגרות,3,220,124100,אגרת הדבקת מודעות,30,26,35,35,45
,,,12,"סה""כ - אגרות ועמלות גבייה:","3,170","3,156","3,075","3,075","6,349"
,,,1,"סה""כ  -מיסים ואגרות:",0,0,0,0,0
,,,2,שרותים מקומיים,,,,,
,,,21,תברואה,,,,,
תברואה,3,220,212000,אגרת ניקוי מגרשים,8,8,6,6,9
תברואה,3,490,212000,הכנסות בגין איסוף בקבוקי פלסטיק,5,5,5,5,1
תברואה,3,220,212100,"החזר בגין פינוי פסולת אריזות -תמי""ר (כולל דמ""ש בפחים כתומים) (במקביל בהוצאות בסעיף 7121/752) ","3,250","3,225","3,150","3,150",438
תברואה,3,221,212100,"החזר בגין דמ""ש ופינוי פסולת קרטון (תמי""ר) (במקביל בהוצאות בסעיף 7121/750) ",400,270,600,600,0
,3,222,212100,הכנסות מאיסוף בגדים ובדים למיחזור ושימוש חוזר - באמצעות חב' רוזניר,80,0,0,0,0
תברואה,3,490,212300,הכנסות מאיסוף פסולת נייר - אמניר,200,215,250,250,106
תברואה,3,220,213300,אגרת רישוי עסקים,400,400,400,400,407
תברואה,3,221,214200,אגרת פיקוח על מכירת מוצרים מן החי (בשר ודגים),210,270,210,210,119
תברואה,3,220,214300,אגרת רשיונות לכלבים,600,600,600,600,704
תברואה,3,221,214300,(אגרת פיקוח על כלבים  (כלביה,30,28,30,30,29
תברואה,3,960,214300,השתתפות משרד החקלאות בעיקור וסירוס חתולי רחוב,0,0,100,100,0
