,שם הפרק,אגף,הסעיף,הפרק,"ת ק ב ו ל י ם  - באלפי ש""ח",2016,2015,סופי 2015,מקורי 2015,2014
,,,,1,מיסים ואגרות,,,,,
,,,,11,ארנונות,,,,,
111100100,ארנונות,2,100,111100,ארנונה למגורים  - גבייה שוטפת,174000,171000,169000,169000,165978
111200100,ארנונות,2,100,111200,ארנונה למגורים  - גבייה מיתרת פיגורים,12000,13000,12000,12000,12801
111300100,ארנונות,2,100,111300,ארנונה שלא למגורים - גבייה שוטפת,264000,256000,248000,248000,244379
111400100,ארנונות,2,100,111400,ארנונה שלא למגורים - גבייה מיתרת פיגורים,32000,35000,31000,31000,30675
,,,,,"סה""כ גביית ארנונה:",482000,475000,460000,460000,453833
113000106,ארנונות,2,106,113000,ארנונה - הנחות מימון למשלמים מראש ובהוראות קבע,1520,1500,1500,1500,1386
115000106,ארנונות,2,106,115000,"ארנונה - הנחות לזכאים עפ""י דין",46580,46000,49000,49000,44751
116000106,ארנונות,2,106,116000,ארנונה - הנחות ועדה בגין מצב חומרי,350,200,500,500,84
,,,,,"סה""כ הנחות בארנונה:",48450,47700,51000,51000,46221
,,,,11,"סה""כ - ארנונות:",530450,522700,511000,511000,500054
,,,,12,אגרות ועמלות גבייה,,,,,
121000220,אגרות,2,220,121000,"אגרת תעודות, אישורים ומידע",400,380,340,340,399
122000220,אגרות,3,220,122000,אגרת רשיונות לשלטים,2400,2400,2800,2800,2379
124100220,אגרות,3,220,124100,אגרת הדבקת מודעות,30,30,30,30,25
,,,,12,"סה""כ - אגרות ועמלות גבייה:",2830,2810,3170,3170,2803
,,,,1,"סה""כ  -מיסים ואגרות:",578930,570430,562030,562030,546299
,,,,2,שרותים מקומיים,,,,,
,,,,21,תברואה,,,,,
212000220,תברואה,3,220,212000,אגרת ניקוי מגרשים,10,25,8,8,11
212000420,תברואה,3,420,212000,הכנסות בגין ניקוי מגרשים (במקביל בהוצאות בסעיף 712/756),70,0,0,0,0
212000490,תברואה,3,490,212000,הכנסות בגין איסוף בקבוקי פלסטיק,5,5,5,5,4
212100220,תברואה,3,220,212100,"החזר בגין פינוי פסולת אריזות -תמי""ר (כולל דמ""ש בפחים כתומים) (במקביל בהוצאות בסעיף 7121/752) ",2900,3680,3680,3250,2412
212100221,תברואה,3,221,212100,"החזר בגין דמ""ש ופינוי פסולת קרטון (תמי""ר) (במקביל בהוצאות בסעיף 7121/750) ",588,505,505,400,173
212100222,תברואה,3,222,212100,הכנסות מאיסוף בגדים ובדים למיחזור ושימוש חוזר - באמצעות חב' רוזניר,77,77,80,80,0
212300490,תברואה,3,490,212300,הכנסות מאיסוף פסולת נייר - אמניר,100,150,200,200,144
213300220,תברואה,3,220,213300,אגרת רישוי עסקים,300,300,400,400,350
