,"הצעת   התקציב   הרגיל   לשנת   2016   בש""ח",,,,,,,,,
סעיף מלא,סעיף,פרק,ספר,,שם,סוג,אחוז השינוי מול 2015,"הצעה
2016","תקציב  מקורי
2015","ביצוע
2014"
100092000,100,92000,1,,שכר עובדים לפי תקן,,,                ,                ,
110092000,110,92000,1,,השכר הקובע-תקציבית,שכר,0.13% ,159400,159200,153282.38
119092000,119,92000,1,,השכר הקובע-צוברת  ,שכר,-8.23% ,186300,203000,172350.09
122092000,122,92000,1,,ביגוד             ,שכר,-30.34% ,6200,8900,7272.1
126092000,126,92000,1,,דמי הבראה         ,שכר,-33.33% ,11800,17700,14091
130092000,130,92000,1,,שעות נוספות       ,שכר,0.00% ,63600,63600,57805.3
140092000,140,92000,1,,השתתפות באחזקת רכב,שכר,-9.72% ,38100,42200,38050.53
200092000,200,92000,1,,שכר עובדים ללא תקן, ,,,,
400092000,400,92000,1,,אחזקת בנינים וציוד, ,,,,
410092000,410,92000,1,,השתתפות בועד בית  ,קשיח,0.00% ,6200,6200,5159
420092000,420,92000,1,,כיבוי אש          ,גמיש,0.00% ,22000,22000,21984.57
423092000,423,92000,1,,תחזוקת מבנה       ,קשיח,0.00% ,44000,44000,0
431092000,431,92000,1,,חשמל              ,קשיח,-5.38% ,1230000,1300000,1203805.46
432092000,432,92000,1,,מים               ,קשיח,0.00% ,272700,272700,69146.5
433092000,433,92000,1,,חומרי נקיון       ,גמיש,0.00% ,28000,28000,17770.09
434092000,434,92000,1,,חיטוי והדברה      ,גמיש,0.00% ,2400,2400,1580
435092000,435,92000,1,,אחזקת מרכזיות,קשיח,0.00% ,15000,15000,0
436092000,436,92000,1,,אחזקת מזגנים      ,גמיש,0.00% ,60000,60000,59899
438092000,438,92000,1,,בטוח ורשוי קשר    ,קשיח,52.96% ,413000,270000,203657.13
439092000,439,92000,1,,השכרת איתוריות    ,קשיח,0.00% ,1800,1800,1719
450092000,450,92000,1,,ריהוט ואחזקתו     ,גמיש,0.00% ,56000,56000,54343.92
470092000,470,92000,1,,אחזקת מכונות משרד ,גמיש,0.00% ,15000,15000,11370.37
474092000,474,92000,1,,שרות למעליות      ,קשיח,0.00% ,29000,29000,25725.63
476092000,476,92000,1,,אחזקת גנרטור      ,קשיח,0.00% ,14000,14000,10738
500092000,500,92000,1,,הוצאות מינהליות   , ,,,,
511092000,511,92000,1,,שתיה לעובדים      ,גמיש,0.00% ,380000,380000,411869.11
540092000,540,92000,1,,הוצאות טלפון      ,קשיח,0.00% ,824000,824000,890805.25
542092000,542,92000,1,,מרכזיה טלולרית,גמיש,0.00% ,25000,25000,0
543092000,543,92000,1,,טלפונים סלולריים  ,גמיש,0.00% ,500000,500000,449700.61
545092000,545,92000,1,,סלולריים - עובדים,גמיש,0.00% ,4000,4000,-1405.55
561092000,561,92000,1,,שיכפולים          ,גמיש,0.00% ,21600,21600,21483.65
700092000,700,92000,1,,הוצאות לפעולות    , ,,,,
710092000,710,92000,1,,הובלות והסעות     ,גמיש,0.00% ,5600,5600,3953
721092000,721,92000,1,,חמרים-תחזוקת מבנים,גמיש,0.00% ,4000,4000,3462.56
722092000,722,92000,1,,חמרים-תחזוקה עצמית,גמיש,0.00% ,24000,24000,20927.91
742092000,742,92000,1,,כלים וציוד        ,גמיש,0.00% ,2400,2400,1513.86
751092000,751,92000,1,,עבודות קבלניות    ,גמיש,0.00% ,85000,85000,84468.38
752092000,752,92000,1,,נקיון בקבלנות     ,קשיח,3.23% ,960000,930000,841800
756092000,756,92000,1,,שמירה בקבלנות     ,קשיח,0.67% ,600000,596000,595361.22
780092000,780,92000,1,,שלוט וגינון       ,גמיש,0.00% ,4000,4000,0
789092000,789,92000,1,,כביסה             ,גמיש,0.00% ,800,800,160
794092000,794,92000,1,,השתתפות בעזר 094  ,קשיח,0.00% ,50000,50000,43861
931092000,931,92000,1,,רכישת ציוד        ,גמיש,0.00% ,24000,24000,20880.89
932092000,932,92000,1,,אג' טלוויזיה וכבלים,קשיח,0.00% ,15000,15000,11719.38
933092000,933,92000,1,,התקנה ואחזקת טלפון     ,גמיש,0.00% ,8000,8000,1003
934092000,934,92000,1,,רכישות/פע' חד-פעמי,גמיש,0.00% ,24000,24000,23193.69
492092100,492,92100,1,,השתתפות בעזר 092  ,קשיח,1.26% ,-6235900,-6158100,-5554508.03
100094000,100,94000,1,,שכר עובדים לפי תקן, ,,                ,                ,
110094000,110,94000,1,,השכר הקובע-תקציבית,שכר,-1.11% ,554300,560500,538022.86
119094000,119,94000,1,,השכר הקובע-צוברת  ,שכר,14.25% ,184400,161400,122440.23
122094000,122,94000,1,,ביגוד             ,שכר,-4.91% ,21300,22400,17924.2
126094000,126,94000,1,,דמי הבראה         ,שכר,-5.98% ,34600,36800,29214.55
130094000,130,94000,1,,שעות נוספות       ,שכר,0.00% ,54600,54600,64491.55
140094000,140,94000,1,,השתתפות באחזקת רכב,שכר,-15.15% ,61600,72600,66157.5
253094000,253,94000,1,,עובדים חיצוניים   ,שכר,0.00% ,0,0,30562.44
400094000,400,94000,1,,אחזקת בנינים וציוד, ,,,,
420094000,420,94000,1,,כיבוי אש          ,גמיש,0.00% ,2000,2000,2000
423094000,423,94000,1,,תחזוקת מבנה       ,קשיח,0.00% ,104600,104600,1400
433094000,433,94000,1,,חומרי נקיון       ,גמיש,0.00% ,2700,2700,2416.23
437094000,437,94000,1,,אחזקת אזעקה       ,קשיח,0.00% ,2000,2000,1983.58
470094000,470,94000,1,,אחזקת מכונות משרד ,גמיש,0.00% ,2400,2400,1322.22
471094000,471,94000,1,,מכשירי כתיבה      ,גמיש,8.70% ,12500,11500,9206.57
492094000,492,94000,1,,השתתפות בעזר 092  ,קשיח,3.97% ,193900,186500,166128
511094000,511,94000,1,,אירוח וכיבוד      ,גמיש,0.00% ,6500,6500,4802.69
540094000,540,94000,1,,הוצאות טלפון      ,קשיח,0.00% ,10000,10000,2261.84
550094000,550,94000,1,,פירסומים          ,גמיש,0.00% ,2000,2000,2000
561094000,561,94000,1,,שיכפולים          ,גמיש,0.00% ,400,400,124
571094000,571,94000,1,,"מיכון וענ""א       ",קשיח,0.00% ,113700,113700,120372.59
596094000,596,94000,1,,השתתפות בעזר 096  ,קשיח,0.00% ,100600,100600,88797
700094000,700,94000,1,,הוצאות לפעולות    , ,,,,
721094000,721,94000,1,,חמרים-תחזוקת מבנים,גמיש,0.00% ,1600,1600,342
742094000,742,94000,1,,כלים וציוד        ,גמיש,0.00% ,1200,1200,1256.33
751094000,751,94000,1,,עבודות קבלניות    ,גמיש,0.00% ,36000,36000,35873.6
752094000,752,94000,1,,נקיון בקבלנות     ,קשיח,0.00% ,19000,19000,16049.02
753094000,753,94000,1,,עובדים חיצוניים   ,קשיח,0.00% ,,,
756094000,756,94000,1,,שמירה בקבלנות     ,קשיח,7.38% ,240000,223500,223454.74
757094000,757,94000,1,,פינויים           ,גמיש,0.00% ,12000,12000,8443.98
900094000,900,94000,1,,הוצאות חד פעמיות  , ,,,,
930094000,930,94000,1,,רכישות חד פעמיות  ,גמיש,0.00% ,2400,2400,2194.65
794094100,794,94100,1,,השתתפות בעזר 094  ,קשיח,1.57% ,-1776300,-1748900,-1559242.37
100096000,100,96000,1,,שכר עובדים לפי תקן, ,,                ,                ,
110096000,110,96000,1,,השכר הקובע-תקציבית,שכר,-100.00% ,0,112000,93739.27
119096000,119,96000,1,,השכר הקובע-צוברת  ,שכר,41.87% ,592600,417700,428787.73
122096000,122,96000,1,,ביגוד             ,שכר,-66.67% ,3400,10200,9504.9
126096000,126,96000,1,,דמי הבראה         ,שכר,-53.53% ,7900,17000,18040.75
140096000,140,96000,1,,השתתפות באחזקת רכב,שכר,66.44% ,74400,44700,56918.5
400096000,400,96000,1,,אחזקת בנינים וציוד, ,,,,
420096000,420,96000,1,,כיבוי אש          ,גמיש,0.00% ,6700,6700,5403
432096000,432,96000,1,,מים               ,קשיח,0.00% ,63600,63600,7254.1
433096000,433,96000,1,,חומרי נקיון       ,גמיש,0.00% ,9900,9900,5724.68
441096000,441,96000,1,,ביטוח רכב         ,קשיח,-6.25% ,495000,528000,552320.77
470096000,470,96000,1,,אחזקת מכונות משרד ,גמיש,0.00% ,1400,1400,350.62
471096000,471,96000,1,,מכשירי כתיבה      ,גמיש,0.00% ,4200,4200,1032.5
492096000,492,96000,1,,השתתפות בעזר 092  ,קשיח,3.88% ,64200,61800,55048
500096000,500,96000,1,,הוצאות מינהליות   , ,,,,
511096000,511,96000,1,,אירוח וכיבוד      ,גמיש,0.00% ,3400,3400,2282.11
512096000,512,96000,1,,"נסיעות ואש""ל      ",גמיש,0.00% ,400,400,0
522096000,522,96000,1,,ספרים ועיתונים    ,גמיש,0.00% ,900,900,520
540096000,540,96000,1,,הוצאות טלפון      ,קשיח,0.00% ,6000,6000,2364.74
550096000,550,96000,1,,פירסומים          ,גמיש,0.00% ,9600,9600,0
561096000,561,96000,1,,שיכפולים          ,גמיש,0.00% ,1300,1300,402.34
571096000,571,96000,1,,"מיכון וענ""א       ",קשיח,0.00% ,51000,51000,53992.98
580096000,580,96000,1,,שמאות             ,גמיש,0.00% ,1700,1700,0
700096000,700,96000,1,,הוצאות לפעולות    , ,,,,
715096000,715,96000,1,,עבודות קבלניות-רכב,גמיש,0.00% ,4000,4000,0
721096000,721,96000,1,,חמרים-תחזוקת מבנים,גמיש,0.00% ,800,800,0
731096000,731,96000,1,,בנזין             ,קשיח,-10.00% ,450000,500000,465044.88
734096000,734,96000,1,,סולר              ,קשיח,-18.75% ,1300000,1600000,1350434.61
736096000,736,96000,1,,שמנים ומשחות      ,גמיש,0.00% ,24000,24000,23609
737096000,737,96000,1,,אגרת רשוי רכב     ,קשיח,-32.29% ,130000,192000,118160
742096000,742,96000,1,,כלים וציוד        ,גמיש,0.00% ,6600,6600,3930.19
746096000,746,96000,1,,השתתפות עצמית     ,קשיח,0.00% ,50000,50000,-41936.25
750096000,750,96000,1,,שטיפת רכבים,קשיח,0.00% ,13000,13000,5568.5
751096000,751,96000,1,,עבודות קבלניות    ,גמיש,0.00% ,15000,15000,0
752096000,752,96000,1,,נקיון בקבלנות     ,קשיח,0.00% ,11000,11000,9632.04
755096000,755,96000,1,,אחזקת איתורן,קשיח,0.00% ,65000,65000,60142
756096000,756,96000,1,,שמירה בקבלנות     ,קשיח,7.38% ,240000,223500,223500
757096000,757,96000,1,,טיפול ברכב        ,קשיח,0.00% ,1340000,1340000,1342703.6
758096000,758,96000,1,,שיפוצים           ,קשיח,0.00% ,250000,250000,224218
759096000,759,96000,1,,פחחות וצבע        ,גמיש,0.00% ,40000,40000,35647
794096000,794,96000,1,,השתתפות בעזר 094  ,קשיח,0.98% ,30900,30600,27194
596096100,596,96100,1,,השתתפות בעזר 096  ,קשיח,-6.11% ,-5367900,-5717000,-5141534.56
110000110,110,110000,1,,ארנונה כללית      ,גמיש,2.87% ,-537000000,-522000000,-487959356.71
110000111,111,110000,1,,ארנונה - מ.ג.ע.ר    ,גמיש,0.00% ,0,0,-17819.54
110000112,112,110000,1,,אגרות משפט        ,גמיש,0.00% ,-120000,-120000,-130724.81
110000113,113,110000,1,,החזר הוצאות משפט,גמיש,55.56% ,-280000,-180000,-293189.3
110000114,114,110000,1,,ארנונה - עסקים מילגם    ,גמיש,-30.00% ,-350000,-500000,-365792.31
110000115,115,110000,1,,ארנונה מגורים מילגם,גמיש,18.75% ,-950000,-800000,-809441.74
110000116,116,110000,1,,עיקולי בנקים,גמיש,87.50% ,-150000,-80000,-178473.6
110000117,117,110000,1,,עיקולי רכב,גמיש,0.00% ,-200000,-200000,0
110000176,176,110000,1,,גביות שונות לחלוקה,גמיש,0.00% ,0,0,105660.42
110000177,177,110000,1,,גביות - קו פתוח   ,גמיש,0.00% ,0,0,-779175.2
110000178,178,110000,1,,כרט' אשראי-קו פתוח,גמיש,0.00% ,0,0,425151.23
115000110,110,115000,1,,הכנסה משחרורים    ,גמיש,7.92% ,-69433200,-64339000,-68565656.45
115000111,111,115000,1,,החזר הנחות מימון,גמיש,4.90% ,-891000,-849400,-829106.06
115000112,112,115000,1,,פטורים מארנונה,גמיש,12.39% ,-32655500,-29056300,-32246054.78
115000113,113,115000,1,,הנחות מימון אשפה,גמיש,0.00% ,-7000,-7000,-4728.4
121000290,290,121000,1,,תעודות ואשורים    ,גמיש,13.04% ,-260000,-230000,-258759.13
122000290,290,122000,1,,אגרת רשיונות שלטים,גמיש,0.00% ,-8800000,-8800000,-9147650.5
122000291,291,122000,1,,החזר אג' משפט-שילוט,גמיש,-100.00% ,0,-4000,31.84
124000290,290,124000,1,,מודעות על לוחות   ,גמיש,-55.56% ,-40000,-90000,-41560.97
129000290,290,129000,1,,אגרת חניה  מוניות ,גמיש,0.00% ,-35000,-35000,-34427.3
160000840,840,160000,1,,ביוב התר בניה-מלוה,גמיש,-5.36% ,-303800,-321000,-325700
160000841,841,160000,1,,כביש-תאו'בניה-מלוה,גמיש,-2.59% ,-8510100,-8736200,0
160000842,842,160000,1,,תעול היתר בניה-מלו,גמיש,1.69% ,-2307400,-2269000,-2348350
160000843,843,160000,1,,מים היתר בניה-מלוה,גמיש,-8.48% ,-1014000,-1108000,-1134300
160000844,844,160000,1,,החזר מילוות-השבחה,גמיש,18.27% ,-7282000,-6157300,-2981000
192000910,910,192000,1,,החזר בגין הסכם שכר,גמיש,0.00% ,-300000,-300000,-357779
212200692,692,212200,1,,ניקוי מגרשים      ,גמיש,-60.00% ,-10000,-25000,-10612
212300690,690,212300,1,,אריזות כתומים-הפרדה במקור,גמיש,25.06% ,-1063000,-850000,-149353
212300691,691,212300,1,,מכירת מיכלי אשפה  ,גמיש,-12.50% ,-70000,-80000,-68137.54
212300692,692,212300,1,,הכנסות סילוק פסולת,גמיש,0.00% ,-8700000,-8700000,-9928249.94
212300693,693,212300,1,,מכירת בקבוקי פלסטיק,גמיש,0.00% ,-35000,-35000,-34873.02
212300694,694,212300,1,,מכירת נייר,גמיש,-70.00% ,-60000,-200000,-122583.05
212300695,695,212300,1,,מכירת בגדים משומשים,גמיש,0.00% ,-140000,-140000,-108433.1
212300696,696,212300,1,,מכירת קרטון למיחזור,גמיש,-9.91% ,-100000,-111000,-115518.7
212300697,697,212300,1,,קרטון - תאגיד תמיר,גמיש,-25.04% ,-506000,-675000,-31875
213300310,310,213300,1,,רישוי עסקים       ,גמיש,4.00% ,-520000,-500000,-418144.33
214000220,220,214000,1,,אג'רישוי/חיסון כלב ואג' עופות,גמיש,0.00% ,-821000,-821000,-739985.52
214000221,221,214000,1,,הובלה ושהייה בכלביה,גמיש,100.00% ,-20000,-10000,-11556
214000222,222,214000,1,,"החזקת בע""ח/בעלי כנף",גמיש,-6.98% ,-4000,-4300,-6052.9
214000690,690,214000,1,,בדיקת משנה בשר טרי,גמיש,0.00% ,-500000,-500000,-344748.05
214000790,790,214000,1,,בדיקת בשר ודגים   ,גמיש,0.00% ,-280000,-280000,-347431
