"הצעת   התקציב   הרגיל   לשנת   2015   בש""ח",,,,,,,,,
סעיף,פרק,ספר,,שם,סוג,אחוז השינוי מול 2014,"הצעה
2015","תקציב  מקורי
2014","ביצוע
2013"
,, ,,תקציבי עזר        ,,,,,
000 ,090000 ,1 ,,תקציבי עזר        ,,,,,
000 ,092000 ,1 ,,משרד הרשות ושרותים,,,                ,                ,
100 ,092000 ,1 ,,שכר עובדים לפי תקן,,,                ,                ,                
110 ,092000 ,1 ,,השכר הקובע-תקציבית,שכר,4.94% ,"159,200 ","151,700 ","182,855.66"
119 ,092000 ,1 ,,השכר הקובע-צוברת  ,שכר,2.99% ,"203,000 ","197,100 ","188,655.33"
122 ,092000 ,1 ,,ביגוד             ,שכר,20.27% ,"8,900 ","7,400 ","6,377.35"
126 ,092000 ,1 ,,דמי הבראה         ,שכר,23.78% ,"17,700 ","14,300 ","18,057.79"
130 ,092000 ,1 ,,שעות נוספות       ,שכר,11.58% ,"63,600 ","57,000 ","69,232.60"
140 ,092000 ,1 ,,השתתפות באחזקת רכב,שכר,11.35% ,"42,200 ","37,900 ","40,451.65"
200 ,092000 ,1 ,,שכר עובדים ללא תקן, ,,,,0.00
400 ,092000 ,1 ,,אחזקת בנינים וציוד, ,,,,
410 ,092000 ,1 ,,השתתפות בועד בית  ,קשיח,0.00% ,"6,200 ","6,200 ","9,280.00"
420 ,092000 ,1 ,,כיבוי אש          ,גמיש,0.00% ,"22,000 ","22,000 ","21,070.48"
423 ,092000 ,1 ,,תחזוקת מבנה       ,קשיח,0.00% ,"44,000 ","44,000 ","39,200.00"
431 ,092000 ,1 ,,חשמל              ,קשיח,0.00% ,"1,300,000 ","1,300,000 ","1,277,351.15"
432 ,092000 ,1 ,,מים               ,קשיח,0.00% ,"272,700 ","272,700 ","338,238.40"
433 ,092000 ,1 ,,חומרי נקיון       ,גמיש,0.00% ,"28,000 ","28,000 ","6,940.62"
434 ,092000 ,1 ,,חיטוי והדברה      ,גמיש,0.00% ,"2,400 ","2,400 ","2,705.00"
435 ,092000 ,1 ,,אחזקת מרכזיות,קשיח,0.00% ,"15,000 ","15,000 ",
436 ,092000 ,1 ,,אחזקת מזגנים      ,גמיש,0.00% ,"60,000 ","60,000 ","59,831.00"
438 ,092000 ,1 ,,בטוח ורשוי קשר    ,קשיח,0.00% ,"270,000 ","270,000 ","230,000.00"
439 ,092000 ,1 ,,השכרת איתוריות    ,קשיח,0.00% ,"1,800 ","1,800 ","1,704.00"
450 ,092000 ,1 ,,ריהוט ואחזקתו     ,גמיש,0.00% ,"56,000 ","56,000 ","69,956.00"
470 ,092000 ,1 ,,אחזקת מכונות משרד ,גמיש,0.00% ,"15,000 ","15,000 ","4,232.74"
474 ,092000 ,1 ,,שרות למעליות      ,קשיח,0.00% ,"29,000 ","29,000 ","28,999.58"
476 ,092000 ,1 ,,אחזקת גנרטור      ,קשיח,0.00% ,"14,000 ","14,000 ","12,487.52"
500 ,092000 ,1 ,,הוצאות מינהליות   , ,,,,0.00
511 ,092000 ,1 ,,שתיה לעובדים      ,גמיש,5.56% ,"380,000 ","360,000 ","375,248.68"
540 ,092000 ,1 ,,הוצאות טלפון      ,קשיח,0.00% ,"824,000 ","824,000 ","862,022.08"
542 ,092000 ,1 ,,מרכזיה טלולרית,גמיש,-50.00% ,"25,000 ","50,000 ",
543 ,092000 ,1 ,,טלפונים סלולריים  ,גמיש,-16.67% ,"500,000 ","600,000 ","299,999.14"
545 ,092000 ,1 ,,סלולריים - עובדים,גמיש,0.00% ,"4,000 ","4,000 ","-4,411.75"
561 ,092000 ,1 ,,שיכפולים          ,גמיש,0.00% ,"21,600 ","21,600 ","14,022.21"
700 ,092000 ,1 ,,הוצאות לפעולות    , ,,,,0.00
710 ,092000 ,1 ,,הובלות והסעות     ,גמיש,0.00% ,"5,600 ","5,600 ","7,000.00"
721 ,092000 ,1 ,,חמרים-תחזוקת מבנים,גמיש,0.00% ,"4,000 ","4,000 ","4,929.79"
722 ,092000 ,1 ,,חמרים-תחזוקה עצמית,גמיש,0.00% ,"24,000 ","24,000 ","28,010.21"
742 ,092000 ,1 ,,כלים וציוד        ,גמיש,0.00% ,"2,400 ","2,400 ","2,927.70"
751 ,092000 ,1 ,,עבודות קבלניות    ,גמיש,0.00% ,"85,000 ","85,000 ","74,999.93"
752 ,092000 ,1 ,,נקיון בקבלנות     ,קשיח,10.48% ,"930,000 ","841,800 ","658,544.20"
756 ,092000 ,1 ,,שמירה בקבלנות     ,קשיח,0.00% ,"596,000 ","596,000 ","499,999.79"
780 ,092000 ,1 ,,שלוט וגינון       ,גמיש,0.00% ,"4,000 ","4,000 ",
789 ,092000 ,1 ,,כביסה             ,גמיש,0.00% ,800 ,800 ,
794 ,092000 ,1 ,,השתתפות בעזר 094  ,קשיח,0.00% ,"50,000 ","50,000 ","46,561.00"
931 ,092000 ,1 ,,רכישת ציוד        ,גמיש,0.00% ,"24,000 ","24,000 ","27,315.76"
932 ,092000 ,1 ,,אג' טלוויזיה וכבלים,קשיח,0.00% ,"15,000 ","15,000 ","11,493.62"
933 ,092000 ,1 ,,התקנה ואחזקת טלפון     ,גמיש,0.00% ,"8,000 ","8,000 ","5,252.00"
934 ,092000 ,1 ,,רכישות/פע' חד-פעמי,גמיש,0.00% ,"24,000 ","24,000 ","28,769.22"
092000  סך הכל ,,,,משרד הרשות ושרותים,,0.20% ,"6,158,100 ","6,145,700 ","5,550,310.45"
000 ,092100 ,1 ,,העמסת בית העירייה , ,,                ,                ,
