"הצעת   התקציב   הרגיל   לשנת   2014   בש""ח",,,,,,,,,
סעיף,פרק,ספר,,שם,סוג,אחוז השינוי מול 2013,הצעה,,
"2014""",תקציב  מקורי,,,,,,,,
"2013""",ביצוע,,,,,,,,
"2012""",,,,,,,,,
,, ,,תקציבי עזר        ,,,,,
0,90000,1,,תקציבי עזר        ,,,,,
0,92000,1,,משרד הרשות ושרותים,,,                ,                ,
100,92000,1,,שכר עובדים לפי תקן,,,                ,                ,                
110,92000,1,,השכר הקובע-תקציבית,שכר,1.27%,"151,700","149,800","142,581.12"
119,92000,1,,השכר הקובע-צוברת  ,שכר,-5.60%,"197,100","208,800","160,837.41"
122,92000,1,,ביגוד             ,שכר,5.71%,"7,400","7,000","5,724.05"
126,92000,1,,דמי הבראה         ,שכר,2.88%,"14,300","13,900","5,610.37"
130,92000,1,,שעות נוספות       ,שכר,36.04%,"57,000","41,900","50,165.55"
140,92000,1,,השתתפות באחזקת רכב,שכר,-10.19%,"37,900","42,200","35,923.30"
400,92000,1,,אחזקת בנינים וציוד, ,,,,
410,92000,1,,השתתפות בועד בית  ,קשיח,0.00%,"6,200","6,200","5,120.00"
420,92000,1,,כיבוי אש          ,גמיש,0.00%,"22,000","22,000","21,966.67"
423,92000,1,,תחזוקת מבנה       ,קשיח,0.00%,"44,000","44,000","39,200.00"
431,92000,1,,חשמל              ,קשיח,18.18%,"1,300,000","1,100,000","1,216,753.46"
432,92000,1,,מים               ,קשיח,0.00%,"272,700","272,700","325,032.30"
433,92000,1,,חומרי נקיון       ,גמיש,-20.00%,"28,000","35,000","1,793.29"
434,92000,1,,חיטוי והדברה      ,גמיש,-20.00%,"2,400","3,000",0
435,92000,1,,אחזקת מרכזיות,קשיח,0.00%,"15,000","15,000",0
436,92000,1,,אחזקת מזגנים      ,גמיש,0.00%,"60,000","60,000","60,000.00"
438,92000,1,,בטוח ורשוי קשר    ,קשיח,0.00%,"270,000","270,000","237,728.74"
439,92000,1,,השכרת איתוריות    ,קשיח,0.00%,"1,800","1,800","1,620.00"
450,92000,1,,ריהוט ואחזקתו     ,גמיש,-20.00%,"56,000","70,000","57,387.00"
470,92000,1,,אחזקת מכונות משרד ,גמיש,0.00%,"15,000","15,000","14,476.76"
474,92000,1,,שרות למעליות      ,קשיח,0.00%,"29,000","29,000","25,721.00"
476,92000,1,,אחזקת גנרטור      ,קשיח,0.00%,"14,000","14,000","11,733.00"
500,92000,1,,הוצאות מינהליות   , ,,,,
511,92000,1,,שתיה לעובדים      ,גמיש,0.00%,"360,000","360,000","359,579.08"
540,92000,1,,הוצאות טלפון      ,קשיח,0.00%,"824,000","824,000","815,216.33"
542,92000,1,,מרכזיה טלולרית,גמיש,0.00%,"50,000","50,000",0
543,92000,1,,טלפונים סלולריים  ,גמיש,100.00%,"600,000","300,000","267,429.61"
545,92000,1,,סלולריים - עובדים,גמיש,-20.00%,"4,000","5,000","-7,556.44"
561,92000,1,,שיכפולים          ,גמיש,44.00%,"21,600","15,000","8,318.28"
700,92000,1,,הוצאות לפעולות    , ,,,,
710,92000,1,,הובלות והסעות     ,גמיש,-20.00%,"5,600","7,000","4,428.00"
721,92000,1,,חמרים-תחזוקת מבנים,גמיש,-20.00%,"4,000","5,000","4,885.47"
722,92000,1,,חמרים-תחזוקה עצמית,גמיש,-20.00%,"24,000","30,000","26,597.31"
742,92000,1,,כלים וציוד        ,גמיש,-20.00%,"2,400","3,000","1,684.01"
751,92000,1,,עבודות קבלניות    ,גמיש,13.33%,"85,000","75,000","74,999.56"
752,92000,1,,נקיון בקבלנות     ,קשיח,61.08%,"841,800","522,600","518,899.03"
756,92000,1,,שמירה בקבלנות     ,קשיח,19.20%,"596,000","500,000","499,999.63"
780,92000,1,,שלוט וגינון       ,גמיש,-20.00%,"4,000","5,000",0
789,92000,1,,כביסה             ,גמיש,-20.00%,800,"1,000",0
794,92000,1,,השתתפות בעזר 094  ,קשיח,0.00%,"50,000","50,000","63,208.00"
931,92000,1,,רכישת ציוד        ,גמיש,-20.00%,"24,000","30,000","26,175.06"
932,92000,1,,אג' טלוויזיה וכבלים,קשיח,0.00%,"15,000","15,000","10,735.40"
933,92000,1,,התקנה ואחזקת טלפון     ,גמיש,-20.00%,"8,000","10,000",0
934,92000,1,,רכישות/פע' חד-פעמי,גמיש,-20.00%,"24,000","30,000","24,204.82"
092000  סך הכל ,,,,משרד הרשות ושרותים,,16.86%,"6,145,700","5,258,900","5,118,177.17"
0,92100,1,,העמסת בית העירייה , ,,                ,                ,
492,92100,1,,השתתפות בעזר 092  ,קשיח,16.86%,"-6,145,700","-5,258,900","-5,118,177.17"
092100  סך הכל ,,,,העמסת בית העירייה ,,16.86%,"-6,145,700","-5,258,900","-5,118,177.17"
0,94000,1,,אפסנאות מחסנים    , ,,                ,                ,
100,94000,1,,שכר עובדים לפי תקן, ,,                ,                ,
110,94000,1,,השכר הקובע-תקציבית,שכר,5.85%,"649,800","613,900","602,257.72"
119,94000,1,,השכר הקובע-צוברת  ,שכר,3.80%,"103,900","100,100","97,606.82"
122,94000,1,,ביגוד             ,שכר,-7.05%,"21,100","22,700","18,591.25"
126,94000,1,,דמי הבראה         ,שכר,-14.10%,"33,500","39,000","32,667.73"
130,94000,1,,שעות נוספות       ,שכר,-8.65%,"54,900","60,100","68,597.10"
140,94000,1,,השתתפות באחזקת רכב,שכר,0.15%,"67,000","66,900","62,832.50"
400,94000,1,,אחזקת בנינים וציוד, ,,,,
420,94000,1,,כיבוי אש          ,גמיש,0.00%,"2,000","2,000","1,892.00"
423,94000,1,,תחזוקת מבנה       ,קשיח,0.00%,"104,600","104,600","94,039.28"
433,94000,1,,חומרי נקיון       ,גמיש,-10.00%,"2,700","3,000","2,992.86"
437,94000,1,,אחזקת אזעקה       ,קשיח,0.00%,"2,000","2,000","1,449.58"
470,94000,1,,אחזקת מכונות משרד ,גמיש,-31.43%,"2,400","3,500",465.77
471,94000,1,,מכשירי כתיבה      ,גמיש,0.00%,"11,500","11,500","11,491.61"
492,94000,1,,השתתפות בעזר 092  ,קשיח,0.00%,"186,200","186,200","214,666.00"
511,94000,1,,אירוח וכיבוד      ,גמיש,-20.00%,"5,200","6,500","5,997.33"
540,94000,1,,הוצאות טלפון      ,קשיח,0.00%,"10,000","10,000","2,910.72"
550,94000,1,,פירסומים          ,גמיש,-20.00%,"2,000","2,500",0
561,94000,1,,שיכפולים          ,גמיש,-20.00%,400,500,342
571,94000,1,,"מיכון וענ""א       ",קשיח,0.00%,"113,700","113,700","113,700.00"
596,94000,1,,השתתפות בעזר 096  ,קשיח,0.00%,"100,600","100,600","131,284.00"
700,94000,1,,הוצאות לפעולות    , ,,,,
721,94000,1,,חמרים-תחזוקת מבנים,גמיש,-20.00%,"1,600","2,000","1,916.31"
742,94000,1,,כלים וציוד        ,גמיש,-20.00%,"1,200","1,500",639.26
751,94000,1,,עבודות קבלניות    ,גמיש,-20.00%,"36,000","45,000","44,956.70"
752,94000,1,,נקיון בקבלנות     ,קשיח,-3.43%,"19,700","20,400","20,764.52"
756,94000,1,,שמירה בקבלנות     ,קשיח,20.16%,"223,500","186,000","185,999.75"
757,94000,1,,פינויים           ,גמיש,-20.00%,"12,000","15,000","8,890.29"
900,94000,1,,הוצאות חד פעמיות  , ,,,,
930,94000,1,,רכישות חד פעמיות  ,גמיש,-20.00%,"2,400","3,000","2,189.00"
094000  סך הכל ,,,,אפסנאות מחסנים    ,,2.77%,"1,769,900","1,722,200","1,729,140.10"
0,94100,1,,העמסת מחסנים    , ,,                ,                ,
794,94100,1,,השתתפות בעזר 094  ,קשיח,2.77%,"-1,769,900","-1,722,200","-1,729,140.10"
094100  סך הכל ,,,,העמסת מחסנים    ,,2.77%,"-1,769,900","-1,722,200","-1,729,140.10"
0,96000,1,,מוסך  ורכב        , ,,                ,                ,
100,96000,1,,שכר עובדים לפי תקן, ,,                ,                ,
110,96000,1,,השכר הקובע-תקציבית,שכר,2.29%,"111,700","109,200","104,334.78"
119,96000,1,,השכר הקובע-צוברת  ,שכר,-1.08%,"431,500","436,200","417,864.70"
122,96000,1,,ביגוד             ,שכר,11.46%,"10,700","9,600","7,745.05"
126,96000,1,,דמי הבראה         ,שכר,26.88%,"23,600","18,600","11,964.11"
140,96000,1,,השתתפות באחזקת רכב,שכר,-12.01%,"55,700","63,300","58,740.75"
400,96000,1,,אחזקת בנינים וציוד, ,,,,
420,96000,1,,כיבוי אש          ,גמיש,0.00%,"6,700","6,700","1,886.00"
432,96000,1,,מים               ,קשיח,0.00%,"63,600","63,600","39,027.20"
433,96000,1,,חומרי נקיון       ,גמיש,0.00%,"9,900","9,900","7,334.81"
441,96000,1,,ביטוח רכב         ,קשיח,0.02%,"454,000","453,900","404,155.35"
470,96000,1,,אחזקת מכונות משרד ,גמיש,-22.22%,"1,400","1,800",492.9
471,96000,1,,מכשירי כתיבה      ,גמיש,0.00%,"4,200","4,200","3,240.99"
492,96000,1,,השתתפות בעזר 092  ,קשיח,0.00%,"61,700","61,700","71,132.00"
500,96000,1,,הוצאות מינהליות   , ,,,,
511,96000,1,,אירוח וכיבוד      ,גמיש,-20.59%,"2,700","3,400","2,904.23"
512,96000,1,,"נסיעות ואש""ל      ",גמיש,-20.00%,400,500,0
522,96000,1,,ספרים ועיתונים    ,גמיש,-18.18%,900,"1,100",850
540,96000,1,,הוצאות טלפון      ,קשיח,0.00%,"6,000","6,000","2,480.82"
550,96000,1,,פירסומים          ,גמיש,0.00%,"9,600",0,
561,96000,1,,שיכפולים          ,גמיש,-18.75%,"1,300","1,600",-506
