91303,מ.מ. חורה ,עסיבי חליל ,,, כולל קליטה ,חישוב תקציב יחסי :,מספר חודשים ,תמצית נתוני התקציב הרגיל מפורט -- דוח כספי לתקופה 0102 / 21 - 10 ,4/22/2013,15:18,,,
חשבון ,שם חשבון ,תקציב שנתי מאושר )מעודכן( ,תקציב יחסי לתקופה ,ביצוע מצטבר לתקופה )כולל קליטה,הסטיה ,%הסטיה מהתקציב ,,,,,,,
1.111100.100,, ארנונה כללית שוטפת ,0,0,0,0,0,,,,,,
1.111100.110,ארנונה כללית שוטפת ,1000,1000,1442,-442,44,,,,,,,
1.111200.100,,ארנונה כללית פגורים ,0,0,0,0,0,,,,,,
1.111200.110,ארנונה כללית פגורים ,1800,1800,1960,-160,8,,,,,,,
. ," סה""כ ארנונה כללית ",2800,2800,3402,-602,21,,,,,,,
1.413100.210,אגרות מים שוטף ,2690,2690,2099,591,21,,,,,,,
1.413101.210,אגרת מים פיגורים ,3300,3300,3078,222,6,,,,,,,
. ," סה""כ הכנסות ממכירת מים ",5990,5990,5176,814,13,,,,,,,
1.312200.420,"השתת' הורים הזנה יוח""א ",12,12,40,-28,233,,,,,,,
1.312200.740,השתת' ממפעל הפיס ,0,0,0,0,0,,,,,,,
1.312300.410,השתתפות הורים ,0,0,15,-15,0,,,,,,,
1.312800.420,הכנסות מקייטנה ,0,0,0,0,0,,,,,,,
1.312800.790,"השתת' בקייטנה-מש""מ ",0,0,0,0,0,,,,,,,
1.313200.420,"השתת' הורים הזנה יוח""א ",30,30,178,-148,493,,,,,,,
1.313201.420,השתת' הורים הזנת יוחא-אלע ,80,80,37,43,53,,,,,,,
1.313202.420,"השתת' הורים הזנה יוח""א ",65,65,75,-10,15,,,,,,,
1.313203.420,"השתת' הורים-הזנת יוח""א ",90,90,26,64,71,,,,,,,
1.313203.740,השתת' מ.פיס ציוד ורהוט ,0,0,0,0,0,,,,,,,
1.313204.420,"השתת' הורים הזנת יוח""א-אנ ",50,50,0,50,100,,,,,,,
1.313204.740,השתת' מפעל הפיס ,0,0,0,0,0,,,,,,,
1.313205.420,השתת' הורים הזנה ,20,20,13,7,35,,,,,,,
1.313205.740,השתת' מ.פיס ציוד ורהוט ,0,0,35,-35,0,,,,,,,
1.313300.730,השתת' מוסד לביטוח לאומי ,0,0,0,0,0,,,,,,,
1.313800.420,הכנסות מקייטנות ,0,0,0,0,0,,,,,,,
1.315209.740,השתת' מפעל הפיס ,0,0,0,0,0,,,,,,,
1.315210.740,השתת' מ.הפיס ציוד ורהוט ,0,0,0,0,0,,,,,,,
1.317600.420,השת' הורים רווחה חינוכית ,0,0,0,0,0,,,,,,,
1.317901.740,השתת' מפעל הפיס ,0,0,0,0,0,,,,,,,
. ," סה""כ עצמיות חינוך ",347,347,419,-72,20,,,,,,,
1.342201.420,השתת' הורים בקייטנת אמהות ,0,0,0,0,0,,,,,,,
. ," סה""כ עצמיות חינוך ",0,0,0,0,0,,,,,,,
1.111000.000,, ארנונות ,0,0,0,0,0,,,,,,
1.120000.000,,אגרות ,0,0,0,0,0,,,,,,
1.121000.290,תעודות ואישורים ,10,10,118,-108,80,,,,,,,
1.190000.000,,מענקים כלליים ,0,0,0,0,0,,,,,,
1.210000.000,,תברואה ,0,0,0,0,0,,,,,,
1.212300.220,אגרת אשפה ,0,0,0,0,0,,,,,,,
1.213300.290,אגרת רישוי עסקים ,0,0,0,0,0,,,,,,,
1.214300.220,מלחמה בכלבת-אגרת חיסון ,0,0,0,0,0,,,,,,,
1.230000.000,,תכנון ובנין עיר ,0,0,0,0,0,,,,,,
1.233100.220,"אגרות,רשיונות בניה ",0,0,0,0,0,,,,,,,
1.233400.790,אגרות בנייה-שימעונים ,586,586,506,80,13,,,,,,,
1.240000.000,נכסים צבוריים ,0,0,0,0,0,,,,,,,
1.260000.000,,שרותים ערוניים שונים ,0,0,0,0,0,,,,,,
1.269000.290,הכנסות-מכירת מכרזים ,2,2,0,2,100,,,,,,,
1.269000.660,הכנסות מימון ,3,3,16,-13,433,,,,,,,
1.269000.661,ריבית הלואות עובדים ,0,0,0,0,0,,,,,,,
1.269000.690,הכנסות שונות ,70,70,94,-24,34,,,,,,,
1.269000.691,שונות קרן מקפת ,20,20,27,-7,35,,,,,,,
1.269001.290,אגרות בית המשפט)גביה( ,4,4,1,3,75,,,,,,,
1.312000.000,חינוך קדם יסודי ,0,0,0,0,0,,,,,,,
1.312200.000,גני ילדים גיל חובה ,0,0,0,0,0,,,,,,,
1.312300.000,גני ילדים טרום חובה ,0,0,0,0,0,,,,,,,
1.313000.000,חינוך יסודי ,0,0,0,0,0,,,,,,,
1.313200.000,"בי""ס יסודי חורה א' ",0,0,0,0,0,,,,,,,
1.313201.000,"בי""ס יסודי אלעטאונה ",0,0,0,0,0,,,,,,,
1.313202.000,"בי""ס יסודי חורה ב' ",0,0,0,0,0,,,,,,,
1.313203.000,"בי""ס יסודי אלביאדר ",0,0,0,0,0,,,,,,,
1.313204.000,"בי""ס אלאנדלס ",0,0,0,0,0,,,,,,,
1.313302.000,"ביה""ס אלופאא לאוטסטים ",0,0,0,0,0,,,,,,,
1.314000.000,חטיבת ביניים מקיף רבין ,0,0,0,0,0,,,,,,,
1.315000.000,חינוך על יסודי ,0,0,0,0,0,,,,,,,
1.315200.000,"בי""ס תיכון - עמל ",0,0,0,0,0,,,,,,,
1.315201.000,"בי""ס תיכון - עתיד אלנור ",0,0,0,0,0,,,,,,,
1.315202.000,"ביס"" תיכון סכנין ",0,0,0,0,0,,,,,,,
1.315203.000,"בי""ס תיכון חדש ",0,0,0,0,0,,,,,,,
1.315204.000,"בי""ס תיכון אלסלאם ",0,0,0,0,0,,,,,,,
1.316000.000,מינוך גבוה ,0,0,0,0,0,,,,,,,
1.317000.000,שרותים נוספים לחינוך ,0,0,0,0,0,,,,,,,
1.317300.000,שירות פסיכולוגי חינוכי ,0,0,0,0,0,,,,,,,
1.317600.000,רווחה חינוכית ,0,0,0,0,0,,,,,,,
1.322000.000,פעולות תרבות ,0,0,0,0,0,,,,,,,
1.323000.420,השתת' הורים/תושבים ,0,0,0,0,0,,,,,,,
1.323000.740,השתת' מ.פיס ספרייה ,0,0,0,0,0,,,,,,,
1.328000.000,נוער ,0,0,0,0,0,,,,,,,
1.328300.420,השתתפות תושבים ,0,0,0,0,0,,,,,,,
1.328400.420,השתת' תושבים בש.משלימים ,0,0,0,0,0,,,,,,,
1.328400.790,השת' בקיטנה-מ.השלטון מקומ ,0,0,0,0,0,,,,,,,
1.329300.790,השתת' מועצה להסדר ההימורי ,0,0,0,0,0,,,,,,,
1.329900.490,הכנסות ספורט ,0,0,0,0,0,,,,,,,
1.341000.000,מינהל הרווחה ,0,0,0,0,0,,,,,,,
1.342000.000,רווחת הפרט והמשפחה ,0,0,0,0,0,,,,,,,
1.343000.000,שרותים לילד ולנוער ,0,0,0,0,0,,,,,,,
1.344000.000,שרותים לזקן ,0,0,0,0,0,,,,,,,
1.345000.000,שרותים למפגר ,0,0,0,0,0,,,,,,,
1.346000.000,שרותי שיקום ,0,0,0,0,0,,,,,,,
1.347000.000,שירותי תיקון ,0,0,0,0,0,,,,,,,
1.348000.000,עבודות קהילתיות ,0,0,0,0,0,,,,,,,
1.413000.000,משק המים ,0,0,0,0,0,,,,,,,
1.413100.310,היטל צריכה ,0,0,0,0,0,,,,,,,
1.413300.220,אגרת מוני מים ,110,110,78,32,29,,,,,,,
. ," סה""כ עצמיות אחר ",805,805,839,-34,4,,,,,,,
. ," סה""כ עצמיות ",1152,1152,1258,-106,9,,,,,,,
1.312200.920,עוזרות לגננות ,1500,1500,1771,-271,18,,,,,,,
1.312200.923,"תשלומי הורים חומרים-ג""י ",12,12,12,0,0,,,,,,,
1.312200.924,"ה.נלוות ח.מיוחד-גנ""י ",15,15,19,-4,26,,,,,,,
1.312200.925,העשרה ח.מיוחד-גני ,0,0,0,0,0,,,,,,,
1.312200.926,"שכ""ד גני חובה ",105,105,118,-13,12,,,,,,,
1.312200.927,"אגרת תלמידי חוץ-גנ""י ",70,70,0,70,100,,,,,,,
1.312200.928,"גנ""י יוח""א ",270,270,272,-2,0,,,,,,,
1.312200.929,השתת' מ.חינוך שונות ,0,0,85,-85,0,,,,,,,
1.312300.920,"שכ""ל גני ילדים קדם חובה ",5000,5000,5242,-242,4,,,,,,,
1.312300.923,"תשלומי הורים חומרים-ט""ח ",25,25,24,1,4,,,,,,,
1.312300.924,מ.חינוך-השתת' בשכירות ,0,0,0,0,0,,,,,,,
1.312300.926,"שכ""ד גנ""י ט.חובה ",60,60,155,-95,158,,,,,,,
1.312300.927,אגרת תלמידי חוץ-יסודי א' ,0,0,0,0,0,,,,,,,
1.312301.927,אגרת תלמידי חוץ-אלעטאונה ,0,0,0,0,0,,,,,,,
1.312302.920,השתת' מ.חינוך - מעגן ,0,0,0,0,0,,,,,,,
1.312800.920,השתת' מ.חינןך-חוויה קיצית ,0,0,0,0,0,,,,,,,
1.313200.920,שרתים-יסודי חורה א' ,235,235,224,11,4,,,,,,,
1.313200.921,מזכירים-יסודי חורה א' ,75,75,78,-3,4,,,,,,,
1.313200.922,אגרת שיכפול יסודי חורה א' ,10,10,12,-2,20,,,,,,,
1.313200.923,תשלום הורים חומרים חורה א ,18,18,17,1,5,,,,,,,
1.313200.924,סייעות כיתתיות חורה א ,0,0,0,0,0,,,,,,,
1.313200.925,"מנב""ס מזכירים חורה א ",0,0,0,0,0,,,,,,,
1.313200.926,פדיון חופשה ש+מ-יסודי א' ,0,0,0,0,0,,,,,,,
1.313200.927,אגרת תלמידי חוץ-יסודי א' ,75,75,0,75,100,,,,,,,
1.313200.928,"יוח""א ביה""ס א' ",0,0,0,0,0,,,,,,,
1.313200.929,השתת' מ.חינוך - שונות ,34,34,0,34,100,,,,,,,
1.313201.920,שרתים- יסודי אלעטאונה ,370,370,363,7,1,,,,,,,
1.313201.921,מזכירים-יסודי אלעטאונה ,115,115,120,-5,4,,,,,,,
1.313201.922,אגרת שיכפול יסודי אלעטאונ ,68,68,14,54,79,,,,,,,
1.313201.923,תשלום הורים חומרים-אלעטונ ,32,32,29,3,9,,,,,,,
1.313201.924,חוק שילוב סייעות-בודדות ,410,410,545,-135,32,,,,,,,
1.313201.925,"מנב""ס ביה""ס אלעטאונה ",0,0,0,0,0,,,,,,,
1.313201.927,אגרת תלמידי חוץ עטאונה ,33,33,0,33,100,,,,,,,
1.313201.928,"יוח""א ביה""ס אלעטאונה ",0,0,0,0,0,,,,,,,
1.313201.929,"שח""פ ביה""ס אלעטאונה ",0,0,0,0,0,,,,,,,
1.313202.920,שרתים-יסודי חורה ב' ,320,320,341,-21,6,,,,,,,
1.313202.921,מזכירים-יסודי חורה ב' ,100,100,104,-4,4,,,,,,,
1.313202.922,אגרת שיכפול-יסודי חורה ב' ,12,12,17,-5,41,,,,,,,
1.313202.923,תשלום הורים חומרים-חורה ב ,25,25,24,1,4,,,,,,,
1.313202.924,סייעות כיתתיות אלמגד ,85,85,89,-4,4,,,,,,,
1.313202.925,"מנב""ס מזכירים אלמג'ד ",0,0,0,0,0,,,,,,,
1.313202.927,אגרת תלמידי חוץ-אלמג'ד ,50,50,0,50,100,,,,,,,
1.313202.928,"יוח""א ביה""ס אלמג'ד ",0,0,0,0,0,,,,,,,
1.313202.929,"השתת' מ.חינוך תל""ן ",0,0,0,0,0,,,,,,,
