798452,"משכורת ושכר משולבים",6126-111-8
264173,תוספות,6126-112-5
78154,"החזר הוצאות",6126-113-2
278543,"הפרשות סוציאליות",6126-116-3
107561,"מסים והיטלים על השכר",6126-117-0
239864,"החזקת רכב",6126-118-7
32603,"שעות נוספות",6126-119-4
59000,"קניית שירותי כ״א",6126-200-9
12121,"תקשורת סלולרית",6126-448-9
358,"רכש ואספקה - העמסה",6126-490-8
5152,כיבודים,6126-610-6
30648,"הוצאות ארגוניות ושונות",6126-682-1
94935,"מחשוב עירוני - העמסה",6126-755-4
887000,"פעילות מחקר והערכה",6126-780-8
10000,"מלגות מהקר",6126-781-5
205000,"שנתון ירושלים",6126-783-9
40000,יועצים,6126-790-1
30000,"תכנון תוצאתי",6126-951-8
382024,"משכורת ושכר משולבים",6156-111-9
7138,תוספות,6156-112-6
21071,"החזר הוצאות",6156-113-3
69855,"הפרשות סוציאליות",6156-116-4
38536,"מסים והיטלים על השכר",6156-117-1
79131,"החזקת רכב",6156-118-8
17139,"שעות נוספות",6156-119-5
150000,"ליווי ממשקי עירייה ותאגידים",6156-796-4
642563,"משכורת ושכר משולבים",6139-111-2
353268,תוספות,6139-112-9
73064,"החזר הוצאות",6139-113-6
284076,"הפרשות סוציאליות",6139-116-7
106557,"מסים והיטלים על השכר",6139-117-4
231716,"החזקת רכב",6139-118-1
105646,"שעות נוספות",6139-119-8
12121,"תקשורת סלולרית",6139-448-3
6485,כיבודים,6139-610-0
50000,"סיורי עיתונאים בירושלים",6139-611-7
122535,"הוצאות ארגוניות ושונות",6139-682-5
319500,"יהסי ציבור לפרויקטים",6139-781-9
256000,"שירותי תמליל",6139-782-6
35000,"צילום ועריכה",6139-784-0
620000,"מערך ניו מדיה",6139-785-7
200000,"עורך תוכן לאתר האינטרנט",6139-786-4
626614,"משכורת ושכר משולבים",6140-111-8
228843,תוספות,6140-112-5
61471,"החזר הוצאות",6140-113-2
247420,"הפרשות סוציאליות",6140-116-3
86211,"מסים והיטלים על השכר",6140-117-0
107822,"החזקת רכב",6140-118-7
56167,"שעות נוספות",6140-119-4
60168,"כלי רכב בליסינג תפעולי",6140-424-5
4361,"תקשורת סלולרית",6140-448-9
715,"רכש ואספקה - העמסה",6140-490-8
6004,כיבודים,6140-610-6
400000,"פרסום והסברה-אירועים",6140-630-2
2424000,"תגכור פעילות הסכרה ופרסום",6140-631-9
74507,"הוצאות ארגוניות ושונות",6140-682-1
201738,"מהשם עירוני - העמסה",6140-755-4
1500000,"הסכרה ויחסי ציכור",6140-780-8
30000,"עריכת לשון תמלילים",6140-782-2
1400000,"קמפיין קיץ",6140-790-1
583200,"קמפיין הסכרה ירושלים",6140-793-2
