חשבון,שם חשבון,תקציב יחסי,ביצוע יחסי,שריון יחסי,ביצוע + שריון יחסי,יתרת תקציב יחסי,אחוז ביצוע יחסי, תקציב שנתי , ביצוע  שנתי 
1008401000,הצפה מחשבים,0,0,0,0,0,0, -   , -   
1091000310,עזר פנסיונרים,"24,504,300","24,709,825.76",0,"24,709,825.76","-205,525.76",100.83," 24,504,300 "," 24,709,826 "
1091000311,פנסיונרים מועצה דתית,"446,600","338,544.50",0,"338,544.50","108,055.50",75.8," 446,600 "," 338,545 "
1091000999,נגדי פנסיונרים,"-24,950,900","-25,048,370.26",0,"-25,048,370.26","97,470.26",100.39," -24,950,900 "," -25,048,370 "
1092000450,תיקוני ריהוט,0,0,0,0,0,0, -   , -   
1092000470,ציוד משרדי,"339,000","315,752.56","13,870.37","329,622.93","9,377.07",97.23," 339,000 "," 315,753 "
1092000540,טלפונים,"2,365,000","2,358,422.39","3,066.00","2,361,488.39","3,511.61",99.85," 2,365,000 "," 2,358,422 "
1092000541,בולים,"900,000","949,894.64",0,"949,894.64","-49,894.64",105.54," 900,000 "," 949,895 "
1092000998,נגדי עזר משרד,"-3,604,000","-3,624,069.59",0,"-3,624,069.59","20,069.59",100.55," -3,604,000 "," -3,624,070 "
1093000110,שכר,"436,500","766,467.18",0,"766,467.18","-329,967.18",175.59," 436,500 "," 766,467 "
1093000130,שעות נוספות,"34,400","5,927.80",0,"5,927.80","28,472.20",17.23," 34,400 "," 5,928 "
1093000140,אחזקת רכב_עובדים,"33,500","13,392.72",0,"13,392.72","20,107.28",39.97," 33,500 "," 13,393 "
1093000210,שכר,0,"24,774.46",0,"24,774.46","-24,774.46",0, -   ," 24,774 "
1093000420,אחזקת מחשב,"50,000","49,047.92",291,"49,338.92",661.08,98.67," 50,000 "," 49,048 "
1093000520,אחזקת רכב פקידים,0,0,0,0,0,0, -   , -   
1093000540,הוצאות תקשורת,"156,500","137,235.98","3,603.00","140,838.98","15,661.02",89.99," 156,500 "," 137,236 "
1093000750,עובדים קבלנים,"2,112,000","2,089,263.57",980,"2,090,243.57","21,756.43",98.96," 2,112,000 "," 2,089,264 "
1093000751,שרותי מחשוב ומיכון,"611,000","574,943.44",1.68,"574,945.12","36,054.88",94.09," 611,000 "," 574,943 "
1093000752,תמיכה למחשבים,"231,000","188,009.36","4,441.70","192,451.06","38,548.94",83.31," 231,000 "," 188,009 "
1093000753,נקיון,"92,600","71,224.01",0,"71,224.01","21,375.99",76.91," 92,600 "," 71,224 "
1093000780,הוצאות שונות,"4,000","3,587.50",78.3,"3,665.80",334.2,91.64," 4,000 "," 3,588 "
1093000930,רכישת ציוד מחשב,"35,000","28,615.36","5,687.60","34,302.96",697.04,98," 35,000 "," 28,615 "
1093000998,נגדי מחשב,"-3,292,100","-3,141,927.14",0,"-3,141,927.14","-150,172.86",95.43," -3,292,100 "," -3,141,927 "
1093000999,נגדי שכר,"-504,400","-810,562.16",0,"-810,562.16","306,162.16",160.69," -504,400 "," -810,562 "
1096000110,שכר למנהל רכב,"1,343,000","1,298,469.41",0,"1,298,469.41","44,530.59",96.68," 1,343,000 "," 1,298,469 "
1096000130,שעות נוספות,"246,200","269,830.12",0,"269,830.12","-23,630.12",109.59," 246,200 "," 269,830 "
1096000140,אחזקת רכב עובדים,"84,900","93,555.74",0,"93,555.74","-8,655.74",110.19," 84,900 "," 93,556 "
1096000141,גילום מס הכנסה,"148,500","120,000.00",0,"120,000.00","28,500.00",80.8," 148,500 "," 120,000 "
1096000210,שכר,"95,800","19,256.82",0,"19,256.82","76,543.18",20.1," 95,800 "," 19,257 "
1096000531,דלק,"1,905,000","1,751,092.87","2,434.17","1,753,527.04","151,472.96",92.04," 1,905,000 "," 1,751,093 "
1096000532,תיקונים,"690,000","682,240.71",20,"682,260.71","7,739.29",98.87," 690,000 "," 682,241 "
1096000533,הוצאות טסט ובטוח ותקנה 6,"276,000","209,355.50",0,"209,355.50","66,644.50",75.85," 276,000 "," 209,356 "
1096000780,שונות,"22,200","21,845.20",0,"21,845.20",354.8,98.4," 22,200 "," 21,845 "
1096000930,ליסינג,"2,525,000","2,503,414.37","4,720.00","2,508,134.37","16,865.63",99.33," 2,525,000 "," 2,503,414 "
1096000931,רכישת צוד יסודי,0,0,0,0,0,0, -   , -   
1096000998,נגדי רכב,"-5,418,200","-5,287,948.65",0,"-5,287,948.65","-130,251.35",97.59," -5,418,200 "," -5,287,949 "
1096000999,נגדי שכר,"-1,918,400","-1,681,112.09",0,"-1,681,112.09","-237,287.91",87.63," -1,918,400 "," -1,681,112 "
1098001110,שכר,0,0,0,0,0,0, -   , -   
1098001111,שכר אחזקה בית םפיר,"2,808,900","2,608,598.73",0,"2,608,598.73","200,301.27",92.86," 2,808,900 "," 2,608,599 "
1098001130,שעות נוספות,0,0,0,0,0,0, -   , -   
1098001131,שעות נוספות,"181,200","285,070.19",0,"285,070.19","-103,870.19",157.32," 181,200 "," 285,070 "
1098001140,אחזקת רכב עובדים,0,0,0,0,0,0, -   , -   
1098001141,רכב,"190,100","158,399.51",0,"158,399.51","31,700.49",83.32," 190,100 "," 158,400 "
1098001210,משכורת ספיר,0,152.61,0,152.61,-152.61,0, -   , 153 
1098001211,בית ספיר זמניים,0,"135,856.92",0,"135,856.92","-135,856.92",0, -   ," 135,857 "
1098001420,תיקונים עיריה,"180,000","177,175.54","13,929.70","191,105.24","-11,105.24",106.16," 180,000 "," 177,176 "
1098001430,חשמל בית ספיר,"315,200","372,973.67",0,"372,973.67","-57,773.67",118.32," 315,200 "," 372,974 "
