סעיף תקציב,שם כרטיס,הצעה 2013
1111000100,ארנונה כללית,96000000
1111200100,ארנונה פיגורים,11000000
1113000100,הנחות ארנונה מראש,950000
1116000100,הנחות ארנונה,22000000
1121000220,"אישורים- טאבו, אגרת מידע",50000
1122000220,הכנסות משלטים,1400000
1124000220,אגרות אכיפה- החזרים מתושבים,560000
1124000221,"שכ""ט - החזרים מתושבים",184000
1124100220,מודעות על לוחות,10000
1160000660,הכנסות מימון מספקים,100000
1192000910,מענקים חד פעמיים מ.הפנים,380000
1196000910,השת.הממשלה בבחירות,120000
1212300220,הכנסות מכלי אשפה,1055000
1213000220,רשיונות עסק,56000
1214200290,וטרינרי בשר ודגים הכנסות,230000
1214201290,וטרינרי עופות הכנסות,180000
1214202290,וטרינרי חיסונים הכנסות,430000
1214203290,וטרינרי השתת' עיריות,1267802
1214204290,וטרינרי קנסות הכנסות,40000
1222100910,משמר אזרחי השת.הממשלה,10000
1225000220,שמירה - חוק עזר,1400000
1233100490,אגרות בניה,2653018
1242000800,דרכים ומדרכות בעלים,1282686
1244000990,בטיחות בדרכים השתת' ממשלה,100000
1245000800,אגרות תיעול קרקע,607330
1247000290,בריכת שחיה יגור,670000
1247001290,מזנון בריכת יגור,240000
1247300290,בריכת אפק מנויים וכרטיסים,3700000
1247300650,בריכת אפק-דמי שימוש,290000
1247301290,מזנון בריכת אפק,520000
1248000730,ש.ק.בטוח לאומי,1500000
1248000800,חברה קדישא- העברה מקרן,835199
1248001290,חברה קדישא - אגרת ש.קבורה,60000
1251000290,יום עצמאות,22000
1269000662,הכנסות ריבית ודיבידנד,300000
1269002690,הכנסות מכרזים,75000
1269004690,הכנסות שונות,50000
1269005690,אגרות בית משפט- החזרים מתושבים 1,56000
1281000290,שוק עירוני - הכנסות,170000
1281000291,פיקוח-קנסות כלבים,14000
1281000690,הכנסות מתווי חניה שנתיים,100000
1281000695,מדחנים - חוק עזר חניה,600000
1282000640,פיקוח-קנסות חניה,2700000
1282000690,בית משפט מקומי קריות,600000
1312200410,גני ילדים ביטוח תלמידים,13796
1312200920,גני חובה עוזרות גננות מ' החינוך,1996304
1312200921,חומרים הורים גני ילד,17957
1312200922,גני ט. חובה- גננות מ' החינוך,2500000
1312300920,גני טרום חובה השת' מ.חינוך,4388487
1312300921,גנים חינוך מיוחד,48849
1312304920,גני ילדים PDD מ' החינוך,62998
1312402700,"פרפר - השתת' מתנ""ס ביאליק",704416
1312800420,"קייטנות גנ""י הכנסות",149997
1313200420,מחשב לכל ילד השתת' הורים,8100
1313200430,"בתי""ס א.תלמידי חוץ",74690
1313200490,"בתי""ס ביטוח תלמידים",83640
1313200920,"בת""יס השתת' שרתים",1824328
1313200921,"בתי""ס - מרכיבי בטחון מצי'נג מ.חינוך",98960
