סעיף,חשבון,שם חשבון,מחלקה,סוג תקציב,משרות מעודכן,טור  1,טור  2,טור  3,טור  4
000000000,1000000000,העברה לתקציב רגיל,0,גמיש,0,0,0,0,0
091000001,1091000001,העברה (מספר שלילי),5,גמיש,0,0,0,0,0
092000001,1092000001,העברה (מספר שלילי),5,גמיש,0,"-5,612,000",0,0,0
092000110,1092000110,שכר,5,גמיש,0,"1,345,000",0,0,0
092000120,1092000120,תוספות,5,גמיש,0,"127,000",0,0,0
092000130,1092000130,ש.נ,2,גמיש,0,"105,000",0,0,0
092000140,1092000140,החזר הוצ.,5,גמיש,0,"185,000",0,0,0
092000181,1092000181,הפרשות,5,גמיש,0,"400,000",0,0,0
092000210,1092000210,משכורות-על תיקניים,0,קשיח,0,0,0,0,0
092000310,1092000310,משכורת,0,גמיש,0,0,0,0,0
092000420,1092000420,שרותי הרשות-_תיקונים,0,גמיש,0,"290,000",0,0,0
092000430,1092000430,מאור כח חימום מים,5,גמיש,0,"1,930,000",0,0,0
092000750,1092000750,העסקת קבלן נקיון,0,גמיש,0,"1,230,000",0,0,0
093000001,1093000001,העברה (מספר שלילי),5,גמיש,0,"-4,413,000",0,0,0
093000110,1093000110,משכורת,2,גמיש,0,"65,000",0,0,0
093000120,1093000120,משכורת,2,גמיש,0,"16,000",0,0,0
093000130,1093000130,ש.נ,2,גמיש,0,0,0,0,0
093000140,1093000140,משכורת,2,גמיש,0,"5,000",0,0,0
093000181,1093000181,משכורת,2,גמיש,0,"27,000",0,0,0
093000780,1093000780,הוצאות תיפעול,5,גמיש,0,"4,300,000",0,0,0
093000781,1093000781,התאמות שנת 2000,0,גמיש,0,0,0,0,0
094000001,1094000001,העברה (מספר שלילי),5,גמיש,0,"-1,796,000",0,0,0
094000110,1094000110,שכר,5,גמיש,0,"1,000,000",0,0,0
094000120,1094000120,תוספות,5,גמיש,0,"85,000",0,0,0
094000130,1094000130,ש.נ,2,גמיש,0,0,0,0,0
094000140,1094000140,החזר הוצאות,5,גמיש,0,"205,000",0,0,0
094000181,1094000181,הפרשות,5,גמיש,0,"290,000",0,0,0
094000210,1094000210,על תיקני,0,גמיש,0,0,0,0,0
094000420,1094000420,תקונים,5,גמיש,0,"7,000",0,0,0
094000430,1094000430,מאור כח חימום מים,5,גמיש,0,0,0,0,0
094000450,1094000450,רהוט והחזקתו,5,גמיש,0,0,0,0,0
094000470,1094000470,ציוד משרדי,5,גמיש,0,"19,000",0,0,0
094000510,1094000510,"נסיעות ואש""ל",5,גמיש,0,"2,000",0,0,0
094000522,1094000522,ספרים ועתונים,5,גמיש,0,0,0,0,0
094000540,1094000540,דיוור ותקשורת,5,גמיש,0,"25,000",0,0,0
094000570,1094000570,מיכון,5,גמיש,0,"11,000",0,0,0
094000580,1094000580,שונות,5,גמיש,0,0,0,0,0
094000740,1094000740,כלים מכשירים וציוד,5,גמיש,0,"2,000",0,0,0
094000780,1094000780,פחת בספירת מלאי,5,גמיש,0,"150,000",0,0,0
095000001,1095000001,העברה (מספר שלילי),5,גמיש,0,"-420,500",0,0,0
095000110,1095000110,שכר,5,גמיש,0,"82,000",0,0,0
095000120,1095000120,תוספות,5,גמיש,0,0,0,0,0
095000130,1095000130,ש.נ,2,גמיש,0,0,0,0,0
095000140,1095000140,בגוד והבראה,5,גמיש,0,"260,000",0,0,0
095000181,1095000181,הפרשות,5,גמיש,0,"40,000",0,0,0
095000210,1095000210,על תיקני,0,גמיש,0,0,0,0,0
095000420,1095000420,תקונים,5,גמיש,0,"6,000",0,0,0
095000430,1095000430,מאור כח חימום מים,5,גמיש,0,0,0,0,0
095000470,1095000470,ציוד משרדי,0,גמיש,0,"1,000",0,0,0
095000510,1095000510,"נסיעות ואש""ל",0,גמיש,0,"9,000",0,0,0
095000540,1095000540,דיוור ותקשורת,5,גמיש,0,"1,500",0,0,0
095000720,1095000720,חמרים,5,גמיש,0,"6,000",0,0,0
095000740,1095000740,כלים מכשירים וציוד,5,גמיש,0,"15,000",0,0,0
096000001,1096000001,העברה (מספר שלילי),5,גמיש,0,"-15,062,000",0,0,0
096000110,1096000110,שכר,5,גמיש,0,"2,500,000",0,0,0
096000120,1096000120,תוספות,5,גמיש,0,"285,000",0,0,0
096000130,1096000130,ש.נ,2,גמיש,0,"100,000",0,0,0
096000140,1096000140,חשבון מהסבה,5,גמיש,0,"320,000",0,0,0
096000181,1096000181,הפרשות,5,גמיש,0,"705,000",0,0,0
096000210,1096000210,על תיקני,0,גמיש,0,0,0,0,0
096000211,1096000211,העסקת עובדים מזדמנת,0,גמיש,0,0,0,0,0
096000391,1096000391,פנסיה ופיצויים,2,גמיש,0,0,0,0,0
096000420,1096000420,תקונים,5,גמיש,0,"4,000",0,0,0
096000430,1096000430,מאור כח חימום מים,5,גמיש,0,"200,000",0,0,0
096000450,1096000450,רהוט והחזקתו,5,גמיש,0,0,0,0,0
096000470,1096000470,ציוד משרדי,5,גמיש,0,"7,000",0,0,0
096000510,1096000510,"נסיעות ואש""ל",5,גמיש,0,"1,000",0,0,0
096000520,1096000520,ספרים ועתונים,5,גמיש,0,"1,000",0,0,0
096000540,1096000540,דיוור ותקשורת,5,גמיש,0,"27,000",0,0,0
096000720,1096000720,חמרים,5,גמיש,0,"3,000",0,0,0
096000731,1096000731,דלק,5,גמיש,0,"6,000,000",0,0,0
096000732,1096000732,תקוני חוץ,5,גמיש,0,"800,000",0,0,0
096000733,1096000733,בטוח,5,גמיש,0,"1,950,000",0,0,0
096000735,1096000735,שכירת רכב-ליסינג,0,גמיש,0,"1,000,000",0,0,0
096000740,1096000740,כלים מכשירים וציוד,5,גמיש,0,"4,500",0,0,0
096000743,1096000743,חלקי חילוף,5,גמיש,0,"780,000",0,0,0
096000750,1096000750,שמירה בחנין,5,גמיש,0,"290,000",0,0,0
096000780,1096000780,שונות בדיק רפואיי,5,גמיש,0,"4,500",0,0,0
096000781,1096000781,תקצוב מלאי דלק ושמנים,0,גמיש,0,"80,000",0,0,0
098000001,1098000001,העברה (מספר שלילי),5,גמיש,0,"-4,320,000",0,0,0
098100110,1098100110,שכר,5,גמיש,0,0,0,0,0
098100140,1098100140,תוספות,5,גמיש,0,0,0,0,0
098100181,1098100181,הפרשות,5,גמיש,0,0,0,0,0
098100420,1098100420,תקונים החזקת משרד,5,גמיש,0,"6,500",0,0,0
098100430,1098100430,מאור חמום כוח וחמר,5,גמיש,0,0,0,0,0
098100450,1098100450,רהוט,0,קשיח,0,0,0,0,0
098100470,1098100470,ציוד משרדי,5,גמיש,0,"6,000",0,0,0
098100540,1098100540,דיוור ותקשורת,5,גמיש,0,"420,000",0,0,0
098100570,1098100570,מיכון,5,גמיש,0,"9,000",0,0,0
098100720,1098100720,חומרים,5,גמיש,0,"5,500",0,0,0
098100750,1098100750,הפגם הקטן,5,גמיש,0,0,0,0,0
098200110,1098200110,שכר,5,גמיש,0,"2,244,000",0,0,0
098200120,1098200120,תוספות,5,גמיש,0,"255,000",0,0,0
098200130,1098200130,ש.נ,2,גמיש,0,"180,000",0,0,0
098200140,1098200140,בגוד והבראה,5,גמיש,0,"448,800",0,0,0
098200181,1098200181,הפרשות,5,גמיש,0,"740,200",0,0,0
098200210,1098200210,על תיקני,0,גמיש,0,0,0,0,0
098200391,1098200391,פנסיה ופיצויים,2,גמיש,0,0,0,0,0
098200450,1098200450,רהוט,0,קשיח,0,0,0,0,0
098200540,1098200540,דיוור ותקשורת,5,גמיש,0,0,0,0,0
098200740,1098200740,כלים מכשירים וציוד,5,גמיש,0,"5,000",0,0,0
111100100,1111100100,ארנונה כללית למגורים,1,גמיש,0,"-540,500,000",0,0,0
111100101,1111100101,הכנסה מותנת מארנונה,0,גמיש,0,0,0,0,0
111100102,1111100102,גביית חובות ארנונה,0,גמיש,0,"-48,000,000",0,0,0
111100103,1111100103,חובות ארנונה עד 2004]כולל[,0,גמיש,0,0,0,0,0
111100104,1111100104,חובות ארנונה 2006,0,גמיש,0,0,0,0,0
111100105,1111100105,יתרות ארנונה 2007,0,קשיח,0,0,0,0,0
111100106,1111100106,ארנונה - יתרות 2008,0,גמיש,0,0,0,0,0
111100107,1111100107,ארנונה 2009,0,גמיש,0,0,0,0,0
111100108,1111100108,יתרות ארנונה 2010,0,גמיש,0,0,0,0,0
111100109,1111100109,יתרות ארנונה 2011.,0,גמיש,0,0,0,0,0
111100110,1111100110,יתרות ארנונה 2012,0,גמיש,0,0,0,0,0
111100111,1111100111,יתרות ארנונה 2013,0,גמיש,0,0,0,0,0
111200100,1111200100,הכנסות מטיפול משפטי-ארנונ,0,קשיח,0,0,0,0,0
111200210,1111200210,הכנסות מניתוקי מים,0,קשיח,0,0,0,0,0
113000100,1113000100,הנחות מימון,1,גמיש,0,"-2,000,000",0,0,0
114000100,1114000100,הנחות מבצע,0,גמיש,0,0,0,0,0
115000100,1115000100,הנחות לזכאים ומקרי סעד,0,גמיש,0,"-56,800,000",0,0,0
116000100,1116000100,הנחות ועדה בגין מצב חומרי,1,גמיש,0,"-1,700,000",0,0,0
117000100,1117000100,הנחות אחרות,1,גמיש,0,0,0,0,0
118000100,1118000100,הנחות מדירות ריקות,0,קשיח,0,"-1,500,000",0,0,0
121000220,1121000220,תעודות ואישורים אגרת בגין,1,גמיש,0,"-120,000",0,0,0
122000220,1122000220,אגרות רשיונות לשלטים,1,גמיש,0,"-3,650,000",0,0,0
123000220,1123000220,שילוט הכוונה-הכנס.,0,קשיח,0,0,0,0,0
124000220,1124000220,מודעות ופרסומים אגרת בגין,1,גמיש,0,"-25,000",0,0,0
124000670,1124000670,זכיון עמוד שלוט,1,גמיש,0,"-1,230,000",0,0,0
124100220,1124100220,הכנסות ממודעות לבחירות,0,גמיש,0,0,0,0,0
129000100,1129000100,הכנסות מטיפול משפטי,0,גמיש,0,"-700,000",0,0,0
130000520,1130000520,העברה מקרנות פתוח לפרעון מלוות,0,גמיש,0,"-48,010,000",0,0,0
131000520,1131000520,השתת' קרנות פתוח בעלויות הנדסה,0,גמיש,0,0,0,0,0
160000100,1160000100,הנחות למקרי סעד,0,קשיח,0,0,0,0,0
194000910,1194000910,מענק לשיפוי פנסיה צוברת,0,קשיח,0,"-640,000",0,0,0
212300220,1212300220,אסוף ובעור אשפה אגרת בגין,1,גמיש,0,"-264,000",0,0,0
212300221,1212300221,תשלומי קבלנים אשפה חיריה,0,גמיש,0,"-470,000",0,0,0
212300630,1212300630,מכירת רכב נטוש-גרירה,1,גמיש,0,"-95,000",0,0,0
213000220,1213000220,פיקוח תברואי אגרת בגין שר,1,גמיש,0,"-230,000",0,0,0
214000420,1214000420,הכנסות משירותים וטרינריים,0,גמיש,0,"-1,080,000",0,0,0
222000220,1222000220,אגרת אבטחה באפעל,0,גמיש,0,0,0,0,0
222100910,1222100910,"משא""ז - השתת. מ. פנים",1,גמיש,0,"-30,000",0,0,0
223000440,1223000440,"הג""א - השתת. רשויות_בשרות",1,גמיש,0,"-20,000",0,0,0
224000220,1224000220,כיבוי אש אגרת בגין שרותים,1,גמיש,0,0,0,0,0
224000910,1224000910,כיבוי אש- השתת. מ. הפנים,1,גמיש,0,"-500,000",0,0,0
226000910,1226000910,"מל""ח פס""ח-השתת. מ. הפנים",1,גמיש,0,0,0,0,0
230000590,1230000590,"ממון תקורה הוצ,אגף הנדסה",0,גמיש,0,0,0,0,0
232100220,1232100220,הכנסות בעד שרותים,1,גמיש,0,"-250,000",0,0,0
232200220,1232200220,תוכניות לצרכי רישוי,1,גמיש,0,0,0,0,0
233100220,1233100220,אגרת רשיונות בניה אגרת בג,1,גמיש,0,"-9,540,000",0,0,0
240000221,1240000221,הכנסות מבחירות_לרשות,0,גמיש,0,0,0,0,0
242000800,1242000800,"דרכים ומדרכות בעלים ע""ח ע",1,גמיש,0,0,0,0,0
243000650,1243000650,השתת. גורמי חוץ בחשמל,0,קשיח,0,"-100,000",0,0,0
244000990,1244000990,בטיחות בדרכים השתתפות משר,1,גמיש,0,0,0,0,0
246200670,1246200670,הכנס. ממתקנים בפארק,1,גמיש,0,"-1,400,000",0,0,0
260000690,1260000690,הכנסות משרותים לתאגיד,0,גמיש,0,"-680,000",0,0,0
265000420,1265000420,המרכז העירונילאשה,1,גמיש,0,0,0,0,0
269000220,1269000220,הדבקת מודעות,1,גמיש,0,"-40,000",0,0,0
269000221,1269000221,הכנסות מבחירות לרשויות,0,גמיש,0,0,0,0,0
269000290,1269000290,הכנסות שונות שונות,1,גמיש,0,"-25,000",0,0,0
269000490,1269000490,הכנסות שונות,1,גמיש,0,"-240,000",0,0,0
269000690,1269000690,הכנסה מויתור על חלק משכר,0,גמיש,0,0,0,0,0
269000691,1269000691,גביית נזקי רכוש,0,גמיש,0,"-15,000",0,0,0
269000730,1269000730,השתת בטוח לאומי,1,גמיש,0,"-450,000",0,0,0
269000790,1269000790,החזר ממבטחים,1,גמיש,0,0,0,0,0
280000691,1280000691,גביית דוחות חניה,0,גמיש,0,0,0,0,0
282000690,1282000690,בית משפט עירוני שונות,1,גמיש,0,"-600,000",0,0,0
282000691,1282000691,גביית חובות חניה,0,גמיש,0,"-7,000,000",0,0,0
282000692,1282000692,"קנסות בימ""ש הנדסה",0,גמיש,0,"-550,000",0,0,0
282000693,1282000693,"קנסות בימ""ש רשוי עסקים",0,גמיש,0,"-450,000",0,0,0
282000694,1282000694,"קנסות בימ""ש תברואה",0,גמיש,0,"-650,000",0,0,0
282000695,1282000695,"קנסות בימ""ש חניה",0,גמיש,0,"-80,000",0,0,0
290000290,1290000290,הכנסות מאגרות תביעה,0,גמיש,0,0,0,0,0
310000430,1310000430,"שכ""ל ילדי חוץ-גנ""י ויסודי",0,גמיש,0,"-1,500,000",0,0,0
310000920,1310000920,"השת'משה""ח בתשלומי חובה",0,גמיש,0,"-600,000",0,0,0
312200220,1312200220,חומרי מלאכה - אגרה,0,קשיח,0,0,0,0,0
312200223,1312200223,ביטוח תל'- אגרה,0,קשיח,0,0,0,0,0
312200410,1312200410,"אג""ח גנ""י חובה",1,גמיש,0,"-184,500",0,0,0
312200411,1312200411,ריטמוזיקה בגני חובה,0,גמיש,0,0,0,0,0
312200420,1312200420,שמירה,1,גמיש,0,0,0,0,0
312200430,1312200430,"שכל""מ גנ""י חובה",1,גמיש,0,0,0,0,0
312200920,1312200920,השתת הממשל גיגיל,1,גמיש,0,"-8,730,000",0,0,0
312200921,1312200921,"הזנת יוח""א",0,גמיש,0,"-166,000",0,0,0
312200922,1312200922,גננות תיקניות,0,גמיש,0,"-10,500,000",0,0,0
312300410,1312300410,"שכל""מ גנ""י טרום חובה",1,גמיש,0,0,0,0,0
312300920,1312300920,השתתפות הממשלה לגנ,1,גמיש,0,"-25,000,000",0,0,0
312300921,1312300921,הכנסות מותנות ממשרד החינוך,0,גמיש,0,"-4,000,000",0,0,0
312500920,1312500920,מועדונים טיפוליים-השתת.,1,גמיש,0,"-350,000",0,0,0
313200220,1313200220,חומרי מלאכה-אגרה,0,קשיח,0,0,0,0,0
313200221,1313200221,שרות רפואי-אגרה,0,קשיח,0,0,0,0,0
313200222,1313200222,ריפוי שיניים-אגרה,0,קשיח,0,0,0,0,0
313200223,1313200223,ביטוח-אגרה,0,קשיח,0,0,0,0,0
313200410,1313200410,"אג""ח בתי""ס יסודיים",1,גמיש,0,"-460,500",0,0,0
313200430,1313200430,"שכל""מ בתי""ס יסודיים",1,גמיש,0,0,0,0,0
313200431,1313200431,קרן מחקרים ופויירשטיין,0,קשיח,0,0,0,0,0
313200920,1313200920,"השתת. ממשלה בתי""ס יסודיים",1,גמיש,0,"-10,250,000",0,0,0
313200921,1313200921,דמי שכפול-מ. חינוך,0,קשיח,0,"-207,000",0,0,0
313200922,1313200922,מעבדות - השתת. ממשלה,1,גמיש,0,"-350,000",0,0,0
313200923,1313200923,השתת בניהול עצמי,0,גמיש,0,"-2,000,000",0,0,0
313200940,1313200940,השת' ממשלה באגרת בריאות,0,גמיש,0,0,0,0,0
313600920,1313600920,השתת בעוזרת טפולי,1,גמיש,0,"-8,800,000",0,0,0
313600921,1313600921,תכנית תנופה,0,קשיח,0,0,0,0,0
313700610,1313700610,מכירת תוצרת בחוות,1,גמיש,0,0,0,0,0
313700920,1313700920,השתת' ממשלה חוה חקלאית,0,קשיח,0,0,0,0,0
315200410,1315200410,בטוח תלמידים,1,גמיש,0,0,0,0,0
315200430,1315200430,"אג""ח תלמידי חוץ",1,גמיש,0,0,0,0,0
315200920,1315200920,מועדונים טיפוליים- השתת.,1,גמיש,0,0,0,0,0
315200921,1315200921,"שכ""ל תיכוניים",1,גמיש,0,0,0,0,0
315200922,1315200922,מענק השתלמות,1,גמיש,0,0,0,0,0
315200923,1315200923,חונכות- השתת. ממשלה,1,גמיש,0,0,0,0,0
315200924,1315200924,מחויבות אישית,1,גמיש,0,0,0,0,0
315200925,1315200925,דמי שתיה למורים,1,גמיש,0,0,0,0,0
315200926,1315200926,השתת לימוד עברית וצרפתית,1,גמיש,0,0,0,0,0
