הנהלה,611,"2,119,800","2,234,800","2,896,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מבקר,612,"193,400","198,500","209,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"מזכיר מנכ""ל",613,"310,900","335,400","382,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
דובר,614,"831,400","821,500","817,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
משאבי אנוש,615,"3,013,900","2,129,000","2,251,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מפעם והשתלמות,616,"1,895,400","1,691,700","1,770,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
משפטית,617,"4,912,800","3,681,800","3,712,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
בחירות,619,0,0,"200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
גזברות,621,"3,002,900","3,897,000","4,106,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מיסים,623,"6,575,600","6,268,000","6,113,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מימון,631,"3,699,000","3,535,000","3,680,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מימון,632,"1,161,800","245,000","110,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מלוות,649,"40,297,400","37,821,500","36,324,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
תברואה,711,"69,500","63,400","67,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
תברואה,712,"41,833,500","39,795,700","42,661,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
שונות,713,"8,700","5,000","10,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
וטרינר,714,"669,700","656,000","690,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
הדברה,715,"2,100","30,000","2,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
חרום,721,"398,000","404,700","396,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
משאז,722,"47,900","57,800","56,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
הגא,723,"709,500","716,800","767,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
כיבוי אש,724,"1,565,100","1,600,000","1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
שונות,725,"17,400","35,000","35,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
הנדסה,731,"1,241,400","1,852,500","2,138,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
הנדסה,732,0,"100,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
תשתית,741,"28,900","18,600","19,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
תשתית,742,"272,300","252,600","306,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
