שבו,תקציב 2013 ,ביצוע 2013 ,הצעת תקציב לל
611,130000,164900,164000
611,0,2100,2100
611,7842,7800,7900
611,120000,132600,120000
611,18000,11600,18000
611,8000,7700,8000
611,700,200,700
611,300,200,300
611,130000,153800,140000
611,13000,4400,5700
611,43600,34700,43000
611,15700,0,0
611,19300,31400,25500
611,550000,523600,550000
611,350000,327400,500000
611,220000,219000,220000
611,650000,639000,750000
611,75000,72700,75000
611,150000,145500,250000
611,275000,328500,400000
611,120000,116200,220000
"611 סה""כ",2896442,2923300,3500200
612,2600,1100,2600
612,73100,70400,73000
612,0,0,0
612,3300,1900,2300
612,20000,18100,20000
612,110000,108100,110000
"612 סה""כ",209000,199600,207900
613,0,1100,1300
613,1200,1600,1900
613,2900,900,1100
613,2500,25100,0
613,106400,132200,152600
613,0,500,600
613,7500,8100,8100
613,3500,2000,2400
613,8200,7600,8200
613,250000,222500,350000
"613 סה""כ",382200,401600,526200
614,500,400,500
614,9100,6800,8100
614,0,0,0
614,0,1900,2300
614,600000,573900,700000
614,190000,196500,190000
614,8000,5900,8000
614,10100,9200,10100
"614 סה""כ",817700,794600,919000
615,9000,8200,9000
615,1700,3900,4700
615,70000,88800,106000
615,36600,16200,0
615,23400,18700,25000
615,20300,42500,30000
615,30000,2200,1900
615,1000000,642000,880000
615,30000,47800,55100
615,80000,84300,100000
615,200000,186700,286000
615,60000,112600,60000
615,690000,738000,700000
"615 סה""כ",2251000,1991900,2257700
616,200000,274500,200000
616,0,20400,23000
616,6000,9000,10900
616,64100,53000,59100
616,4600,1200,1500
616,7000,7700,8200
616,15700,0,0
616,1472800,1552200,1500000
"616 סה""כ",1770200,1918000,1802700
617,7400,5900,7100
617,15600,11300,13500
617,72400,56400,61800
617,4600,2200,3600
617,7400,4800,5700
617,12800,5200,6200
617,42000,40600,47800
617,0,5000,63200
617,800000,358100,800000
617,0,900,0
"617 סה""כ",962200,490400,1008900
619,200000,286100,200000
"619 סה""כ",200000,286100,200000
621,2100,6100,7400
621,3400,0,0
621,139500,175500,194900
621,25000,100,100
621,20800,28000,30600
621,30000,14400,30000
621,100000,164600,100000
621,160000,161300,160000
621,1219000,3073600,1219000
621,1179000,934000,1179000
621,0,0,125000
621,25300,21800,31100
"621 סה""כ",2904100,4579400,3077100
623,7700,23900,34200
623,45300,21800,29000
623,300,11100,5600
623,0,2000,2800
623,14000,9400,12800
623,50000,0,0
623,90000,58700,81400
623,1100000,1941000,1500000
623,360000,288600,279600
623,400000,399300,292700
623,46600,41100,58700
623,4000000,2001100,2800000
"623 סה""כ",6113900,4798000,5096800
631,3490000,3683500,3800000
631,190000,93600,133800
"631 סה""כ",3680000,3777100,3933800
632,10000,12900,15000
632,100000,237700,282000
"632 סה""כ",110000,250600,297000
649,16082147,14879000,15868000
649,5232449,5160700,4755000
649,5121488,5276000,5383000
649,5453482,6553300,5692000
649,2741447,2956300,2022000
649,1693000,1838100,1588000
"649 סה""כ",36324013,36663400,35308000
711,3200,2600,3700
711,42800,25200,36000
711,21000,17600,22500
711,0,0,120000
"711 סה""כ",67000,45400,182200
712,370000,128300,173600
712,0,0,0
712,250000,273600,339900
712,10400000,9912300,10400000
712,94900,120700,164800
712,900000,896500,977000
712,1400000,1337600,1516700
712,300000,336400,431600
712,658900,744700,747300
712,4400,0,0
712,3300,4800,6100
712,6000,5200,7400
712,173900,180800,250800
712,28100000,29504100,30000000
"712 סה""כ",42661400,43445000,45015200
713,10100,9100,13000
"713 סה""כ",10100,9100,13000
714,2000,6100,0
714,600,1000,2000
714,7000,7000,8000
714,19000,24100,27000
714,9000,8600,9000
714,60000,76800,60000
714,49500,13100,27000
714,7500,10000,8000
714,13500,16600,16500
714,15000,14900,16000
714,5000,4900,5000
714,2000,1200,2000
714,10000,4800,10000
714,160000,156300,170000
714,120000,312200,130000
714,30000,15900,0
714,180000,166200,186000
"714 סה""כ",690100,839700,676500
715,2500,600,800
"715 סה""כ",2500,600,800
721,6300,5300,7600
721,16500,15800,18300
721,145000,67500,82500
721,2700,0,0
721,69800,20900,28600
721,1400,18900,27100
721,120000,123000,169100
721,10000,9500,13500
721,25000,27300,36300
"721 סה""כ",396700,288200,383000
722,1000,0,0
722,7500,9200,9000
722,25000,24900,4400
722,23000,27000,23000
"722 סה""כ",56500,61100,36400
723,130000,163000,180000
723,30000,11200,30000
723,50000,44400,63500
723,557400,735000,735000
"723 סה""כ",767400,953600,1008500
724,1200000,1200000,1200000
"724 סה""כ",1200000,1200000,1200000
725,35000,34500,35000
"725 סה""כ",35000,34500,35000
731,35000,45500,35000
731,0,1600,1900
731,8000,200,300
731,7200,11200,14100
731,0,12400,17700
731,236000,202600,206800
731,3500,0,0
731,48953,28000,41000
731,50250,9800,20000
731,55000,55000,70500
731,70000,44000,62900
731,400000,331000,400000
731,225000,198900,225000
731,1000000,760400,1000000
731,3570997,2459400,3571000
"731 סה""כ",5709900,4160000,5666200
732,481000,392400,481000
"732 סה""כ",481000,392400,481000
741,19400,40400,37300
"741 סה""כ",19400,40400,37300
742,50000,48000,62800
742,160000,163200,209400
742,86300,104800,143300
742,10000,200,200
"742 סה""כ",306300,316200,415700
743,18900,18500,26400
743,49200,34900,47200
743,37500,13700,19600
743,3100000,3949900,4000000
743,0,1537000,1500000
"743 סה""כ",3205600,5554000,5593200
744,247000,274000,300000
744,150000,143700,150000
744,0,800,1100
744,40700,29800,10200
744,600000,242000,299300
744,100000,74500,100000
744,210000,188100,280000
"744 סה""כ",1347700,952900,1140600
745,314000,326100,327000
745,100000,100000,100000
745,127000,108400,147400
745,1257000,1270200,1493000
745,373000,483200,355400
745,200000,0,0
745,0,694100,720000
"745 סה""כ",2371000,2982000,3142800
746,27000,77300,80000
746,5300,3500,5000
746,39600,47100,51000
746,84600,155800,160000
746,47000,66700,81400
746,77300,121500,133200
746,23800,4800,6900
746,369000,425000,420000
746,7800,8300,11900
746,27000,25200,27000
746,100000,99900,100000
746,15000,13200,15000
746,5200000,4829500,5200000
746,400000,446100,400000
746,45000,39400,45000
"746 סה""כ",6468400,6363300,6736400
749,1800,2800,3000
749,23300,19300,30000
749,2600,3700,3400
749,21900,15500,22000
749,8700,9300,9000
749,95800,106600,90000
749,0,89300,62000
749,160000,279900,400000
"749 סה""כ",314100,526400,619400
754,100000,60700,100000
"754 סה""כ",100000,60700,100000
761,7100,32800,6900
761,104700,63400,87600
761,6300,4300,0
761,15900,16300,20500
761,100000,100300,115600
761,1000000,1185100,1530100
761,1500,2300,3300
"761 סה""כ",1235500,1404500,1764000
762,500000,470200,596600
762,3900000,4597200,4600000
"762 סה""כ",4400000,5067400,5196600
764,4500,3100,3900
764,5700,5900,7000
"764 סה""כ",10200,9000,10900
765,53100,49100,51200
765,310000,308300,310000
"765 סה""כ",363100,357400,361200
766,17300,2600,3700
766,1500000,1502900,1500000
"766 סה""כ",1517300,1505500,1503700
767,420000,478800,420000
767,2500000,2533700,2500000
767,1220000,1231400,1250000
767,496000,518300,496000
767,133200,191900,170000
767,59100,64000,59100
767,20600,39000,29600
"767 סה""כ",4848900,5057100,4924700
781,17900,29400,42000
"781 סה""כ",17900,29400,42000
782,75000,109600,120000
"782 סה""כ",75000,109600,120000
797,60000,58400,60000
"797 סה""כ",60000,58400,60000
811,10600,11600,11600
811,300000,296500,300000
811,1600,0,0
811,116000,175300,170100
811,6900,10500,7000
811,70000,63400,70000
