,,,,,,הוצאות,,,,,,,
,,סעיף,,,שם חשבון ,עדכון תקציב 2015,ביצוע 2015   01-11/2015 ,הצעה 2016 ,,,,,
,161100110,110,611,1,משכורות כוללות ,"3,840,846","3,668,600","3,850,000",,,,,
,161100111,111,611,1,השתת' בגמלאות ,"22,900","20,700","22,800",,,,,
,161100130,130,611,1,שעות נוספות רשומות ,"48,000","39,600","43,700",,,,,
,161100210,210,611,1,משכורות זמניים ,"720,000","714,500","722,100",,,,,
,161100230,230,611,1,שעות נוספות ,0,0,0,,,,,
,161100320,320,611,1,פיצויים ,0,0,0,,,,,
,161100410,410,611,1,שכד ,"164,000","108,900","120,000",,,,,
,161100430,430,611,1,חשמל ,"3,100","1,900","1,900",,,,,
,161100450,450,611,1,אחזקת ציוד ,"7,000","1,800","2,200",,,,,
,161100510,510,611,1,כיבוד לישיבות ,"120,000","80,100","100,000",,,,,
,161100514,514,611,1,"מתנות רה""ע וסגניו ","18,000","18,000","18,000",,,,,
,161100520,520,611,1,עיתונים רהע וסגניו ,"10,000","9,600","10,000",,,,,
,161100530,530,611,1,אחזקת רכב ,700,"2,600","3,100",,,,,
,161100531,531,611,1,דלק ,300,200,300,,,,,
,161100536,536,611,1,ליסנג רכב ,"140,000","171,200","170,000",,,,,
,161100540,540,611,1,רהע-טלפון ומברקים ,"1,000",300,300,,,,,
,161100541,541,611,1,הנהלה מכשירי קשר פל ,"43,000","20,400","21,900",,,,,
,161100542,542,611,1,הנהלה -דאר ,0,0,0,,,,,
,161100570,570,611,1,מחשוב ,"25,500",700,0,,,,,
,161100580,580,611,1,הוצאות אחרות ,"360,000","357,200","360,000",,,,,
,161100750,750,611,1,פעולות רווחה וסיוע לקהילה,"470,000","429,100","470,000",,,,,
,161100753,753,611,1,מלגות ,0,0,"475,000",,,,,
,161100755,755,611,1,קנית שרותים ,"220,000","95,500","220,000",,,,,
,161100780,780,611,1,קמחא דה פסחא ,"650,000","644,200","650,000",,,,,
,161100781,781,611,1,פעולות מיוחדות ,"75,000","58,800","75,000",,,,,
,161100782,782,611,1,בית פנחס ,"50,000","48,000","50,000",,,,,
,161100783,783,611,1,מחשב לכל ילד ,"130,000","146,200","150,000",,,,,
,161100784,784,611,1,חינוך בלתי פורמלי ומדרשה ,"175,000","133,900","225,000",,,,,
,161100785,785,611,1,כרטיס תושב ,"150,000","119,100",0,,,,,
,161100786,786,611,1,שרות לתושב ,0,0,"180,000",,,,,
,161100930,930,611,1,"לשכת רה""ע-ארועים ","250,000","234,900","250,000",,,,,
,1611300110,300110,611,1,שכר ,"457,700","517,100","502,300",,,,,
,1611300130,300130,611,1,שעות נוספות ,"86,400","100,800","100,300",,,,,
,1611300780,300780,611,1,שכונות ,"450,000","413,000","540,000",,,,,
,1611500210,500210,611,1,שכר זמניים ,"10,600",500,600,,,,,
,1611500780,500780,611,1,מעמד האשה ,"270,000","137,700","310,000",,,,,
,,,"611 סה""כ",,,"8,969,046","8,295,100","9,644,500",,,,,
,161200110,110,612,1,משכורות כוללות ,"911,100","913,400","917,600",,,,,
,161200130,130,612,1,שעות נוספות ,"11,400","12,000","11,500",,,,,
,161200450,450,612,1,אחזקת ציוד ,"2,600",0,"2,600",,,,,
,161200536,536,612,1,רכב ליסינג ,"60,000","48,200","60,000",,,,,
,161200540,540,612,1,מבקר-טלפון ,0,0,0,,,,,
,161200541,541,612,1,מכשרי קשר ,0,0,0,,,,,
,161200580,580,612,1,הוצאות אחרות ,"35,000","7,500","35,000",,,,,
,161200750,750,612,1,עבודה קבלנית ,"110,000","76,100","110,000",,,,,
,,,"612 סה""כ",,,"1,130,100","1,057,200","1,136,700",,,,,
,161300110,110,613,1,משכורות כוללות ,"499,800","436,300","438,500",,,,,
,161300570,570,613,1,מזכיר העיר-מיחשוב ,"1,300",0,0,,,,,
,1613100110,100110,613,1,שכר מנכל העיריה ,"1,374,100","1,166,800","1,173,700",,,,,
,1613100130,100130,613,1,ש.נ. ,"47,400","20,200","20,700",,,,,
,1613100210,100210,613,1,משכורות זמניים ,0,0,0,,,,,
,1613100450,100450,613,1,אחזקת ציוד ,0,0,0,,,,,
,1613100531,100531,613,1,דלק ,0,0,0,,,,,
,1613100533,100533,613,1,בטוח רכב ,"3,500","26,900","20,800",,,,,
,1613100536,100536,613,1,"רכב - מנכ""ל ","60,000","41,900","45,900",,,,,
,1613100540,100540,613,1,"טלפון מנכ""ל ",0,0,0,,,,,
,1613100541,100541,613,1, הוצ פלאפון,0,0,0,,,,,
,1613100570,100570,613,1,אוטומציה ,"1,800",500,0,,,,,
,1613100580,100580,613,1,הוצ' אחרות ,"8,000","6,700","8,100",,,,,
,1613100780,100780,613,1,הוצ אחרות ,"261,000","175,300","261,000",,,,,
,,,"613 סה""כ",,,"2,256,900","1,874,600","1,968,700",,,,,
,161400110,110,614,1,משכורות כוללות ,"188,200","183,100","182,800",,,,,
,161400130,130,614,1,שעות נוספות ,0,0,0,,,,,
,161400210,210,614,1,משכורות זמניים ,"494,000","449,600","537,600",,,,,
