,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 פרק  ,סעיף,סעיף תקציבי,שם סעיף                         ,   תקציב חדש   2011 ,תקן חדש 2011,   תקציב ישן   2010 ,תקן ישן 2010,   הוצאה בפועל 2009 ,מספר חלק,שם חלק                            ,מספר פרק,שם פרק                            ,מספר פרק משנה,שם פרק משנה                       ,מספר פרק עזר,שם פרק עזר                        ,מספר פרק עזר משנה,שם פרק עזר משנה                   
11000,121,11000/121/8,גביה שוטפת-מגורים               ,"  605,000,000 ",0,"  580,000,000 ",0,"  563,579,685 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,122,11000/122/9,גביה שוטפת-לא מגורים            ,"  1,745,000,000 ",0,"  1,635,000,000 ",0,"  1,618,946,880 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,123,11000/123/1,גבית פגורים - מגורים            ,"  40,000,000 ",0,"  40,000,000 ",0,"  38,972,603 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,124,11000/124/2,גבית פגורים-לא מגורים           ,"  200,000,000 ",0,"  200,000,000 ",0,"  203,908,544 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,126,11000/126/4,הנחות מתוקצבות-מגורים           ,"  105,000,000 ",0,"  100,000,000 ",0,"  98,623,332 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,127,11000/127/5,הנחות מתוקצבות-עסקים            ,"  20,000,000 ",0,"  30,000,000 ",0,"  18,026,435 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
,,,,"  2,715,000,000 ",0,"  2,585,000,000 ",0,"  2,542,057,479 ",,,"11 סה""כ",,,,,,,
12000,220,12000/220/9,אגרת רשיונות לשלטים             ,"  39,000,000 ",0,"  37,500,000 ",0,"  38,594,797 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,230,12000/230/2,תעודות ואשורים                  ,"  2,000,000 ",0,"  2,000,000 ",0,"  1,840,731 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,243,12000/243/7,מודעות ברכב צבורי               ,"  200,000 ",0,"  210,000 ",0,"  253,183 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,245,12000/245/9,מודעות ופרסומים מיוחדים         ,"  7,800,000 ",0,"  8,000,000 ",0,"  7,166,043 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,250,12000/250/6,אגרות בקשת והפקת מידע           ,"  10,000 ",0,"  10,000 ",0,"  3,844 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,260,12000/260/8,אגרת הפעלת עסקים בלילה          ,"  600,000 ",0,"  600,000 ",0,"  751,696 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,270,12000/270/1,רשיונות לשטחים לפני בתי קפה     ,"  6,500,000 ",0,"  6,500,000 ",0,"  6,911,130 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
,,,,"  56,110,000 ",0,"  54,820,000 ",0,"  55,521,424 ",,,"12 סה""כ",,,,,,,
19200,912,19200/912/1,שיפוי בגין מעבר לפנסיה צוברת    ,"  5,300,000 ",0,"  5,200,000 ",0,"  5,678,633 ",1,מיסים                             ,19,מענקים ממשרדי ממשלה               ,192,מענקים כללים                      ,1920,מענקים כללים                      ,19200,מענקים כללים                      
19200,913,19200/913/2,שיפוי בגין קופות גמל            ,"  200,000 ",0,"  300,000 ",0,"  195,913 ",1,מיסים                             ,19,מענקים ממשרדי ממשלה               ,192,מענקים כללים                      ,1920,מענקים כללים                      ,19200,מענקים כללים                      
,,,,"  5,500,000 ",0,"  5,500,000 ",0,"  5,874,546 ",,,"19 סה""כ",,,,,,,
,,,,"  2,776,610,000 ",0,"  2,645,320,000 ",0,"  2,603,453,449 ","1 סה""כ",,,,,,,,,
21200,210,21200/210/4,אגרת סלוק אשפה ופסולת מיוחדת    ,"  1,700,000 ",0,"  1,500,000 ",0,"  1,613,110 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,231,21200/231/9,הכנסות ממיחזור נייר וקרטון      ,"  600,000 ",0,"  600,000 ",0,  -   ,2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,232,21200/232/1,הכנסות ממיחזור פלסטיק           ,"  30,000 ",0,  -   ,0,  -   ,2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,640,21200/640/4,פינוי פסולת במגרש אשפה          ,"  100,000 ",0,"  60,000 ",0,"  94,319 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21300,210,21300/210/2,אגרת רישוי עסקים                ,"  1,000,000 ",0,"  1,000,000 ",0,"  1,083,056 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,213,הכנסות מרישוי עסקים               ,2130,הכנסות מרישוי עסקים               ,21300,הכנסות מרישוי עסקים               
21600,210,21600/210/5,אגרת ביוב עירונית- סעיף שאינו חו,  -   ,0,"  3,000,000 ",0,"  34,391,811 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,216,הכנסות מביוב                      ,2160,הכנסות מביוב                      ,21600,הכנסות מביוב                      
21600,220,21600/220/7,אגרת ביוב גוש דן- סעיף שאינו חוז,  -   ,0,"  80,000,000 ",0,"  69,980,230 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,216,הכנסות מביוב                      ,2160,הכנסות מביוב                      ,21600,הכנסות מביוב                      
21600,421,21600/421/5,השת' בהחלפת קוי ביוב- סעיף שאינו,  -   ,0,  -   ,0,"  5,852,565 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,216,הכנסות מביוב                      ,2160,הכנסות מביוב                      ,21600,הכנסות מביוב                      
21600,810,21600/810/5,היטל ביוב                       ,"  7,900,000 ",0,  -   ,0,"  11,570,952 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,216,הכנסות מביוב                      ,2160,הכנסות מביוב                      ,21600,הכנסות מביוב                      
,,,,"  11,330,000 ",0,"  86,160,000 ",0,"  124,586,043 ",,,"21 סה""כ",,,,,,,
22100,990,22100/990/6,פרויקט מציל ה                   ,"  160,000 ",0,"  180,000 ",0,"  159,997 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,221,מניעת אלימות                      ,2210,מניעת אלימות                      ,22100,מניעת אלימות                      
22200,910,22200/910/6,השתתפות הממשלה - המשמר האזרחי   ,"  110,000 ",0,"  110,000 ",0,"  107,593 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,222,המשמר האזרחי                      ,2220,המשמר האזרחי                      ,22200,המשמר האזרחי                      
22300,651,22300/651/4,דמי שימוש ממקלטים               ,"  200,000 ",0,"  150,000 ",0,"  229,148 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,223,הג א                              ,2230,הג א                              ,22300,הג א                              
