 פרק  ,סעיף,סעיף תקציב   ,סעיף נקי,שם סעיף                         ,   תקציב חדש   2013 ,   תקציב ישן   2012 ,   הוצאה בפועל 2011 ,חלק,שם חלק                            ,פרק,שם פרק                            ,פרק משנה,שם פרק משנה                       ,פרק עזר,שם פרק עזר                        ,פרק עזר משנה,שם פרק עזר משנה                   
11000,121,  11000/121/8,1110001218,גביה שוטפת-מגורים               ,670000000,644000000,626770713,1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,122,  11000/122/9,1110001229,גביה שוטפת-לא מגורים            ,1855000000,1825000000,1733417417,1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,123,  11000/123/1,1110001231,גבית פגורים - מגורים            ,40000000,40000000,56887088,1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,124,  11000/124/2,1110001242,גבית פגורים-לא מגורים           ,160000000,230000000,244086915,1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,126,  11000/126/4,1110001264,הנחות מתוקצבות-מגורים           ,120000000,111000000,113403061,1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,127,  11000/127/5,1110001275,הנחות מתוקצבות-עסקים            ,35000000,20000000,39195000,1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
,,,,,2880000000,2870000000,2813760194,,," 11 סה""כ ",,,,,,,
12000,220,  12000/220/9,1120002209,אגרת רשיונות לשלטים             ,45000000,41000000,42545287,1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,230,  12000/230/2,1120002302,תעודות ואשורים                  ,2000000,2010000,2085800,1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,243,  12000/243/7,1120002437,מודעות ברכב צבורי               ,200000,200000,180000,1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
