,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 פרק  ,סעיף,סעיף תקציב   ,שם סעיף                         ,   תקציב חדש   2013 ,   תקציב ישן   2012 ,   הוצאה בפועל 2011 ,חלק,שם חלק                            ,פרק,שם פרק                            ,פרק משנה,שם פרק משנה                       ,פרק עזר,שם פרק עזר                        ,פרק עזר משנה,שם פרק עזר משנה                   
11000,121,  11000/121/8,גביה שוטפת-מגורים               ,"  670,000,000 ","  644,000,000 ","  626,770,713 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,122,  11000/122/9,גביה שוטפת-לא מגורים            ,"  1,855,000,000 ","  1,825,000,000 ","  1,733,417,417 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,123,  11000/123/1,גבית פגורים - מגורים            ,"  40,000,000 ","  40,000,000 ","  56,887,088 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,124,  11000/124/2,גבית פגורים-לא מגורים           ,"  160,000,000 ","  230,000,000 ","  244,086,915 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,126,  11000/126/4,הנחות מתוקצבות-מגורים           ,"  120,000,000 ","  111,000,000 ","  113,403,061 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,127,  11000/127/5,הנחות מתוקצבות-עסקים            ,"  35,000,000 ","  20,000,000 ","  39,195,000 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
,,,,"  2,880,000,000 ","  2,870,000,000 ","  2,813,760,194 ",,," 11 סה""כ ",,,,,,,
12000,220,  12000/220/9,אגרת רשיונות לשלטים             ,"  45,000,000 ","  41,000,000 ","  42,545,287 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,230,  12000/230/2,תעודות ואשורים                  ,"  2,000,000 ","  2,010,000 ","  2,085,800 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,243,  12000/243/7,מודעות ברכב צבורי               ,"  200,000 ","  200,000 ","  180,000 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,245,  12000/245/9,מודעות ופרסומים מיוחדים         ,"  7,350,000 ","  7,800,000 ","  7,321,127 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,260,  12000/260/8,אגרת הפעלת עסקים בלילה          ,"  2,000,000 ","  1,500,000 ","  2,276,268 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,270,  12000/270/1,רשיונות לשטחים לפני בתי קפה     ,"  9,000,000 ","  8,000,000 ","  9,224,723 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
,,,,"  65,550,000 ","  60,510,000 ","  63,633,205 ",,,"12 סה""כ",,,,,,,
19200,912,  19200/912/1,שיפוי בגין מעבר לפנסיה צוברת    ,"  4,500,000 ","  5,200,000 ","  4,419,554 ",1,מיסים                             ,19,מענקים ממשרדי ממשלה               ,192,מענקים כללים                      ,1920,מענקים כללים                      ,19200,מענקים כללים                      
19200,913,  19200/913/2,שיפוי בגין קופות גמל            ,"  700,000 ","  500,000 ","  673,976 ",1,מיסים                             ,19,מענקים ממשרדי ממשלה               ,192,מענקים כללים                      ,1920,מענקים כללים                      ,19200,מענקים כללים                      
,,,,"  5,200,000 ","  5,700,000 ","  5,093,530 ",,,"19 סה""כ",,,,,,,
,,,,"  2,950,750,000 ","  2,936,210,000 ","  2,882,486,929 ","1 סה""כ",,,,,,,,,
21200,210,  21200/210/4,אגרת סלוק אשפה ופסולת מיוחדת    ,"  1,700,000 ","  1,700,000 ","  1,777,090 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,231,  21200/231/9,הכנסות ממיחזור נייר וקרטון      ,"  1,100,000 ","  600,000 ","  183,700 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,232,  21200/232/1,הכנסות ממיחזור אחר              ,"  100,000 ","  40,000 ","  74,331 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,640,  21200/640/4,פינוי פסולת במגרש אשפה          ,"  50,000 ","  100,000 ","  44,289 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21300,210,  21300/210/2,אגרת רישוי עסקים                ,"  1,100,000 ","  1,000,000 ","  1,082,095 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,213,הכנסות מרישוי עסקים               ,2130,הכנסות מרישוי עסקים               ,21300,הכנסות מרישוי עסקים               
21600,810,  21600/810/5,היטל ביוב                       ,"  7,800,000 ","  7,750,000 ","  7,900,000 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,216,הכנסות מביוב                      ,2160,הכנסות מביוב                      ,21600,הכנסות מביוב                      
,,,,"  11,850,000 ","  11,190,000 ","  11,061,505 ",,,"21 סה""כ",,,,,,,
22100,990,  22100/990/6,פרויקט מציל ה                   ,"  150,000 ","  160,000 ","  81,370 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,221,מניעת אלימות                      ,2210,מניעת אלימות                      ,22100,מניעת אלימות                      
22200,910,  22200/910/6,השתתפות הממשלה - המשמר האזרחי   ,"  80,000 ","  100,000 ","  72,041 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,222,המשמר האזרחי                      ,2220,המשמר האזרחי                      ,22200,המשמר האזרחי                      
22300,651,  22300/651/4,דמי שימוש ממקלטים               ,"  200,000 ","  200,000 ","  203,947 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,223,הג א                              ,2230,הג א                              ,22300,הג א                              
22400,211,  22400/211/9,אגרת שרותי כבוי-אש              ,"  330,000 ","  3,600,000 ","  3,849,924 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,212,  22400/212/1,בקורת ציוד וחוות דעת בטיחותית   ,"  300,000 ","  3,000,000 ","  3,206,454 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,213,  22400/213/2,שונות                           ,"  10,000 ","  100,000 ","  32,459 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,910,  22400/910/2,השתתפות הממשלה בכבוי-אש         ,"  1,560,000 ","  15,000,000 ","  15,051,742 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
,,,,"  2,630,000 ","  22,160,000 ","  22,497,937 ",,,"22 סה""כ",,,,,,,
23100,411,  23100/411/2,סמוני קו ועבודות מדידה-סעיף שאינ,  -   ,"  50,000 ","  262,023 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,415,  23100/415/6,שרותים שונים                    ,"  1,000,000 ","  1,000,000 ","  867,084 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,421,  23100/421/4,הכנסות ממכירת חוברות ופרסומים   ,"  10,000 ","  10,000 ","  2,350 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,422,  23100/422/5,הכנסות מהפקת תוכניות לגו ח      ,"  60,000 ","  30,000 ","  79,114 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,423,  23100/423/6,הכנסות מהחזרי הוצ' דואר         ,"  100,000 ","  70,000 ","  99,216 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,424,  23100/424/7,הכנסות ממכירת תיקי מידע והגשה   ,"  30,000 ","  20,000 ","  24,178 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,425,  23100/425/8,הריסת מבנים מסוכנים             ,"  500,000 ","  700,000 ","  777,208 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23300,210,  23300/210/9,אגרת רשיונות בניה               ,"  30,000,000 ","  24,000,000 ","  33,023,873 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23300,310,  23300/310/3,היטל השבחה                      ,"  30,000,000 ","  35,000,000 ","  35,000,000 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23300,422,  23300/422/1,הכנסות מצילום מסמכים בגנזך      ,"  500,000 ","  500,000 ","  580,280 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23400,216,  23400/216/4,השתת' בתכנון ורה-פרצלציה        ,"  300,000 ","  500,000 ","  504,234 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,234,תכנון ופיקוח                      ,2340,תכנון ופיקוח                      ,23400,תכנון ופיקוח                      
,,,,"  62,500,000 ","  61,880,000 ","  71,219,560 ",,,"23 סה""כ",,,,,,,
24100,421,  24100/421/3,הכנסות מעבודות שונות            ,"  50,000 ","  50,000 ","  55,167 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,241,נכסים ציבוריים- כללי              ,2410,נכסים ציבוריים- כללי              ,24100,נכסים ציבוריים- כללי              
24200,810,  24200/810/1,היטל סלילת כבישים               ,"  18,500,000 ","  14,600,000 ","  17,340,000 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,242,דרכים ומדרכות                     ,2420,דרכים ומדרכות                     ,24200,דרכים ומדרכות                     
24200,820,  24200/820/3,רצוף מדרכות                     ,"  6,000,000 ","  4,800,000 ","  4,800,000 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,242,דרכים ומדרכות                     ,2420,דרכים ומדרכות                     ,24200,דרכים ומדרכות                     
24400,421,  24400/421/6,הכנסות  מעבודות שונות           ,"  10,000 ","  10,000 ","  18,902 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24400,991,  24400/991/8,השת' משרד התחבורה-מרכזי הדרכה   ,"  300,000 ","  300,000 ","  999,774 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24400,992,  24400/992/9,השתתפות מ. התחבורה- מטה בטיחות  ,"  600,000 ","  600,000 ",  -   ,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
