11000,121,  11000/121/8,גביה שוטפת-מגורים               ,"720,000,000","670,000,000","673,211,773",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,122,  11000/122/9,גביה שוטפת-לא מגורים            ,"1,975,000,000","1,855,000,000","1,850,281,178",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,123,  11000/123/1,גבית פגורים - מגורים            ,"40,000,000","40,000,000","12,949,433",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,124,  11000/124/2,גבית פגורים-לא מגורים           ,"110,000,000","160,000,000","123,479,106",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,126,  11000/126/4,הנחות מתוקצבות-מגורים           ,"125,000,000","120,000,000","124,543,588",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,127,  11000/127/5,הנחות מתוקצבות-עסקים            ,"40,000,000","35,000,000","20,547,467",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,128,  11000/128/6,ארנונה-גביה מותנית              ,"30,000,000",  -   ,  -   ,1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
,,,,"3,040,000,000","2,880,000,000","2,805,012,545",,," 11 סה""כ ",,,,,,,
12000,220,  12000/220/9,אגרת רשיונות לשלטים             ,"42,000,000","45,000,000","47,005,099",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,230,  12000/230/2,תעודות ואשורים                  ,"2,000,000","2,000,000","2,006,940",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,243,  12000/243/7,מודעות ברכב צבורי               ,"150,000","200,000","156,250",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,245,  12000/245/9,מודעות ופרסומים מיוחדים         ,"7,800,000","7,350,000","7,286,653",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,260,  12000/260/8,אגרת הפעלת עסקים בלילה          ,"2,500,000","2,000,000","2,620,911",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,270,  12000/270/1,רשיונות לשטחים לפני בתי קפה     ,"8,000,000","9,000,000","8,727,408",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
,,,,"62,450,000","65,550,000","67,803,261",,,"12 סה""כ",,,,,,,
19200,912,  19200/912/1,שיפוי בגין מעבר לפנסיה צוברת    ,"2,000,000","4,500,000","2,002,399",1,מיסים                             ,19,מענקים ממשרדי ממשלה               ,192,מענקים כללים                      ,1920,מענקים כללים                      ,19200,מענקים כללים                      
19200,913,  19200/913/2,שיפוי בגין קופות גמל            ,"500,000","700,000","539,877",1,מיסים                             ,19,מענקים ממשרדי ממשלה               ,192,מענקים כללים                      ,1920,מענקים כללים                      ,19200,מענקים כללים                      
,,,,"2,500,000","5,200,000","2,542,276",,,"19 סה""כ",,,,,,,
,,,,"3,104,950,000","2,950,750,000","2,875,358,082","1 סה""כ",,,,,,,,,
21200,210,  21200/210/4,אגרת סלוק אשפה ופסולת מיוחדת    ,"1,800,000","1,700,000","1,807,695",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,231,  21200/231/9,הכנסות ממיחזור נייר וקרטון      ,"1,800,000","1,100,000","1,227,961",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,232,  21200/232/1,הכנסות ממיחזור אחר              ,"1,500,000","100,000","142,124",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,640,  21200/640/4,פינוי פסולת במגרש אשפה          ,"50,000","50,000","52,921",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21300,210,  21300/210/2,אגרת רישוי עסקים                ,"1,200,000","1,100,000","1,282,318",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,213,הכנסות מרישוי עסקים               ,2130,הכנסות מרישוי עסקים               ,21300,הכנסות מרישוי עסקים               
21600,810,  21600/810/5,היטל ביוב                       ,"7,200,000","7,800,000",  -   ,2,תקבולים משרותים מקומיים           ,21,תברואה                            ,216,הכנסות מביוב                      ,2160,הכנסות מביוב                      ,21600,הכנסות מביוב                      
,,,,"13,550,000","11,850,000","4,513,019",,,"21 סה""כ",,,,,,,
22100,990,  22100/990/6,פרויקט מציל ה                   ,"150,000","150,000","211,024",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,221,מניעת אלימות                      ,2210,מניעת אלימות                      ,22100,מניעת אלימות                      
22200,910,  22200/910/6,השתתפות הממשלה - המשמר האזרחי   ,"80,000","80,000","92,369",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,222,המשמר האזרחי                      ,2220,המשמר האזרחי                      ,22200,המשמר האזרחי                      
22300,651,  22300/651/4,דמי שימוש ממקלטים               ,"200,000","200,000","188,450",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,223,הג א                              ,2230,הג א                              ,22300,הג א                              
22400,211,  22400/211/9,אגרת שרותי כבוי-אש              ,  -   ,"330,000","3,361,033",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,212,  22400/212/1,בקורת ציוד וחוות דעת בטיחותית   ,  -   ,"300,000","3,715,418",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,213,  22400/213/2,שונות                           ,  -   ,"10,000","24,032",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,910,  22400/910/2,השתתפות הממשלה בכבוי-אש         ,  -   ,"1,560,000","9,159,686",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
,,,,"430,000","2,630,000","16,752,012",,,"22 סה""כ",,,,,,,
23100,415,  23100/415/6,שרותים שונים                    ,"500,000","1,000,000","715,585",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,421,  23100/421/4,הכנסות ממכירת חוברות ופרסומים   ,"5,000","10,000",320,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,422,  23100/422/5,הכנסות מהפקת תוכניות לגו ח      ,"55,000","60,000","58,718",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,423,  23100/423/6,הכנסות מהחזרי הוצ' דואר         ,"150,000","100,000","138,073",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,424,  23100/424/7,הכנסות ממכירת תיקי מידע והגשה   ,"30,000","30,000","21,123",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,425,  23100/425/8,הריסת מבנים מסוכנים             ,"500,000","500,000","428,287",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23300,210,  23300/210/9,אגרת רשיונות בניה               ,"33,000,000","30,000,000","43,991,473",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
