,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 פרק  ,סעיף,סעיף תקציב   ,שם סעיף                         ,   תקציב חדש   2015 ,   תקציב ישן   2014 ,   הוצאה בפועל 2013 ,חלק,שם חלק                            ,פרק,שם פרק                            ,פרק משנה,שם פרק משנה                       ,פרק עזר,שם פרק עזר                        ,פרק עזר משנה,שם פרק עזר משנה                   
11000,121,  11000/121/8,גביה שוטפת-מגורים               ,"  725,000,000 ","  720,000,000 ","  687,578,498 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,122,  11000/122/9,גביה שוטפת-לא מגורים            ,"  1,977,000,000 ","  1,975,000,000 ","  1,870,048,602 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,123,  11000/123/1,גבית פגורים - מגורים            ,"  35,000,000 ","  40,000,000 ","  18,417,049 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,124,  11000/124/2,גבית פגורים-לא מגורים           ,"  135,000,000 ","  110,000,000 ","  145,978,582 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,126,  11000/126/4,הנחות מתוקצבות-מגורים           ,"  130,000,000 ","  125,000,000 ","  124,112,863 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,127,  11000/127/5,הנחות מתוקצבות-עסקים            ,"  28,000,000 ","  40,000,000 ","  32,098,262 ",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
11000,128,  11000/128/6,ארנונה-גביה מותנית              ,  -   ,"  30,000,000 ",  -   ,1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
,,,,"  3,030,000,000 ","  3,040,000,000 ","  2,878,233,856 ",,,"11 סה""כ",,,,,,,
12000,220,  12000/220/9,אגרת רשיונות לשלטים             ,"  43,500,000 ","  42,000,000 ","  41,565,873 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,230,  12000/230/2,תעודות ואשורים                  ,"  2,100,000 ","  2,000,000 ","  1,892,231 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
