,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
 פרק  ,פרק מתוקן,סעיף,סעיף מתוקן,סעיף נקי,סעיף תקציב   ,שם סעיף                         ,   תקציב חדש   2016 , תקן ח 2016 , כמות חדשה  ,   תקציב ישן   2015 , תקן י 2015 ,   הוצאה בפועל 2014 ,חלק,שם חלק                            ,פרק,שם פרק                            ,פרק משנה,שם פרק משנה                       ,פרק משנה מתוקן לקידוד המתאים,פרק עזר,שם פרק עזר                        ,פרק עזר משנה,שם פרק עזר משנה                   ,,,,
61111,61111,124,124,611111242,  61111/124/2,החזר הוצאות                     ,95000,0,0,82000,0,39279,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61111,61111,126,126,611111264,  61111/126/4,הבראה                           ,3000,0,0,3000,0,0,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61111,61111,127,127,611111275,  61111/127/5,השתתפות באחזקת רכב-4            ,272000,0,4,235000,0,224689,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61111,61111,130,130,611111309,  61111/130/9,תשלומים מיוחדים                 ,8000,0,0,14000,0,0,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61111,61111,181,181,611111812,  61111/181/2,מיסים וביטוח לאומי              ,479000,0,0,476000,0,425977,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61111,61111,182,182,611111823,  61111/182/3,קופות גמל והשתלמות              ,593000,0,0,587000,0,491159,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61111,61111,230,230,611112303,  61111/230/3,ראש העיריה וסגניו-7             ,3289000,0,7,3305000,0,2748721,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61111,61111,521,521,611115212,  61111/521/2,הדרכה וכנסים                    ,10000,0,0,10000,0,0,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61111,61111,531,531,611115314,  61111/531/4,אחזקת רכב                       ,25000,0,0,25000,0,10171,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61111,61111,533,533,611115336,  61111/533/6,שכירת רכב                       ,235000,0,0,235000,0,117368,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61111,61111,534,534,611115347,  61111/534/7,דלק ושמן                        ,74000,0,0,74000,0,49620,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
