"תקציב 2016","שם הסעיף","מספר סעיף"
864177,"משכורת ושכר משולבים",6126-111-8
321616,תוספות,6126-112-5
77778,"החזר הוצאות",6126-113-2
310216,"הפרשות סוציאליות",6126-116-3
118493,"מסים והיטלים על השכר",6126-117-0
219333,"החזקת רכב",6126-118-7
47907,"שעות נוספות",6126-119-4
39000,"קניית שירותי כ״א",6126-200-9
13492,"תקשורת סלולרית",6126-448-9
392,"רכש ואספקה - העמסה",6126-490-8
5152,כיבודים,6126-610-6
30648,"הוצאות ארגוניות ושונות",6126-682-1
97088,"מחשוב עירוני - העמסה",6126-755-4
917000,"פעילות מחקר והערכה",6126-780-8
10000,"מלגות מהקר",6126-781-5
205000,"שנתון ירושלים",6126-783-9
,יועצים,6126-790-1
30000,"תכנון תוצאתי",6126-951-8
389767,"משכורת ושכר משולבים",6156-111-9
12966,תוספות,6156-112-6
20643,"החזר הוצאות",6156-113-3
80088,"הפרשות סוציאליות",6156-116-4
39061,"מסים והיטלים על השכר",6156-117-1
65344,"החזקת רכב",6156-118-8
15991,"שעות נוספות",6156-119-5
142000,"ליווי ממשקי עירייה ותאגידים",6156-796-4
599143,"משכורת ושכר משולבים",6139-111-2
421625,תוספות,6139-112-9
89584,"החזר הוצאות",6139-113-6
296921,"הפרשות סוציאליות",6139-116-7
113364,"מסים והיטלים על השכר",6139-117-4
229733,"החזקת רכב",6139-118-1
94592,"שעות נוספות",6139-119-8
11878,"תקשורת סלולרית",6139-448-3
6485,כיבודים,6139-610-0
44500,"סיורי עיתונאים בירושלים",6139-611-7
122535,"הוצאות ארגוניות ושונות",6139-682-5
319500,"יהסי ציבור לפרויקטים",6139-781-9
220000,"שירותי תמליל",6139-782-6
31200,"צילום ועריכה",6139-784-0
790000,"מערך ניו מדיה",6139-785-7
64000,"עורך תוכן לאתר האינטרנט",6139-786-4
619064,"משכורת ושכר משולבים",6140-111-8
242115,תוספות,6140-112-5
58369,"החזר הוצאות",6140-113-2
257012,"הפרשות סוציאליות",6140-116-3
86403,"מסים והיטלים על השכר",6140-117-0
102681,"החזקת רכב",6140-118-7
56835,"שעות נוספות",6140-119-4
59202,"כלי רכב בליסינג תפעולי",6140-424-5
4324,"תקשורת סלולרית",6140-448-9
785,"רכש ואספקה - העמסה",6140-490-8
6004,כיבודים,6140-610-6
400000,"פרסום והסברה-אירועים",6140-630-2
2300000,"תגכור פעילות הסכרה ופרסום",6140-631-9
30000,"הוצאות ארגוניות ושונות",6140-682-1
206312,"מהשם עירוני - העמסה",6140-755-4
1415000,"הסכרה ויחסי ציכור",6140-780-8
55000,"עריכת לשון תמלילים",6140-782-2
1334000,"קמפיין קיץ",6140-790-1
550000,"קמפיין הסכרה ירושלים",6140-793-2
,"תגכור פעולות",6140-959-4
253648,"משכורת ושכר משולכים",6142-111-6
210163,תוספות,6142-112-3
32974,"החזר הוצאות",6142-113-0
108202,"הפרשות סוציאליות",6142-116-1
50407,"מסים והיטלים על השכר",6142-117-8
52844,"החזקת רכם",6142-118-5
55082,"שעות נוספות",6142-119-2
,"קניית שירות",6142-211-7
59202,"כלי רכם כליסינג תפעולי",6142-424-3
4114,"תקשורת סלולרית",6142-448-7
3211,כיכודים,6142-610-4
55000,"הארכיון העירוני",6142-780-6
1650000,גניזה,6142-785-1
20000,"הארכיון העירוני",6142-950-9
285994,"משכורת ושכר משולבים",6145-111-3
152063,תוספות,6145-112-0
39331,"החזר הוצאות",6145-113-7
125293,"הפרשות סוציאליות",6145-116-8
51582,"מסים והיטלים על השכר",6145-117-5
43807,"החזקת רכב",6145-118-2
115222,"שעות נוספות",6145-119-9
59202,"כלי רכב בליסינג תפעולי",6145-424-0
4956,"תקשורת סלולרית",6145-448-4
40000,"פורום כלכלי לירושלים",6145-463-5
20000,"הוצאות ארגוניות ושונות",6145-682-6
600000,"טקסים ואירועים",6145-780-3
190000,"טקסי שמות רחובות",6145-781-0
400000,"טקס יקיר ירושלים",6145-784-1
300000,"טקסים ואירועים",6145-953-7
1095052,"משכורת ושכר משולבים",6132-111-9
1012438,תוספות,6132-112-6
201003,"החזר הוצאות",6132-113-3
628555,"הפרשות סוציאליות",6132-116-4
242900,"מסים והיטלים על השכר",6132-117-1
266913,"החזקת רכב",6132-118-8
334579,"שעות נוספות",6132-119-5
382580,"קניית שירות איכות השירות",6132-200-0
1044822,"העסקת עובדים עם מוגבלויות",6132-215-8
59202,"כלי רכב בליסינג תפעולי",6132-424-6
17957,"תקשורת סלולרית",6132-448-0
300000,"תפעול אפליקציה עירונית",6132-450-7
60000,"תהליכי הוקרה לעובדים",6132-451-4
3139,"רכש ואספקה - העמסה",6132-490-9
18000,כיבודים,6132-610-7
180000,"פרסום והסברה",6132-630-3
50639,"הוצאות ארגוניות ושונות",6132-682-2
30000,"פרס תושבים מעורבים",6132-781-6
385000,"תגבור פעולות איכות השירות",6132-782-3
500000,"ערב הוקרה לעובדים",6132-783-0
,"הפעלת המרכז לאיכות השירות",6132-790-2
293000,"תרבות ארגונית ממוקדת תושב",6132-791-9
262000,"תפעול כרטיס תושב",6132-794-0
590000,"הטבות עירוניות לכרטיס תושב",6132-796-4
56160,"הפעלת מרכז מבקרים",6132-797-1
50000,"דורות ירושלים",6132-798-8
160000,יועצים,6132-799-5
25000,"שי למתנדבים",6132-800-6
20000,"סיורים בקריית העירייה",6132-957-1
,"תגבור פעולות",6132-959-5
375456,"משכורת ושכר משולבים",6141-111-7
265657,תוספות,6141-112-4
60775,"החזר הוצאות",6141-113-1
207516,"הפרשות סוציאליות",6141-116-2
70111,"מסים והיטלים על השכר",6141-117-9
110286,"החזקת רכב",6141-118-6
49639,"שעות נוספות",6141-119-3
,"קניית שירותי כ״א",6141-211-8
59202,"כלי רכב בליסינג תפעולי",6141-424-4
75000,"שירותי תרגום",6141-750-8
678640,"מחשוב עירוני - העמסה",6141-755-3
55000,"צילום ושידור ועדות מועצה",6141-756-0
,"ניוזלטר עירוני",6141-758-4
150000,"תגבור פעולות - אינטרנט",6141-950-0
3417746,"משכורת ושכר משולבים",6111-111-6
72086,תוספות,6111-112-3
257401,"החזר הוצאות",6111-113-0
1092215,"הפרשות סוציאליות",6111-116-1
348809,"מסים והיטלים על השכר",6111-117-8
392042,"החזקת רכב",6111-118-5
177606,"כלי רכב בליסינג תפעולי",6111-424-3
2670500,"משכורת ושכר משולבים",6112-111-5
1736621,תוספות,6112-112-2
434072,"החזר הוצאות",6112-113-9
1326572,"הפרשות סוציאליות",6112-116-0
484263,"מסים והיטלים על השכר",6112-117-7
862022,"החזקת רכב",6112-118-4
195179,"שעות נוספות",6112-119-1
118404,"כלי רכב בליסינג תפעולי",6112-424-2
2624982,"משכורת ושכר משולבים",6113-111-4
476931,תוספות,6113-112-1
189665,"החזר הוצאות",6113-113-8
979031,"הפרשות סוציאליות",6113-116-9
304290,"מסים והיטלים על השכר",6113-117-6
394706,"החזקת רכב",6113-118-3
80167,"שעות נוספות",6113-119-0
18960,"קניית שירותי כ״א",6113-212-2
118404,"כלי רכב בליסינג תפעולי",6113-424-1
140000,"הוצאות ארגוניות שונות",6113-682-7
637200,יועצים,6113-791-4
70000,"קרן ראש העיר",6113-945-9
1603042,"משכורת ושכר משולבים",6130-111-1
1439946,תוספות,6130-112-8
273138,"החזר הוצאות",6130-113-5
815644,"הפרשות סוציאליות",6130-116-6
350460,"מסים והיטלים על השכר",6130-117-3
533258,"החזקת רכב",6130-118-0
386147,"שעות נוספות",6130-119-7
195000,"קניית שירותי כ״א",6130-221-5
3088377,"קריית העירייה - העמסה",6130-400-4
54000,"תיקונים, שיפוצים ושונות",6130-420-0
177606,"כלי רכב בליסינג תפעולי",6130-424-8
917906,"ביטוח - העמסה",6130-440-6
135640,"תקשורת סלולרית",6130-448-2
224000,"מכשירי כתיבה והדפסות",6130-460-2
365000,"תמלול ועדות",6130-470-5
10000,"עיתונות וספרות",6130-480-8
87106,"רכש ואספקה - העמסה",6130-490-1
6168,נסיעות,6130-510-8
432400,"דמי ייצוג נבחרים",6130-511-5
25000,"כרטיסי רשת אלחוטיים",6130-512-2
1461161,"טלפונים - העמסה",6130-541-4
202303,דואר,6130-545-2
84348,כיבודים,6130-610-9
74600,"ועדות מועצה",6130-620-2
90000,"פרסום הקצבות לתמיכות ושונות",6130-630-5
6000,"פרסום חוק חופש המידע",6130-631-2
287966,"מוסך ותחבורה - העמסה",6130-710-0
17211,דלק,6130-735-1
1645334,"מחשוב עירוני - העמסה",6130-755-7
51000,"טיפול באוכלוסייה הערבית",6130-780-1
330000,"פעולות שונות, השתלמויות ונסיעות",6130-786-3
25000,צילומים,6130-787-0
70000,"היחידה ליחסי חוץ",6130-788-7
200000,"ועדות ערר",6130-791-1
1241501,"משכורת ושכר משולבים",7480-111-6
1405830,תוספות,7480-112-3
218690,"החזר הוצאות",7480-113-0
634963,"הפרשות סוציאליות",7480-116-1
271371,"מסים והיטלים על השכר",7480-117-8
165621,"החזקת רכב",7480-118-5
334991,"שעות נוספות",7480-119-2
18960,"קניית שירותי כ״א",7480-210-0
59202,"כלי רכב בליסינג תפעולי",7480-424-3
24781,"תקשורת סלולרית",7480-448-7
1177,"רכש ואספקה - העמסה",7480-490-6
123445,"טלפונים - העמסה",7480-541-9
19068,כיבודים,7480-610-4
36219,"הוצאות ארגוניות ושונות",7480-682-9
388353,"מחשוב עירוני - העמסה",7480-755-2
1023725,"משכורת ושכר משולבים",6125-111-9
413378,תוספות,6125-112-6
88545,"החזר הוצאות",6125-113-3
416777,"הפרשות סוציאליות",6125-116-4
147835,"מסים והיטלים על השכר",6125-117-1
152615,"החזקת רכב",6125-118-8
149736,"שעות נוספות",6125-119-5
118404,"כלי רכב בליסינג תפעולי",6125-424-6
48000,"קרן מנכ״ל",6125-945-4
406353,"משכורת ושכר משולבים",6152-111-3
542163,תוספות,6152-112-0
50218,"החזר הוצאות",6152-113-7
247282,"הפרשות סוציאליות",6152-116-8
"19,097 1","מסים והיטלים על השכר",6152-117-5
68840,"החזקת רכב",6152-118-2
287937,"שעות נוספות",6152-119-9
"14,054 1","קריית העירייה - העמסה",6152-400-6
177606,"כלי רכב בליסינג תפעולי",6152-424-0
10867,"תקשורת סלולרית",6152-448-4
8423010,"פעולות רווחת עובדים",6152-785-8
10768139,"משכורת ושכר משולבים",6170-111-9
2655675,תוספות,6170-112-6
967982,"החזר הוצאות",6170-113-3
3968464,"הפרשות סוציאליות",6170-116-4
1364131,"מסים והיטלים על השכר",6170-117-1
1831361,"החזקת רכב",6170-118-8
1207399,"שעות נוספות",6170-119-5
,"קניית שירותי כ״א",6170-200-0
722924,"קריית העירייה - העמסה",6170-400-2
355212,"כלי רכב בליסינג תפעולי",6170-424-6
75549,"תקשורת סלולרית",6170-448-0
100000,"דמי חבר ותשלום למנויים",6170-450-7
180000,"הדפסות ונייר רציף",6170-462-4
108000,"עיתונות וספרות",6170-480-6
2354,"רכש ואספקה - העמסה",6170-490-9
20000,נסיעות,6170-510-6
64666,"טלפונים - העמסה",6170-541-2
30000,כיבודים,6170-610-7
200000,"תשלום לעו״ד חיצוניים - פינויים",6170-727-0
1213602,"מחשוב עירוני - העמסה",6170-755-5
,"הדפסת חוקי עזר",6170-781-6
930000,"אגרות והוצאות פסקי דין",6170-782-3
4190000,"תשלום לעורכי דין חיצוניים",6170-783-0
400000,"הוצאות משפטיות שונות",6170-784-7
2226359,"משכורת ושכר משולבים",6121-111-3
1056349,תוספות,6121-112-0
150617,"החזר הוצאות",6121-113-7
839588,"הפרשות סוציאליות",6121-116-8
330073,"מסים והיטלים על השכר",6121-117-5
288292,"החזקת רכב",6121-118-2
222744,"שעות נוספות",6121-119-9
300212,"קריית העירייה - העמסה",6121-400-6
355212,"כלי רכב בליסינג תפעולי",6121-424-0
41067,"תקשורת סלולרית",6121-448-4
27000,"מכשירי כתיבה וציוד משרדי",6121-460-4
75000,הדפסות,6121-462-8
9000,"ספרות מקצועית",6121-480-0
785,"רכש ואספקה - העמסה",6121-490-3
26109,"טלפונים - העמסה",6121-541-6
539,דואר,6121-545-4
7800,כיבודים,6121-610-1
54000,"הוצאות שונות",6121-682-6
279129,"מחשוב עירוני - העמסה",6121-755-9
770000,"סיוע מגורמים חוץ־עירוניים",6121-791-3
207106,"משכורת ושכר משולבים",6122-111-2
227146,תוספות,6122-112-9
30172,"החזר הוצאות",6122-113-6
102411,"הפרשות סוציאליות",6122-116-7
43972,"מסים והיטלים על השכר",6122-117-4
26551,"החזקת רכב",6122-118-1
34386,"שעות נוספות",6122-119-8
